product_id,product_title,impressions,clicks,cost,conversions,conv_value,CPA,CVR_%
gla_34860,"Худі oversize ""Час спокою""",644,9,109.7,0.0,0.0,,0.0
gla_35003,"Худі oversize ""Той самий вайб""",194,6,104.36,0.0,0.0,,0.0
gla_28209,"Прапор ""Тиша""",888,6,102.32,0.0,0.0,,0.0
gla_34731,"Футболка ""Лелека""",279,6,101.48,0.0,0.0,,0.0
gla_34929,"Худі oversize ""В етері""",956,7,95.81,0.0,0.0,,0.0
gla_33182,"Прапор ""Гроза району""",666,7,92.92,1.0,1699.0,92.92,14.285714285714286
gla_32194,"Футболка unisex ""Вампір""",249,5,91.61,0.0,0.0,,0.0
gla_28002,"Прапор ""Дрони ведуть""",670,8,84.5,0.0,0.0,,0.0
gla_34801,"Худі oversize ""Міномет""",478,5,81.75,0.0,0.0,,0.0
gla_28559,"Футболка ""База""",528,6,79.02,0.0,0.0,,0.0
gla_28225,"Прапор ""Привиди вогню""",340,3,78.03,0.0,0.0,,0.0
gla_28187,"Прапор ""FPV пілот""",549,6,75.22,0.0,0.0,,0.0
gla_33492,"Прапор ""Танкісти""",216,2,75.02,0.0,0.0,,0.0
gla_28558,"Футболка ""База""",847,11,74.59,0.0,0.0,,0.0
gla_34903,"Худі oversize ""Гроза району""",974,7,74.15,0.0,0.0,,0.0
gla_33476,"Прапор ""В етері""",467,4,72.32,0.0,0.0,,0.0
gla_27990,"Прапор ""За столом смерті""",406,6,72.2,0.0,0.0,,0.0
gla_28050,"Прапор ""Тінь перемоги""",872,5,69.02,0.0,0.0,,0.0
gla_28168,"Прапор ""Серебрянський ліс""",297,5,68.39,0.0,0.0,,0.0
gla_34879,"Худі oversize ""Дорога на схід""",578,7,68.37,0.5,850.0,136.74,7.142857142857143
gla_32266,Зіп-худі unisex “Tarot”,260,2,67.13,0.0,0.0,,0.0
gla_28083,"Прапор ""333""",257,3,65.49,0.5,749.5,130.98,16.666666666666668
gla_32270,Зіп-худі unisex “Garden of Bones”,696,9,65.41,0.0,0.0,,0.0
gla_32075,Зіп-худі unisex “Warrior”,214,5,65.12,0.0,0.0,,0.0
gla_34962,"Худі oversize ""Зелений спектр""",679,5,59.66,0.0,0.0,,0.0
gla_30717,"Прапор ""Битва за життя""",262,3,59.27,0.0,0.0,,0.0
gla_34610,"Футболка ""Баба Яга""",80,4,56.75,0.0,0.0,,0.0
gla_28385,"Прапор ""Винищувач""",114,2,55.4,0.0,0.0,,0.0
gla_28057,"Прапор ""Медик""",121,6,54.48,0.0,0.0,,0.0
gla_28101,"Прапор ""Захисник світу""",160,2,54.46,0.0,0.0,,0.0
gla_34840,"Худі oversize ""Звʼязок""",435,2,53.75,0.0,0.0,,0.0
gla_32993,"Прапор ""Лелека""",372,3,53.2,0.0,0.0,,0.0
gla_34629,"Футболка ""В етері""",703,4,52.06,0.0,0.0,,0.0
gla_33235,"Прапор ""Той самий вайб""",573,3,50.85,0.0,0.0,,0.0
gla_35027,"Худі oversize ""Вампір""",208,3,49.56,0.0,0.0,,0.0
gla_34631,"Футболка ""В етері""",714,5,47.66,0.0,0.0,,0.0
gla_32128,Футболка unisex “Warrior”,55,1,46.07,0.0,0.0,,0.0
gla_28117,"Прапор ""Спеціальна операція""",171,1,45.04,0.0,0.0,,0.0
gla_28259,"Прапор ""Водій""",489,5,44.44,0.0,0.0,,0.0
gla_33196,"Прапор ""Привіт від Богдани""",287,1,42.5,0.0,0.0,,0.0
gla_33238,"Прапор ""Прогноз погоди: град""",98,1,41.04,0.0,0.0,,0.0
gla_28395,"Прапор ""ДСНС""",498,7,40.78,0.0,0.0,,0.0
gla_33526,"Прапор ""Постріл за пострілом""",92,1,40.64,0.0,0.0,,0.0
gla_34952,"Худі oversize ""Залізні побратими""",337,4,39.82,0.0,0.0,,0.0
gla_32271,Зіп-худі unisex “Garden of Bones”,153,4,37.78,0.0,0.0,,0.0
gla_33211,"Прапор ""А шо там в баби на городі?""",215,1,37.41,0.0,0.0,,0.0
gla_34570,"Футболка ""Зв'язок""",218,3,36.64,0.0,0.0,,0.0
gla_34547,"Футболка ""Час спокою""",82,2,36.6,0.0,0.0,,0.0
gla_28561,"Футболка ""База""",470,8,36.02,0.0,0.0,,0.0
gla_34596,"Футболка ""НРК""",129,2,35.98,0.0,0.0,,0.0
gla_28287,"Прапор ""Між пеклом і домом""",264,1,35.19,0.0,0.0,,0.0
gla_34979,"Худі oversize ""Лелека""",281,3,34.45,0.0,0.0,,0.0
gla_32265,Зіп-худі unisex “Tarot”,111,3,33.57,0.0,0.0,,0.0
gla_33517,"Прапор ""Перехоплювач""",291,4,33.31,0.0,0.0,,0.0
gla_27995,"Прапор ""Воїн в полі""",336,1,33.09,0.0,0.0,,0.0
gla_30345,"Прапор ""План помсти""",262,2,31.43,0.0,0.0,,0.0
gla_28560,"Футболка ""База""",663,5,31.26,0.0,0.0,,0.0
gla_32080,Зіп-худі unisex “Welcome to hell”,146,2,30.83,0.0,0.0,,0.0
gla_32272,Зіп-худі unisex “Garden of Bones”,214,4,30.66,0.0,0.0,,0.0
gla_32199,"Футболка unisex ""Вампір""",137,1,28.92,0.0,0.0,,0.0
gla_32081,Зіп-худі unisex “Welcome to hell”,186,3,28.89,0.0,0.0,,0.0
gla_32308,Футболка unisex “Welcome to hell”,257,3,28.43,0.0,0.0,,0.0
gla_34585,"Футболка ""Арта""",373,2,28.03,0.0,0.0,,0.0
gla_32135,Футболка unisex “Warrior”,83,2,24.76,0.0,0.0,,0.0
gla_32211,Світшот чоловічий “Warrior”,77,1,24.55,0.0,0.0,,0.0
gla_30664,"Прапор ""Дорога на схід""",557,4,24.32,0.0,0.0,,0.0
gla_28283,"Прапор ""Хижак""",143,2,24.21,1.0,1600.0,24.21,50.0
gla_34584,"Футболка ""Арта""",229,3,22.79,0.0,0.0,,0.0
gla_33484,"Прапор ""Baby shark""",1,2,20.79,0.0,0.0,,0.0
gla_32258,Зіп-худі unisex “Welcome to hell”,677,2,20.36,0.0,0.0,,0.0
gla_32074,Зіп-худі unisex “Warrior”,178,3,20.01,0.0,0.0,,0.0
gla_28207,"Прапор ""Мелодія смерті""",57,1,19.69,0.0,0.0,,0.0
gla_34611,"Футболка ""Баба Яга""",33,3,19.54,0.0,0.0,,0.0
gla_29876,Комплект кріплення для прапора,228,5,19.29,0.0,0.0,,0.0
gla_32284,Зіп-худі unisex “Azazel”,35,1,19.04,0.0,0.0,,0.0
gla_32140,Футболка unisex “Azazel”,127,1,18.98,0.0,0.0,,0.0
gla_33568,"Прапор ""Грім і сталь""",190,1,18.12,0.0,0.0,,0.0
gla_33442,"Прапор ""Шеф""",282,2,17.85,0.0,0.0,,0.0
gla_34730,"Футболка ""Лелека""",292,2,17.79,0.0,0.0,,0.0
gla_28285,"Прапор ""Незламні""",374,3,17.41,0.0,0.0,,0.0
gla_34613,"Футболка ""Баба Яга""",58,1,17.19,0.0,0.0,,0.0
gla_30336,"Прапор ""Володар вогню""",160,1,17.11,0.0,0.0,,0.0
gla_30710,"Прапор ""Баба Яга""",278,3,16.9,0.0,0.0,,0.0
gla_34760,"Футболка ""Перехоплювач""",137,2,16.71,0.0,0.0,,0.0
gla_34586,"Футболка ""Арта""",173,1,16.53,0.0,0.0,,0.0
gla_32079,Зіп-худі unisex “Welcome to hell”,221,3,16.36,0.0,0.0,,0.0
gla_28387,"Прапор ""Тобі п*зда""",94,1,15.72,0.0,0.0,,0.0
gla_32073,Зіп-худі unisex “Warrior”,146,2,15.58,0.0,0.0,,0.0
gla_34759,"Футболка ""Перехоплювач""",69,1,14.79,0.0,0.0,,0.0
gla_33468,"Прапор ""Залізні побратими""",156,1,14.46,0.0,0.0,,0.0
gla_32783,"Футболка unisex ""Вампір""",445,2,14.43,0.0,0.0,,0.0
gla_34919,"Худі oversize ""Baby shark""",28,1,14.38,0.0,0.0,,0.0
gla_28144,"Прапор ""Механік""",164,1,13.85,0.0,0.0,,0.0
gla_34630,"Футболка ""В етері""",293,1,13.81,0.0,0.0,,0.0
gla_34817,"Худі oversize ""Морпіхи""",425,2,12.77,0.0,0.0,,0.0
gla_28108,"Прапор ""Прямо в ціль""",103,1,12.44,0.0,0.0,,0.0
gla_34991,"Худі oversize ""Перехоплювач""",206,3,12.34,0.0,0.0,,0.0
gla_28393,"Прапор ""Сапер""",120,2,12.31,0.0,0.0,,0.0
gla_32277,Зіп-худі unisex “Arch of the Underworld”,87,1,12.1,0.0,0.0,,0.0
gla_28381,"Прапор ""Одного разу під Запоріжжям""",365,2,11.99,0.0,0.0,,0.0
gla_32087,Зіп-худі unisex “Tarot”,13,2,11.44,0.0,0.0,,0.0
gla_34599,"Футболка ""НРК""",194,3,10.45,0.0,0.0,,0.0
gla_33244,"Прапор ""На кулаках""",190,1,10.35,0.0,0.0,,0.0
gla_34891,"Худі oversize ""Вампіри""",238,2,10.34,0.0,0.0,,0.0
gla_34729,"Футболка ""Лелека""",156,1,9.7,0.0,0.0,,0.0
gla_28389,"Прапор ""Морпіхи""",91,1,9.43,0.0,0.0,,0.0
gla_33226,"Прапор ""Вампір""",302,2,9.31,0.0,0.0,,0.0
gla_34628,"Футболка ""В етері""",227,2,9.11,0.0,0.0,,0.0
gla_33241,"Прапор ""Маршрутка""",137,1,8.86,0.0,0.0,,0.0
gla_35042,"Худі oversize ""Вампір""",213,1,7.65,0.0,0.0,,0.0
gla_28136,"Прапор ""Ловці Темряви""",161,1,6.64,0.0,0.0,,0.0
gla_32201,"Футболка unisex ""Вампір""",58,1,6.49,0.0,0.0,,0.0
gla_32171,Футболка unisex “Tarot”,47,1,6.38,0.0,0.0,,0.0
gla_34762,"Футболка ""Перехоплювач""",35,1,6.15,0.0,0.0,,0.0
gla_32309,Футболка unisex “Welcome to hell”,151,2,6.08,0.0,0.0,,0.0
gla_32273,Зіп-худі unisex “Garden of Bones”,288,1,5.8,0.0,0.0,,0.0
gla_34715,"Футболка ""Зелений спектр""",15,1,5.51,0.0,0.0,,0.0
gla_34598,"Футболка ""НРК""",116,2,5.28,0.0,0.0,,0.0
gla_33535,"Прапор ""Засвіт""",79,1,5.08,0.0,0.0,,0.0
gla_28014,"Прапор ""Донбас""",326,1,4.98,0.0,0.0,,0.0
gla_32285,Зіп-худі unisex “Azazel”,51,1,4.91,0.0,0.0,,0.0
gla_32245,Штани жіночі спортивні широкі,161,1,4.68,0.0,0.0,,0.0
gla_32196,"Футболка unisex ""Вампір""",205,1,4.48,0.0,0.0,,0.0
gla_32244,Штани жіночі спортивні широкі,222,1,4.41,0.0,0.0,,0.0
gla_30738,"Прапор ""Інженер""",420,1,4.22,0.0,0.0,,0.0
gla_32106,Зіп-худі unisex “Azazel”,42,1,4.16,0.0,0.0,,0.0
gla_35015,"Худі oversize ""Баба Яга""",156,1,3.93,0.0,0.0,,0.0
gla_33223,"Прапор ""Спіймані чмоні""",132,1,3.71,0.0,0.0,,0.0
gla_34641,"Футболка ""Вампіри""",117,2,3.67,0.0,0.0,,0.0
gla_34656,"Футболка ""Гроза району""",157,1,3.64,0.0,0.0,,0.0
gla_30743,"Прапор ""Штурмовики""",401,1,3.57,0.0,0.0,,0.0
gla_32210,Світшот чоловічий “Warrior”,109,1,2.59,0.0,0.0,,0.0
gla_32102,Зіп-худі unisex “Arch of the Underworld”,71,1,2.53,0.0,0.0,,0.0
gla_32324,Футболка unisex “Tarot”,39,1,2.22,0.0,0.0,,0.0
gla_35054,"Худі oversize ""НРК""",13,1,2.2,0.0,0.0,,0.0
gla_29160,"Лонгслів ""Міномет""",183,1,2.15,0.0,0.0,,0.0
gla_34670,"Футболка ""Згідно з наказом""",537,1,2.09,0.0,0.0,,0.0
gla_32214,Світшот чоловічий “Welcome to hell”,55,1,2.08,0.0,0.0,,0.0
gla_32224,Світшот чоловічий “Garden of Bones”,33,1,2.07,0.0,0.0,,0.0
gla_32263,Зіп-худі unisex “Tarot”,85,1,1.45,0.0,0.0,,0.0
gla_34685,"Футболка ""Дорога на схід""",136,1,1.28,0.0,0.0,,0.0
gla_33199,"Прапор ""Мінометники""",220,1,0.94,0.0,0.0,,0.0
gla_32170,Футболка unisex “Tarot”,20,1,0.92,0.0,0.0,,0.0
gla_28042,"Прапор ""Сплетіння темряви""",91,2,0.3,0.0,0.0,,0.0
gla_32772,"Футболка unisex ""Вампір""",79,1,0.01,0.0,0.0,,0.0
gla_28077,"Прапор ""Життя""",102,0,0.0,0.0,0.0,,
gla_28156,"Прапор ""Місцевий""",84,0,0.0,0.0,0.0,,
gla_32071,Зіп-худі unisex “Warrior”,405,0,0.0,0.0,0.0,,
gla_32072,Зіп-худі unisex “Warrior”,116,0,0.0,0.0,0.0,,
gla_34744,"Футболка ""Baby shark""",4,0,0.0,0.0,0.0,,
gla_34745,"Футболка ""Baby shark""",1,0,0.0,0.0,0.0,,
gla_34746,"Футболка ""Baby shark""",1,0,0.0,0.0,0.0,,
gla_34761,"Футболка ""Перехоплювач""",59,0,0.0,0.0,0.0,,
gla_34770,"Футболка ""Той самий вайб""",33,0,0.0,0.0,0.0,,
gla_34771,"Футболка ""Той самий вайб""",27,0,0.0,0.0,0.0,,
gla_34772,"Футболка ""Той самий вайб""",30,0,0.0,0.0,0.0,,
gla_34773,"Футболка ""Той самий вайб""",44,0,0.0,0.0,0.0,,
gla_32225,Світшот чоловічий “Garden of Bones”,17,0,0.0,0.0,0.0,,
gla_32226,Світшот чоловічий “Garden of Bones”,25,0,0.0,0.0,0.0,,
gla_32230,Світшот чоловічий “Arch of the Underworld”,46,0,0.0,0.0,0.0,,
gla_32231,Світшот чоловічий “Arch of the Underworld”,32,0,0.0,0.0,0.0,,
gla_32235,Світшот чоловічий “Azazel”,17,0,0.0,0.0,0.0,,
gla_32236,Світшот чоловічий “Azazel”,11,0,0.0,0.0,0.0,,
gla_30724,"Прапор ""Подих снайпера""",201,0,0.0,0.0,0.0,,
gla_32060,Штани чоловічі спортивні джогери,77,0,0.0,0.0,0.0,,
gla_32062,Штани чоловічі спортивні джогери,35,0,0.0,0.0,0.0,,
gla_32068,Шорти чоловічі спортивні,1,0,0.0,0.0,0.0,,
gla_32246,Штани жіночі спортивні широкі,95,0,0.0,0.0,0.0,,
gla_32250,Шорти жіночі спортивні укорочені,5,0,0.0,0.0,0.0,,
gla_32251,Шорти жіночі спортивні укорочені,32,0,0.0,0.0,0.0,,
gla_32252,Шорти жіночі спортивні укорочені,7,0,0.0,0.0,0.0,,
gla_32253,Шорти жіночі спортивні укорочені,12,0,0.0,0.0,0.0,,
gla_32264,Зіп-худі unisex “Tarot”,54,0,0.0,0.0,0.0,,
gla_32267,Зіп-худі unisex “Tarot”,62,0,0.0,0.0,0.0,,
gla_32274,Зіп-худі unisex “Garden of Bones”,82,0,0.0,0.0,0.0,,
gla_32278,Зіп-худі unisex “Arch of the Underworld”,18,0,0.0,0.0,0.0,,
gla_28064,"Прапор ""До кінця, брате""",214,0,0.0,0.0,0.0,,
gla_32279,Зіп-худі unisex “Arch of the Underworld”,47,0,0.0,0.0,0.0,,
gla_32280,Зіп-худі unisex “Arch of the Underworld”,34,0,0.0,0.0,0.0,,
gla_32287,Зіп-худі unisex “Azazel”,25,0,0.0,0.0,0.0,,
gla_32281,Зіп-худі unisex “Arch of the Underworld”,45,0,0.0,0.0,0.0,,
gla_32291,Футболка unisex “Azazel”,6,0,0.0,0.0,0.0,,
gla_32292,Футболка unisex “Azazel”,2,0,0.0,0.0,0.0,,
gla_32293,Футболка unisex “Azazel”,5,0,0.0,0.0,0.0,,
gla_32288,Зіп-худі unisex “Azazel”,22,0,0.0,0.0,0.0,,
gla_32303,Футболка unisex “Azazel”,90,0,0.0,0.0,0.0,,
gla_32304,Футболка unisex “Azazel”,3,0,0.0,0.0,0.0,,
gla_32307,Футболка unisex “Welcome to hell”,124,0,0.0,0.0,0.0,,
gla_32312,Футболка unisex “Welcome to hell”,10,0,0.0,0.0,0.0,,
gla_32313,Футболка unisex “Welcome to hell”,41,0,0.0,0.0,0.0,,
gla_32318,Футболка unisex “Tarot”,8,0,0.0,0.0,0.0,,
gla_32319,Футболка unisex “Tarot”,2,0,0.0,0.0,0.0,,
gla_32298,Футболка unisex “Azazel”,38,0,0.0,0.0,0.0,,
gla_32323,Футболка unisex “Tarot”,27,0,0.0,0.0,0.0,,
gla_32327,Футболка unisex “Garden of Bones”,9,0,0.0,0.0,0.0,,
gla_32328,Футболка unisex “Garden of Bones”,32,0,0.0,0.0,0.0,,
gla_32329,Футболка unisex “Garden of Bones”,6,0,0.0,0.0,0.0,,
gla_32332,Футболка unisex “Garden of Bones”,5,0,0.0,0.0,0.0,,
gla_32333,Футболка unisex “Garden of Bones”,30,0,0.0,0.0,0.0,,
gla_32334,Футболка unisex “Garden of Bones”,40,0,0.0,0.0,0.0,,
gla_32337,Футболка unisex “Arch of the Underworld”,21,0,0.0,0.0,0.0,,
gla_32338,Футболка unisex “Arch of the Underworld”,11,0,0.0,0.0,0.0,,
gla_32185,Футболка unisex “Arch of the Underworld”,14,0,0.0,0.0,0.0,,
gla_32189,Футболка unisex “Arch of the Underworld”,109,0,0.0,0.0,0.0,,
gla_32191,Футболка unisex “Arch of the Underworld”,195,0,0.0,0.0,0.0,,
gla_32195,"Футболка unisex ""Вампір""",113,0,0.0,0.0,0.0,,
gla_32200,"Футболка unisex ""Вампір""",76,0,0.0,0.0,0.0,,
gla_32209,Світшот чоловічий “Warrior”,118,0,0.0,0.0,0.0,,
gla_32322,Футболка unisex “Tarot”,9,0,0.0,0.0,0.0,,
gla_32215,Світшот чоловічий “Welcome to hell”,57,0,0.0,0.0,0.0,,
gla_32216,Світшот чоловічий “Welcome to hell”,88,0,0.0,0.0,0.0,,
gla_32221,Світшот чоловічий “Tarot”,8,0,0.0,0.0,0.0,,
gla_32220,Світшот чоловічий “Tarot”,22,0,0.0,0.0,0.0,,
gla_32339,Футболка unisex “Arch of the Underworld”,8,0,0.0,0.0,0.0,,
gla_32342,Футболка unisex “Arch of the Underworld”,14,0,0.0,0.0,0.0,,
gla_32343,Футболка unisex “Arch of the Underworld”,10,0,0.0,0.0,0.0,,
gla_32344,Футболка unisex “Arch of the Underworld”,4,0,0.0,0.0,0.0,,
gla_32773,"Футболка unisex ""Вампір""",21,0,0.0,0.0,0.0,,
gla_32774,"Футболка unisex ""Вампір""",65,0,0.0,0.0,0.0,,
gla_33184,"Прапор ""На нулі""",364,0,0.0,0.0,0.0,,
gla_33193,"Прапор ""Кулеметник""",134,0,0.0,0.0,0.0,,
gla_33202,"Прапор ""Кінолог""",11,0,0.0,0.0,0.0,,
gla_33205,"Прапор ""Стабік""",28,0,0.0,0.0,0.0,,
gla_33229,"Прапор ""Тут небо наше""",14,0,0.0,0.0,0.0,,
gla_33232,"Прапор ""Знайомство з пісюном""",234,0,0.0,0.0,0.0,,
gla_28397,"Прапор ""Історія""",53,0,0.0,0.0,0.0,,
gla_29161,"Лонгслів ""Міномет""",47,0,0.0,0.0,0.0,,
gla_30289,"Прапор ""Пекельна трійка""",134,0,0.0,0.0,0.0,,
gla_30309,"Прапор ""Армійська Авіація""",42,0,0.0,0.0,0.0,,
gla_32154,Футболка unisex “Welcome to hell”,23,0,0.0,0.0,0.0,,
gla_32155,Футболка unisex “Welcome to hell”,21,0,0.0,0.0,0.0,,
gla_32156,Футболка unisex “Welcome to hell”,57,0,0.0,0.0,0.0,,
gla_32161,Футболка unisex “Welcome to hell”,106,0,0.0,0.0,0.0,,
gla_32164,Футболка unisex “Tarot”,1,0,0.0,0.0,0.0,,
gla_32165,Футболка unisex “Tarot”,12,0,0.0,0.0,0.0,,
gla_32166,Футболка unisex “Tarot”,8,0,0.0,0.0,0.0,,
gla_32169,Футболка unisex “Tarot”,26,0,0.0,0.0,0.0,,
gla_32174,Футболка unisex “Garden of Bones”,9,0,0.0,0.0,0.0,,
gla_32175,Футболка unisex “Garden of Bones”,20,0,0.0,0.0,0.0,,
gla_32179,Футболка unisex “Garden of Bones”,72,0,0.0,0.0,0.0,,
gla_32180,Футболка unisex “Garden of Bones”,32,0,0.0,0.0,0.0,,
gla_32181,Футболка unisex “Garden of Bones”,79,0,0.0,0.0,0.0,,
gla_32184,Футболка unisex “Arch of the Underworld”,14,0,0.0,0.0,0.0,,
gla_33451,"Прапор ""Зелений спектр""",62,0,0.0,0.0,0.0,,
gla_33500,"Прапор ""Втрата сигналу""",92,0,0.0,0.0,0.0,,
gla_33543,"Прапор ""Гострозорий птах""",53,0,0.0,0.0,0.0,,
gla_33552,"Прапор ""Німий""",52,0,0.0,0.0,0.0,,
gla_33560,"Прапор ""Heavy Shot""",142,0,0.0,0.0,0.0,,
gla_34544,"Футболка ""Час спокою""",91,0,0.0,0.0,0.0,,
gla_34545,"Футболка ""Час спокою""",22,0,0.0,0.0,0.0,,
gla_34546,"Футболка ""Час спокою""",29,0,0.0,0.0,0.0,,
gla_34569,"Футболка ""Зв'язок""",60,0,0.0,0.0,0.0,,
gla_34571,"Футболка ""Зв'язок""",92,0,0.0,0.0,0.0,,
gla_34572,"Футболка ""Зв'язок""",112,0,0.0,0.0,0.0,,
gla_34583,"Футболка ""Арта""",189,0,0.0,0.0,0.0,,
gla_34597,"Футболка ""НРК""",120,0,0.0,0.0,0.0,,
gla_34612,"Футболка ""Баба Яга""",26,0,0.0,0.0,0.0,,
gla_34642,"Футболка ""Вампіри""",192,0,0.0,0.0,0.0,,
gla_34643,"Футболка ""Вампіри""",75,0,0.0,0.0,0.0,,
gla_32109,Зіп-худі unisex “Azazel”,21,0,0.0,0.0,0.0,,
gla_32110,Зіп-худі unisex “Azazel”,11,0,0.0,0.0,0.0,,
gla_32118,Футболка unisex “Warrior”,7,0,0.0,0.0,0.0,,
gla_32119,Футболка unisex “Warrior”,13,0,0.0,0.0,0.0,,
gla_32120,Футболка unisex “Warrior”,20,0,0.0,0.0,0.0,,
gla_32129,Футболка unisex “Warrior”,41,0,0.0,0.0,0.0,,
gla_32130,Футболка unisex “Warrior”,24,0,0.0,0.0,0.0,,
gla_32133,Футболка unisex “Warrior”,34,0,0.0,0.0,0.0,,
gla_32134,Футболка unisex “Warrior”,27,0,0.0,0.0,0.0,,
gla_32138,Футболка unisex “Azazel”,13,0,0.0,0.0,0.0,,
gla_32139,Футболка unisex “Azazel”,10,0,0.0,0.0,0.0,,
gla_32144,Футболка unisex “Azazel”,17,0,0.0,0.0,0.0,,
gla_32145,Футболка unisex “Azazel”,8,0,0.0,0.0,0.0,,
gla_32149,Футболка unisex “Azazel”,45,0,0.0,0.0,0.0,,
gla_34644,"Футболка ""Вампіри""",36,0,0.0,0.0,0.0,,
gla_34654,"Футболка ""Гроза району""",74,0,0.0,0.0,0.0,,
gla_34655,"Футболка ""Гроза району""",69,0,0.0,0.0,0.0,,
gla_34657,"Футболка ""Гроза району""",97,0,0.0,0.0,0.0,,
gla_34686,"Футболка ""Дорога на схід""",33,0,0.0,0.0,0.0,,
gla_34687,"Футболка ""Дорога на схід""",64,0,0.0,0.0,0.0,,
gla_34688,"Футболка ""Дорога на схід""",59,0,0.0,0.0,0.0,,
gla_34697,"Футболка ""Залізні побратими""",23,0,0.0,0.0,0.0,,
gla_34698,"Футболка ""Залізні побратими""",67,0,0.0,0.0,0.0,,
gla_34699,"Футболка ""Залізні побратими""",34,0,0.0,0.0,0.0,,
gla_34700,"Футболка ""Залізні побратими""",47,0,0.0,0.0,0.0,,
gla_34712,"Футболка ""Зелений спектр""",16,0,0.0,0.0,0.0,,
gla_34713,"Футболка ""Зелений спектр""",18,0,0.0,0.0,0.0,,
gla_32082,Зіп-худі unisex “Welcome to hell”,102,0,0.0,0.0,0.0,,
gla_32085,Зіп-худі unisex “Tarot”,46,0,0.0,0.0,0.0,,
gla_32086,Зіп-худі unisex “Tarot”,21,0,0.0,0.0,0.0,,
gla_32088,Зіп-худі unisex “Tarot”,24,0,0.0,0.0,0.0,,
gla_32089,Зіп-худі unisex “Tarot”,7,0,0.0,0.0,0.0,,
gla_32093,Зіп-худі unisex “Garden of Bones”,72,0,0.0,0.0,0.0,,
gla_32103,Зіп-худі unisex “Arch of the Underworld”,73,0,0.0,0.0,0.0,,
gla_32107,Зіп-худі unisex “Azazel”,7,0,0.0,0.0,0.0,,
gla_32108,Зіп-худі unisex “Azazel”,52,0,0.0,0.0,0.0,,
gla_34714,"Футболка ""Зелений спектр""",7,0,0.0,0.0,0.0,,
gla_28211,"Прапор ""Де посадка""",268,0,0.0,0.0,0.0,,
gla_28253,"Прапор ""Звʼязок""",23,0,0.0,0.0,0.0,,
gla_28266,"Прапор ""Чисте Небо""",67,0,0.0,0.0,0.0,,
gla_28371,"Прапор ""Одного разу під Сумами""",2,0,0.0,0.0,0.0,,
gla_28377,"Прапор ""Одного разу під Луганськом""",4,0,0.0,0.0,0.0,,
gla_28379,"Прапор ""Одного разу під Донецьком""",11,0,0.0,0.0,0.0,,
gla_28383,"Прапор ""Одного разу під Херсоном""",54,0,0.0,0.0,0.0,,
gla_34732,"Футболка ""Лелека""",113,0,0.0,0.0,0.0,,
gla_35124,"Прапор ""Ніколи назад""",199,0,0.0,0.0,0.0,,
