word,stem,clicks_before,conv_before,CVR_before_%,clicks_after,conv_after,cost_after,p_value
kapkan,kapkan,0,0.0,,0,0.0,0.0,
sleeve,sleeve,0,0.0,,0,0.0,0.0,
камарова,камаров,0,0.0,,0,0.0,0.0,
kla,kla,0,0.0,,0,0.0,0.0,
way,way,0,0.0,,0,0.0,0.0,
classic,classic,0,0.0,,0,0.0,0.0,
баггі,баггі,1,0.0,,0,0.0,0.0,
николаев,никола,0,0.0,,0,0.0,0.0,
kiss,kiss,0,0.0,,0,0.0,0.0,
тім,тім,0,0.0,,0,0.0,0.0,
hussl,hussl,0,0.0,,0,0.0,0.0,
filth,filth,0,0.0,,0,0.0,0.0,
burlon,burlon,0,0.0,,0,0.0,0.0,
сатаной,сатан,0,0.0,,0,0.0,0.0,
krassovka,krassovka,0,0.0,,0,0.0,0.0,
boxing,boxing,0,0.0,,0,0.0,0.0,
ванс,ванс,0,0.0,,0,0.0,0.0,
svastone,svastone,2,0.0,,0,0.0,0.0,
hoodrich,hoodrich,0,0.0,,0,0.0,0.0,
літня,літня,0,0.0,,0,0.0,0.0,
skill,skill,0,0.0,,0,0.0,0.0,
rhizome,rhizome,0,0.0,,0,0.0,0.0,
танкової,танкової,0,0.0,,0,0.0,0.0,
vladaltex,vladaltex,0,0.0,,0,0.0,0.0,
гуманоид,гуманоид,0,0.0,,0,0.0,0.0,
беркут,беркут,0,0.0,,0,0.0,0.0,
палаццо,палацц,0,0.0,,0,0.0,0.0,
тойз,тойз,0,0.0,,0,0.0,0.0,
кроп,кроп,0,0.0,,0,0.0,0.0,
оптом,опт,0,0.0,,0,0.0,0.0,
зіпхуді,зіпхуді,0,0.0,,0,0.0,0.0,
crop,crop,0,0.0,,0,0.0,0.0,
kharkiv,kharkiv,0,0.0,,0,0.0,0.0,
import,import,0,0.0,,0,0.0,0.0,
olx,olx,0,0.0,,0,0.0,0.0,
hygge,hygge,0,0.0,,0,0.0,0.0,
версаче,версач,0,0.0,,0,0.0,0.0,
puppy,puppy,0,0.0,,0,0.0,0.0,
зачехлись,зачехл,0,0.0,,0,0.0,0.0,
днем,днем,0,0.0,,0,0.0,0.0,
shirts,shirts,0,0.0,,0,0.0,0.0,
roomova,roomova,0,0.0,,0,0.0,0.0,
сітка,сітка,0,0.0,,0,0.0,0.0,
theories,theories,0,0.0,,0,0.0,0.0,
kill,kill,0,0.0,,0,0.0,0.0,
steve,steve,0,0.0,,0,0.0,0.0,
ветеран,ветера,0,0.0,,0,0.0,0.0,
спандекс,спандекс,0,0.0,,0,0.0,0.0,
midwest,midwest,0,0.0,,0,0.0,0.0,
кляйн,кляйн,0,0.0,,0,0.0,0.0,
термохромная,термохромн,0,0.0,,0,0.0,0.0,
rusnia,rusnia,0,0.0,,0,0.0,0.0,
ооо,оо,0,0.0,,0,0.0,0.0,
мужчин,мужчин,0,0.0,,0,0.0,0.0,
sport,sport,0,0.0,,0,0.0,0.0,
tor,tor,0,0.0,,0,0.0,0.0,
alpha,alpha,0,0.0,,0,0.0,0.0,
шот,шот,0,0.0,,0,0.0,0.0,
мотохуди,мотохуд,0,0.0,,0,0.0,0.0,
helikon,helikon,0,0.0,,0,0.0,0.0,
хижак,хижак,0,0.0,,0,0.0,0.0,
джордан,джорда,0,0.0,,0,0.0,0.0,
paris,paris,0,0.0,,0,0.0,0.0,
гуска,гуск,0,0.0,,0,0.0,0.0,
fog,fog,0,0.0,,0,0.0,0.0,
nemesis,nemesis,0,0.0,,0,0.0,0.0,
iron,iron,0,0.0,,0,0.0,0.0,
холодного,холодн,0,0.0,,0,0.0,0.0,
oakley,oakley,0,0.0,,0,0.0,0.0,
centuria,centuria,0,0.0,,0,0.0,0.0,
misanthropic,misanthropic,0,0.0,,0,0.0,0.0,
набір,набір,0,0.0,,0,0.0,0.0,
запоріжжя,запоріжж,0,0.0,,0,0.0,0.0,
бпла,бпла,2,1.0,50.0,0,0.0,0.0,
спортівні,спортівні,0,0.0,,0,0.0,0.0,
fishing,fishing,0,0.0,,0,0.0,0.0,
риот,риот,0,0.0,,0,0.0,0.0,
братство,братств,0,0.0,,0,0.0,0.0,
велюровый,велюров,0,0.0,,0,0.0,0.0,
підрозділу,підрозділ,0,0.0,,0,0.0,0.0,
peaceful,peaceful,0,0.0,,0,0.0,0.0,
nargaroth,nargaroth,0,0.0,,0,0.0,0.0,
stvory,stvory,0,0.0,,0,0.0,0.0,
mirops,mirops,0,0.0,,0,0.0,0.0,
безвісти,безвіст,0,0.0,,0,0.0,0.0,
мобайл,мобайл,0,0.0,,0,0.0,0.0,
vlch,vlch,0,0.0,,0,0.0,0.0,
тупаком,тупак,0,0.0,,0,0.0,0.0,
but,but,0,0.0,,0,0.0,0.0,
белое,бел,0,0.0,,0,0.0,0.0,
liquid,liquid,0,0.0,,0,0.0,0.0,
special,special,0,0.0,,0,0.0,0.0,
kiskanana,kiskanana,0,0.0,,0,0.0,0.0,
fit,fit,0,0.0,,0,0.0,0.0,
оптимум,оптимум,0,0.0,,0,0.0,0.0,
сліпнот,сліпнот,0,0.0,,0,0.0,0.0,
judas,judas,0,0.0,,0,0.0,0.0,
society,society,0,0.0,,0,0.0,0.0,
застібкою,застібк,0,0.0,,0,0.0,0.0,
kor,kor,0,0.0,,0,0.0,0.0,
унр,унр,0,0.0,,0,0.0,0.0,
airborne,airborne,0,0.0,,0,0.0,0.0,
pit,pit,0,0.0,,0,0.0,0.0,
сделать,сдела,0,0.0,,0,0.0,0.0,
simbiosis,simbiosis,0,0.0,,0,0.0,0.0,
play,play,0,0.0,,0,0.0,0.0,
заказ,заказ,0,0.0,,0,0.0,0.0,
зіпер,зіпер,0,0.0,,0,0.0,0.0,
combatant,combatant,0,0.0,,0,0.0,0.0,
mattino,mattino,2,0.0,,0,0.0,0.0,
молнии,молн,0,0.0,,0,0.0,0.0,
брюки,брюк,1,0.0,,0,0.0,0.0,
hem,hem,0,0.0,,0,0.0,0.0,
твига,твиг,0,0.0,,0,0.0,0.0,
bedolaga,bedolaga,0,0.0,,0,0.0,0.0,
епштейна,епштейн,0,0.0,,0,0.0,0.0,
зійде,зійд,0,0.0,,0,0.0,0.0,
