Campaign,AdGroup,Criterion_id,Keyword,MatchType,Status,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Пошук \ Прапори,Милитари — RU,2489956243402,флаг медика,PHRASE,ENABLED,11,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243562,флаг артиллерии,PHRASE,ENABLED,13,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956244082,флаг минометчиков,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956244122,флаг связистов,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,2490137177263,corogva brand,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,2490228311419,corogva одяг,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,2488414165803,корогва одяг,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,2490716976868,корогва офіційний сайт,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,2544519506087,корогва бренд,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2486953125022,свитшот армійські вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487066856460,свитшот мілітарі замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487066864180,свитшот військові замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487069076460,світшоти військові замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487733116606,свитшот military магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487733232806,светри патріотичні замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487733241206,светри military замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487733382046,свитшот мілітарі магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487733959966,свитшот армійські ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487751592376,світшоти армійські замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487752547096,свитшот military купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487752624536,свитшот зсу замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487752640656,свитшот патріотичні купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487752648776,свитшот мілітарі замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487752696816,світшоти армійські вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487944624322,свитшот military ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2487944661562,свитшот military вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488150315350,кофти без капюшона патріотичні купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488150364150,світшоти військові вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488150365550,светри мілітарі вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488150366990,світшоти military замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488150372270,кофти без капюшона зсу магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488273876009,кофти без капюшона армійські купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488275967369,свитшот зсу купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488382194266,кофти без капюшона мілітарі купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488382513426,кофти без капюшона зсу замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488382544426,кофти без капюшона зсу замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488414410603,світшоти армійські ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488638048614,свитшот армійські замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488638865174,світшоти армійські купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488641660934,кофти без капюшона military ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488641740854,світшоти мілітарі ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488643080494,кофти без капюшона патріотичні вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871646413,свитшот зсу замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871650773,свитшот військові вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871690093,свитшот патріотичні замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871694173,светри патріотичні вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871696333,світшоти зсу вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871707853,кофти без капюшона мілітарі ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2488871710293,світшоти військові магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083443481,свитшот патріотичні вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083739641,светри військові магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083740161,кофти без капюшона військові вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083905281,свитшот армійські магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083913201,свитшот військові купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489083940041,кофти без капюшона армійські ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2489442355611,світшоти мілітарі замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490136539983,свитшот військові ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490136555423,свитшот military замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490137182783,світшоти патріотичні магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490137184943,свитшот патріотичні замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490137187823,світшоти зсу купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490137192103,светри military вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490223154859,світшоти мілітарі магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490223197099,світшоти мілітарі замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490223202579,свитшот патріотичні магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490223803259,кофти без капюшона патріотичні ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224085579,светри military магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224092739,світшоти військові купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224309499,кофти без капюшона мілітарі вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224328619,світшоти military замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224333259,кофти без капюшона зсу вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224354299,свитшот військові замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490224643979,кофти без капюшона зсу ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490226957099,свитшот військові магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490226962939,кофти без капюшона мілітарі магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227534379,світшоти military купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227544619,світшоти армійські замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227552059,кофти без капюшона зсу купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227558859,кофти без капюшона військові купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227607779,светри military ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227754899,свитшот армійські замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227763739,свитшот зсу вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490227964899,свитшот зсу ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490228157819,свитшот мілітарі вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490404984298,світшоти армійські магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490408269698,свитшот мілітарі ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490408699058,кофти без капюшона military магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490408707698,светри military купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490422138570,свитшот армійські купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490422139810,светри зсу ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490422140450,светри військові ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490422151090,світшоти патріотичні замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490422152290,світшоти патріотичні вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490423102210,світшоти military магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490424994330,светри військові вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490426681770,світшоти патріотичні купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490426719450,світшоти мілітарі купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490426721850,светри військові замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427207090,свитшот мілітарі купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427208850,світшоти зсу замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427210530,светри армійські ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427210730,светри армійські замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427215010,світшоти military ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490427216450,светри військові замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490555798705,кофти без капюшона патріотичні замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490716977108,светри армійські купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490716977628,кофти без капюшона патріотичні замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490717420668,кофти без капюшона армійські замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490717525028,світшоти зсу замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490717734588,свитшот зсу магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490717774908,светри зсу замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490717780228,кофти без капюшона військові ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490957697678,кофти без капюшона military купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490957708678,светри патріотичні купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2490957711838,светри патріотичні замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182409111,кофти без капюшона армійські магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182409671,світшоти військові ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182412231,светри патріотичні ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182414151,светри military замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182460071,кофти без капюшона military замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182521471,светри військові купити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182521511,світшоти патріотичні замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491182522391,кофти без капюшона військові замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491183332711,светри зсу вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491183333151,светри зсу замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2491183333391,светри зсу магазин,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2493395859341,светри мілітарі замовити,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2493395874621,світшоти military вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2493396062861,светри мілітарі замовлення,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2517476245124,светри мілітарі ціна,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Світшоти,2517478845964,кофти без капюшона military вартість,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
