word,stem,clicks_before,conversions_before,CVR_before_%,clicks_after,conversions_after,CVR_after_%,cost_after,p_value_decline
готика,готик,1,0.0,0.0,1,0.0,0.0,8.63,
cuprum,cuprum,0,0.0,,1,0.0,0.0,8.56,
depot,depot,0,0.0,,1,0.0,0.0,8.56,
яга,яг,5,0.0,0.0,2,0.0,0.0,8.53,
баба,баб,9,0.0,0.0,2,0.0,0.0,8.53,
onlywars,onlywars,0,0.0,,1,0.0,0.0,8.3,
логотип,логотип,0,0.0,,1,0.0,0.0,8.15,
спорт,спорт,1,0.0,0.0,1,0.0,0.0,8.15,
пушка,пушк,0,0.0,,1,0.0,0.0,8.02,
огонь,огон,0,0.0,,1,0.0,0.0,8.02,
класичні,класичні,0,0.0,,1,0.0,0.0,8.0,
семесюк,семесюк,0,0.0,,1,0.0,0.0,7.92,
моторхед,моторхед,0,0.0,,1,0.0,0.0,7.9,
територія,територі,0,0.0,,1,0.0,0.0,7.79,
цін,цін,0,0.0,,1,0.0,0.0,7.79,
мінімальних,мінімальн,0,0.0,,1,0.0,0.0,7.79,
стяг,стяг,1,0.0,0.0,1,0.0,0.0,7.72,
azazel,azazel,0,0.0,,1,0.0,0.0,7.68,
скеля,скел,1,0.0,0.0,1,0.0,0.0,7.65,
високий,висок,0,0.0,,1,0.0,0.0,7.6,
зріст,зріст,0,0.0,,1,0.0,0.0,7.6,
молодіжні,молодіжні,1,0.0,0.0,1,0.0,0.0,7.52,
юбка,юбк,0,0.0,,1,0.0,0.0,7.46,
своїм,своїм,0,0.0,,1,0.0,0.0,7.42,
рагнарок,рагнарок,1,0.0,0.0,1,0.0,0.0,7.25,
hellhound,hellhound,0,0.0,,1,0.0,0.0,7.18,
помаранчева,помаранчев,0,0.0,,1,0.0,0.0,7.16,
крыльями,крыл,0,0.0,,1,0.0,0.0,7.11,
armour,armour,0,0.0,,1,0.0,0.0,7.02,
under,under,0,0.0,,1,0.0,0.0,7.02,
райдивижен,райдивиж,0,0.0,,1,0.0,0.0,7.0,
рок,рок,3,0.0,0.0,1,0.0,0.0,6.87,
махно,махн,0,0.0,,1,0.0,0.0,6.81,
нестор,нестор,0,0.0,,1,0.0,0.0,6.81,
мужчин,мужчин,0,0.0,,1,0.0,0.0,6.78,
сайт,сайт,3,0.0,0.0,1,0.0,0.0,6.78,
гарден,гард,0,0.0,,2,0.0,0.0,6.61,
патасовка,патасовк,1,0.0,0.0,1,0.0,0.0,6.56,
набір,набір,0,0.0,,1,0.0,0.0,6.49,
райот,райот,0,0.0,,1,0.0,0.0,6.35,
man,man,0,0.0,,1,0.0,0.0,6.34,
спині,спині,2,0.0,0.0,1,0.0,0.0,6.32,
venom,venom,0,0.0,,1,0.0,0.0,6.28,
интернет,интернет,1,0.0,0.0,1,0.0,0.0,6.28,
днепр,днепр,0,0.0,,1,0.0,0.0,6.23,
хорогва,хорогв,0,0.0,,1,0.0,0.0,6.2,
гонор,гонор,0,0.0,,1,0.0,0.0,6.17,
ріот,ріот,8,0.0,0.0,1,0.0,0.0,6.14,
компані,компані,0,0.0,,1,0.0,0.0,5.96,
резинке,резинк,0,0.0,,1,0.0,0.0,5.8,
внизу,вниз,0,0.0,,1,0.0,0.0,5.8,
2026,2026,1,0.0,0.0,1,0.0,0.0,5.75,
модні,модні,2,0.0,0.0,1,0.0,0.0,5.75,
металшоп,металшоп,0,0.0,,1,0.0,0.0,5.74,
animals,animals,0,0.0,,1,0.0,0.0,5.7,
wave,wave,1,0.0,0.0,1,0.0,0.0,5.7,
sweetpants,sweetpants,1,0.0,0.0,1,0.0,0.0,5.69,
сарказм,сарказм,1,0.0,0.0,2,0.0,0.0,5.65,
джоггеры,джоггер,1,0.0,0.0,1,0.0,0.0,5.58,
феминиста,феминист,0,0.0,,1,0.0,0.0,5.42,
скейтбординг,скейтбординг,4,1.0,25.0,1,0.0,0.0,5.34,
свободного,свободн,1,0.0,0.0,1,0.0,0.0,5.32,
without,without,0,0.0,,1,0.0,0.0,5.3,
осінні,осінні,0,0.0,,1,0.0,0.0,5.09,
хартия,харт,0,0.0,,1,0.0,0.0,5.09,
флагшток,флагшток,5,0.0,0.0,4,0.0,0.0,4.97,
русню,русн,0,0.0,,1,0.0,0.0,4.88,
ріж,ріж,0,0.0,,1,0.0,0.0,4.88,
тіп,тіп,0,0.0,,1,0.0,0.0,4.57,
норм,норм,0,0.0,,1,0.0,0.0,4.57,
весняна,весня,0,0.0,,1,0.0,0.0,4.55,
military,military,6,0.0,0.0,1,0.0,0.0,4.44,
мани,ман,0,0.0,,1,0.0,0.0,4.31,
олд,олд,0,0.0,,1,0.0,0.0,4.31,
штурмова,штурмов,0,0.0,,1,0.0,0.0,4.28,
brave1,brave1,1,0.0,0.0,2,0.0,0.0,4.26,
небес,небес,0,0.0,,1,0.0,0.0,4.09,
смерть,смерт,1,0.0,0.0,1,0.0,0.0,4.09,
мала,мал,0,0.0,,1,0.0,0.0,4.08,
токмачка,токмачк,0,0.0,,1,0.0,0.0,4.08,
хейтспіч,хейтспіч,0,0.0,,1,0.0,0.0,4.06,
azna,azna,0,0.0,,1,0.0,0.0,3.88,
люверси,люверс,0,0.0,,1,0.0,0.0,3.84,
acid,acid,0,0.0,,1,0.0,0.0,3.73,
bath,bath,0,0.0,,1,0.0,0.0,3.73,
shirt,shirt,1,0.0,0.0,1,0.0,0.0,3.73,
черепами,череп,5,0.0,0.0,1,0.0,0.0,3.7,
братство,братств,0,0.0,,1,0.0,0.0,3.7,
манжетов,манжет,1,0.0,0.0,1,0.0,0.0,3.61,
essentials,essentials,1,0.0,0.0,1,0.0,0.0,3.52,
флисе,флис,0,0.0,,1,0.0,0.0,3.49,
запоріжжя,запоріжж,2,0.0,0.0,1,0.0,0.0,3.46,
зимові,зимові,1,0.0,0.0,1,0.0,0.0,3.28,
закріпити,закріпит,0,0.0,,2,0.0,0.0,3.28,
рай,ра,0,0.0,,1,0.0,0.0,3.26,
stay,stay,0,0.0,,1,0.0,0.0,3.24,
cold,cold,0,0.0,,1,0.0,0.0,3.24,
apparel,apparel,1,0.0,0.0,1,0.0,0.0,3.24,
кентпакет,кентпакет,0,0.0,,1,0.0,0.0,3.16,
tshirt,tshirt,0,0.0,,1,0.0,0.0,3.15,
товарів,товарів,0,0.0,,1,0.0,0.0,2.95,
іду,іду,1,0.0,0.0,1,0.0,0.0,2.93,
zakolot,zakolot,0,0.0,,1,0.0,0.0,2.92,
посадках,посадк,0,0.0,,1,0.0,0.0,2.86,
укороченные,укорочен,0,0.0,,1,0.0,0.0,2.82,
gang,gang,2,0.25,12.5,1,0.0,0.0,2.78,
optimus,optimus,2,0.25,12.5,1,0.0,0.0,2.78,
панк,панк,1,0.0,0.0,1,0.0,0.0,2.66,
white,white,3,0.0,0.0,1,0.0,0.0,2.59,
boy,boy,1,0.0,0.0,1,0.0,0.0,2.59,
київ,київ,2,0.0,0.0,1,0.0,0.0,2.52,
rusoriz,rusoriz,6,0.0,0.0,2,0.0,0.0,2.43,
флисовую,флисов,0,0.0,,1,0.0,0.0,2.41,
gymshark,gymshark,0,0.0,,1,0.0,0.0,2.37,
again,again,0,0.0,,1,0.0,0.0,2.35,
emo,emo,0,0.0,,1,0.0,0.0,2.35,
great,great,0,0.0,,1,0.0,0.0,2.35,
make,make,0,0.0,,1,0.0,0.0,2.35,
тримач,тримач,2,0.0,0.0,1,0.0,0.0,2.25,
free,free,0,0.0,,1,0.0,0.0,2.21,
azov,azov,0,0.0,,1,0.0,0.0,2.21,
літня,літня,0,0.0,,1,0.0,0.0,2.09,
інфраструктура,інфраструктур,0,0.0,,1,0.0,0.0,1.97,
критична,критичн,0,0.0,,1,0.0,0.0,1.97,
boys,boys,9,0.0,0.0,1,0.0,0.0,1.96,
рио,ри,0,0.0,,1,0.0,0.0,1.89,
hate,hate,2,0.0,0.0,1,0.0,0.0,1.88,
cult,cult,1,0.0,0.0,1,0.0,0.0,1.88,
буковина,буковин,0,0.0,,1,0.0,0.0,1.84,
anti,anti,1,0.0,0.0,1,0.0,0.0,1.71,
social,social,1,0.0,0.0,1,0.0,0.0,1.71,
captheuni,captheuni,2,0.0,0.0,1,0.0,0.0,1.47,
стрейч,стрейч,0,0.0,,1,0.0,0.0,1.43,
крепление,креплен,1,0.0,0.0,1,0.0,0.0,1.41,
mariupol,mariupol,0,0.0,,1,0.0,0.0,1.39,
спине,спин,5,0.0,0.0,1,0.0,0.0,1.31,
піратський,піратськ,0,0.0,,1,0.0,0.0,1.06,
командир,командир,0,0.0,,1,0.0,0.0,0.83,
герб,герб,1,0.0,0.0,1,0.0,0.0,0.79,
бригада,бригад,0,0.0,,1,0.0,0.0,0.76,
смерті,смерті,1,0.0,0.0,2,0.0,0.0,0.6,
столом,стол,1,0.0,0.0,1,0.0,0.0,0.49,
ролик,ролик,1,0.0,0.0,1,0.0,0.0,0.28,
арт,арт,0,0.0,,1,0.0,0.0,0.26,
мелодія,мелоді,0,0.0,,1,0.0,0.0,0.11,
ведмедем,ведмед,0,0.0,,0,0.0,,0.0,
helikon,helikon,1,0.0,0.0,0,0.0,,0.0,
брат,брат,0,0.0,,0,0.0,,0.0,
тканинні,тканинні,0,0.0,,0,0.0,,0.0,
front,front,0,0.0,,0,0.0,,0.0,
paket,paket,0,0.0,,0,0.0,,0.0,
motley,motley,0,0.0,,0,0.0,,0.0,
хто,хто,0,0.0,,0,0.0,,0.0,
swaggy,swaggy,0,0.0,,0,0.0,,0.0,
foods,foods,0,0.0,,0,0.0,,0.0,
піс,піс,0,0.0,,0,0.0,,0.0,
