word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
unltd,unltd,1,1,0,0.0,0.0,inf,0.0
hardy,hardy,2,3,0,0.0,0.0,inf,0.0
зипка,зипк,47,193,0,0.0,0.0,inf,0.0
endi,endi,1,1,0,0.0,0.0,inf,0.0
tshirt,tshirt,4,5,0,0.0,0.0,inf,0.0
eod,eod,1,2,0,0.0,0.0,inf,0.0
erd,erd,5,6,0,0.0,0.0,inf,0.0
esoteric,esoteric,1,3,0,0.0,0.0,inf,0.0
essentials,essentials,7,13,0,0.0,0.0,inf,0.0
estandartes,estandartes,1,34,0,0.0,0.0,inf,0.0
esteem,esteem,1,1,0,0.0,0.0,inf,0.0
evangelion,evangelion,1,1,0,0.0,0.0,inf,0.0
everfox,everfox,1,2,0,0.0,0.0,inf,0.0
everlast,everlast,1,1,0,0.0,0.0,inf,0.0
ewokyiv,ewokyiv,1,2,0,0.0,0.0,inf,0.0
fabregas,fabregas,2,2,0,0.0,0.0,inf,0.0
style,style,5,11,0,0.0,0.0,inf,0.0
faceit,faceit,1,1,0,0.0,0.0,inf,0.0
fahrenheit,fahrenheit,1,2,0,0.0,0.0,inf,0.0
farfi,farfi,1,2,0,0.0,0.0,inf,0.0
farfie,farfie,1,3,0,0.0,0.0,inf,0.0
farfieworldwide,farfieworldwide,1,3,0,0.0,0.0,inf,0.0
farfire,farfire,1,1,0,0.0,0.0,inf,0.0
fatline,fatline,1,1,0,0.0,0.0,inf,0.0
favourite,favourite,1,2,0,0.0,0.0,inf,0.0
lady,lady,1,1,0,0.0,0.0,inf,0.0
fayna,fayna,1,1,0,0.0,0.0,inf,0.0
faynalady,faynalady,1,1,0,0.0,0.0,inf,0.0
fdsfwsz,fdsfwsz,1,1,0,0.0,0.0,inf,0.0
ufkbxbyb,ufkbxbyb,1,1,0,0.0,0.0,inf,0.0
fear,fear,3,4,0,0.0,0.0,inf,0.0
factory,factory,1,1,0,0.0,0.0,inf,0.0
fight,fight,2,4,0,0.0,0.0,inf,0.0
like,like,3,5,0,0.0,0.0,inf,0.0
first,first,1,1,0,0.0,0.0,inf,0.0
blood,blood,1,1,0,0.0,0.0,inf,0.0
punch,punch,2,8,0,0.0,0.0,inf,0.0
five,five,1,1,0,0.0,0.0,inf,0.0
finger,finger,1,1,0,0.0,0.0,inf,0.0
flagberry,flagberry,1,1,0,0.0,0.0,inf,0.0
flagi,flagi,1,1,0,0.0,0.0,inf,0.0
flagmaster,flagmaster,1,2,0,0.0,0.0,inf,0.0
flagstore,flagstore,1,7,0,0.0,0.0,inf,0.0
flagsystem,flagsystem,1,3,0,0.0,0.0,inf,0.0
desire,desire,2,2,0,0.0,0.0,inf,0.0
flame,flame,2,2,0,0.0,0.0,inf,0.0
flarescence,flarescence,1,28,0,0.0,0.0,inf,0.0
fn3730,fn3730,1,1,0,0.0,0.0,inf,0.0
fog,fog,4,7,0,0.0,0.0,inf,0.0
fomo,fomo,2,3,0,0.0,0.0,inf,0.0
fonk,fonk,1,3,0,0.0,0.0,inf,0.0
urban,urban,15,80,0,0.0,0.0,inf,0.0
forge,forge,1,1,0,0.0,0.0,inf,0.0
forteresse,forteresse,1,3,0,0.0,0.0,inf,0.0
adiuvat,adiuvat,1,1,0,0.0,0.0,inf,0.0
fortuna,fortuna,1,1,0,0.0,0.0,inf,0.0
fortes,fortes,1,1,0,0.0,0.0,inf,0.0
observations,observations,3,8,0,0.0,0.0,inf,0.0
forward,forward,3,8,0,0.0,0.0,inf,0.0
fq4332,fq4332,1,4,0,0.0,0.0,inf,0.0
fred,fred,1,1,0,0.0,0.0,inf,0.0
perry,perry,1,1,0,0.0,0.0,inf,0.0
free,free,2,3,0,0.0,0.0,inf,0.0
azovstal,azovstal,1,1,0,0.0,0.0,inf,0.0
defenders,defenders,1,1,0,0.0,0.0,inf,0.0
friends,friends,1,1,0,0.0,0.0,inf,0.0
fashion,fashion,1,1,0,0.0,0.0,inf,0.0
frog,frog,1,1,0,0.0,0.0,inf,0.0
fromus,fromus,1,1,0,0.0,0.0,inf,0.0
frontier,frontier,1,10,0,0.0,0.0,inf,0.0
fulci,fulci,1,1,0,0.0,0.0,inf,0.0
futbolka,futbolka,1,1,0,0.0,0.0,inf,0.0
jhk,jhk,1,1,0,0.0,0.0,inf,0.0
g59,g59,1,1,0,0.0,0.0,inf,0.0
uicideboy,uicideboy,1,1,0,0.0,0.0,inf,0.0
gank,gank,3,8,0,0.0,0.0,inf,0.0
garage,garage,1,1,0,0.0,0.0,inf,0.0
garda,garda,6,22,0,0.0,0.0,inf,0.0
gart,gart,1,5,0,0.0,0.0,inf,0.0
gbc,gbc,1,1,0,0.0,0.0,inf,0.0
lab,lab,1,8,0,0.0,0.0,inf,0.0
gear,gear,3,11,0,0.0,0.0,inf,0.0
gearlab,gearlab,2,3,0,0.0,0.0,inf,0.0
german,german,1,1,0,0.0,0.0,inf,0.0
kyiv,kyiv,5,25,0,0.0,0.0,inf,0.0
ghost,ghost,1,1,0,0.0,0.0,inf,0.0
gig,gig,1,1,0,0.0,0.0,inf,0.0
gildan,gildan,1,2,0,0.0,0.0,inf,0.0
fit,fit,12,16,0,0.0,0.0,inf,0.0
woman,woman,1,1,0,0.0,0.0,inf,0.0
goldi,goldi,2,4,0,0.0,0.0,inf,0.0
gonor,gonor,2,21,0,0.0,0.0,inf,0.0
gonorovi,gonorovi,1,1,0,0.0,0.0,inf,0.0
good,good,12,361,0,0.0,0.0,inf,0.0
днепр,днепр,5,7,0,0.0,0.0,inf,0.0
івано,іван,1,1,0,0.0,0.0,inf,0.0
франківськ,франківськ,1,1,0,0.0,0.0,inf,0.0
goodboys,goodboys,1,42,0,0.0,0.0,inf,0.0
goodboysclub,goodboysclub,1,14,0,0.0,0.0,inf,0.0
gordon,gordon,1,1,0,0.0,0.0,inf,0.0
gorpcore,gorpcore,1,1,0,0.0,0.0,inf,0.0
records,records,1,1,0,0.0,0.0,inf,0.0
goth,goth,1,1,0,0.0,0.0,inf,0.0
money,money,2,2,0,0.0,0.0,inf,0.0
goverla,goverla,1,5,0,0.0,0.0,inf,0.0
grailed,grailed,1,2,0,0.0,0.0,inf,0.0
grand,grand,1,1,0,0.0,0.0,inf,0.0
hoodies,hoodies,2,2,0,0.0,0.0,inf,0.0
graphic,graphic,1,1,0,0.0,0.0,inf,0.0
grechka,grechka,1,2,0,0.0,0.0,inf,0.0
gruf,gruf,1,2,0,0.0,0.0,inf,0.0
grunt,grunt,1,2,0,0.0,0.0,inf,0.0
gwear,gwear,2,31,0,0.0,0.0,inf,0.0
gymbeam,gymbeam,1,1,0,0.0,0.0,inf,0.0
rest,rest,1,1,0,0.0,0.0,inf,0.0
day,day,1,1,0,0.0,0.0,inf,0.0
relaxed,relaxed,2,2,0,0.0,0.0,inf,0.0
haliky,haliky,1,1,0,0.0,0.0,inf,0.0
kjobenhavn,kjobenhavn,1,1,0,0.0,0.0,inf,0.0
han,han,1,1,0,0.0,0.0,inf,0.0
handy,handy,1,1,0,0.0,0.0,inf,0.0
holly,holly,1,1,0,0.0,0.0,inf,0.0
happy,happy,1,1,0,0.0,0.0,inf,0.0
hard,hard,4,24,0,0.0,0.0,inf,0.0
kiev,kiev,1,2,0,0.0,0.0,inf,0.0
hardsoda,hardsoda,1,1,0,0.0,0.0,inf,0.0
hate,hate,16,159,0,0.0,0.0,inf,0.0
foids,foids,1,3,0,0.0,0.0,inf,0.0
forest,forest,3,6,0,0.0,0.0,inf,0.0
hatebreed,hatebreed,1,1,0,0.0,0.0,inf,0.0
hatecult,hatecult,1,3,0,0.0,0.0,inf,0.0
hatred,hatred,1,1,0,0.0,0.0,inf,0.0
headbag,headbag,2,6,0,0.0,0.0,inf,0.0
headbagrv,headbagrv,1,1,0,0.0,0.0,inf,0.0
hediraiser,hediraiser,1,1,0,0.0,0.0,inf,0.0
hedonist,hedonist,1,2,0,0.0,0.0,inf,0.0
tex,tex,2,6,0,0.0,0.0,inf,0.0
helikon,helikon,2,6,0,0.0,0.0,inf,0.0
hell,hell,3,6,0,0.0,0.0,inf,0.0
hellboy,hellboy,1,2,0,0.0,0.0,inf,0.0
heroism,heroism,1,5,0,0.0,0.0,inf,0.0
heron,heron,1,1,0,0.0,0.0,inf,0.0
preston,preston,1,1,0,0.0,0.0,inf,0.0
hibrand,hibrand,1,3,0,0.0,0.0,inf,0.0
hobojack,hobojack,1,1,0,0.0,0.0,inf,0.0
equipment,equipment,1,1,0,0.0,0.0,inf,0.0
hoffmann,hoffmann,1,1,0,0.0,0.0,inf,0.0
homey,homey,1,2,0,0.0,0.0,inf,0.0
honey,honey,1,1,0,0.0,0.0,inf,0.0
honorovy,honorovy,1,13,0,0.0,0.0,inf,0.0
deprimes,deprimes,1,1,0,0.0,0.0,inf,0.0
enfants,enfants,1,1,0,0.0,0.0,inf,0.0
riches,riches,1,1,0,0.0,0.0,inf,0.0
hooligan,hooligan,4,16,0,0.0,0.0,inf,0.0
hooligans,hooligans,2,3,0,0.0,0.0,inf,0.0
hornheroes,hornheroes,1,1,0,0.0,0.0,inf,0.0
horror,horror,1,1,0,0.0,0.0,inf,0.0
house,house,4,5,0,0.0,0.0,inf,0.0
howar,howar,1,1,0,0.0,0.0,inf,0.0
hozier,hozier,1,1,0,0.0,0.0,inf,0.0
https,https,2,9,0,0.0,0.0,inf,0.0
customwear,customwear,1,2,0,0.0,0.0,inf,0.0
hujak,hujak,1,1,0,0.0,0.0,inf,0.0
production,production,1,1,0,0.0,0.0,inf,0.0
husl,husl,1,1,0,0.0,0.0,inf,0.0
husll,husll,3,17,0,0.0,0.0,inf,0.0
hussl,hussl,1,2,0,0.0,0.0,inf,0.0
hussle,hussle,1,1,0,0.0,0.0,inf,0.0
hygge,hygge,1,6,0,0.0,0.0,inf,0.0
icono,icono,1,1,0,0.0,0.0,inf,0.0
couture,couture,3,4,0,0.0,0.0,inf,0.0
ida,ida,1,1,0,0.0,0.0,inf,0.0
impact,impact,1,1,0,0.0,0.0,inf,0.0
flames,flames,1,2,0,0.0,0.0,inf,0.0
independent,independent,2,3,0,0.0,0.0,inf,0.0
injir,injir,1,1,0,0.0,0.0,inf,0.0
inspiradora,inspiradora,1,7,0,0.0,0.0,inf,0.0
island,island,3,13,0,0.0,0.0,inf,0.0
islnd,islnd,1,23,0,0.0,0.0,inf,0.0
cook,cook,1,6,0,0.0,0.0,inf,0.0
je3977,je3977,1,2,0,0.0,0.0,inf,0.0
jinsovik,jinsovik,1,1,0,0.0,0.0,inf,0.0
johnny,johnny,1,1,0,0.0,0.0,inf,0.0
jolybell,jolybell,2,5,0,0.0,0.0,inf,0.0
k9company,k9company,1,3,0,0.0,0.0,inf,0.0
kaif,kaif,3,3,0,0.0,0.0,inf,0.0
clo,clo,2,4,0,0.0,0.0,inf,0.0
kakazzy,kakazzy,1,1,0,0.0,0.0,inf,0.0
kanonenfieber,kanonenfieber,1,1,0,0.0,0.0,inf,0.0
kapkan,kapkan,2,7,0,0.0,0.0,inf,0.0
karakurt,karakurt,1,2,0,0.0,0.0,inf,0.0
karma,karma,3,5,0,0.0,0.0,inf,0.0
noire,noire,4,6,0,0.0,0.0,inf,0.0
karmanoire,karmanoire,1,1,0,0.0,0.0,inf,0.0
kashalot,kashalot,1,1,0,0.0,0.0,inf,0.0
kasta,kasta,1,1,0,0.0,0.0,inf,0.0
kaulko,kaulko,1,2,0,0.0,0.0,inf,0.0
keep,keep,2,5,0,0.0,0.0,inf,0.0
keepneedle,keepneedle,1,1,0,0.0,0.0,inf,0.0
keepstyle,keepstyle,2,6,0,0.0,0.0,inf,0.0
paket,paket,1,8,0,0.0,0.0,inf,0.0
kent,kent,1,8,0,0.0,0.0,inf,0.0
kentpaket,kentpaket,1,6,0,0.0,0.0,inf,0.0
keotica,keotica,1,1,0,0.0,0.0,inf,0.0
kharkiv,kharkiv,3,4,0,0.0,0.0,inf,0.0
khartiia,khartiia,1,1,0,0.0,0.0,inf,0.0
kikilo,kikilo,1,1,0,0.0,0.0,inf,0.0
kill,kill,2,17,0,0.0,0.0,inf,0.0
killer,killer,1,2,0,0.0,0.0,inf,0.0
killstar,killstar,2,2,0,0.0,0.0,inf,0.0
mind,mind,1,1,0,0.0,0.0,inf,0.0
blind,blind,1,1,0,0.0,0.0,inf,0.0
україна,україн,36,137,0,0.0,0.0,inf,0.0
come,come,1,1,0,0.0,0.0,inf,0.0
kingdom,kingdom,2,2,0,0.0,0.0,inf,0.0
kirakilla,kirakilla,2,4,0,0.0,0.0,inf,0.0
kll,kll,1,1,0,0.0,0.0,inf,0.0
knight,knight,1,1,0,0.0,0.0,inf,0.0
horse,horse,1,1,0,0.0,0.0,inf,0.0
dept,dept,1,1,0,0.0,0.0,inf,0.0
konyk,konyk,1,1,0,0.0,0.0,inf,0.0
korogva,korogva,1,3,0,0.0,0.0,inf,0.0
kots,kots,1,1,0,0.0,0.0,inf,0.0
kovalevskiy,kovalevskiy,2,7,0,0.0,0.0,inf,0.0
kovovy,kovovy,1,1,0,0.0,0.0,inf,0.0
kramatan,kramatan,2,19,0,0.0,0.0,inf,0.0
krbk,krbk,1,3,0,0.0,0.0,inf,0.0
haine,haine,1,1,0,0.0,0.0,inf,0.0
lagoa,lagoa,1,1,0,0.0,0.0,inf,0.0
lamb,lamb,1,1,0,0.0,0.0,inf,0.0
god,god,3,4,0,0.0,0.0,inf,0.0
landmvrks,landmvrks,1,1,0,0.0,0.0,inf,0.0
latexfauna,latexfauna,1,2,0,0.0,0.0,inf,0.0
legalize,legalize,1,1,0,0.0,0.0,inf,0.0
leleka,leleka,1,1,0,0.0,0.0,inf,0.0
lexie,lexie,1,3,0,0.0,0.0,inf,0.0
lgb,lgb,1,1,0,0.0,0.0,inf,0.0
lifesaving,lifesaving,1,2,0,0.0,0.0,inf,0.0
likey,likey,1,1,0,0.0,0.0,inf,0.0
literaturniy,literaturniy,1,1,0,0.0,0.0,inf,0.0
sleeve,sleeve,1,2,0,0.0,0.0,inf,0.0
long,long,1,2,0,0.0,0.0,inf,0.0
lonsdale,lonsdale,4,8,0,0.0,0.0,inf,0.0
ample,ample,1,1,0,0.0,0.0,inf,0.0
loose,loose,9,13,0,0.0,0.0,inf,0.0
sweatpant,sweatpant,1,2,0,0.0,0.0,inf,0.0
lost,lost,2,2,0,0.0,0.0,inf,0.0
lord,lord,1,1,0,0.0,0.0,inf,0.0
louchesaints,louchesaints,1,1,0,0.0,0.0,inf,0.0
lucky,lucky,1,2,0,0.0,0.0,inf,0.0
humanoid,humanoid,1,2,0,0.0,0.0,inf,0.0
luckyhumanoid,luckyhumanoid,1,1,0,0.0,0.0,inf,0.0
lud,lud,1,1,0,0.0,0.0,inf,0.0
class,class,1,3,0,0.0,0.0,inf,0.0
lurking,lurking,1,3,0,0.0,0.0,inf,0.0
lyapka,lyapka,1,1,0,0.0,0.0,inf,0.0
tac,tac,5,17,0,0.0,0.0,inf,0.0
m0d44,m0d44,1,1,0,0.0,0.0,inf,0.0
m8l8th,m8l8th,5,15,0,0.0,0.0,inf,0.0
madhappy,madhappy,1,2,0,0.0,0.0,inf,0.0
maikasoft,maikasoft,1,2,0,0.0,0.0,inf,0.0
maikoff,maikoff,1,1,0,0.0,0.0,inf,0.0
street,street,2,2,0,0.0,0.0,inf,0.0
main,main,1,1,0,0.0,0.0,inf,0.0
malva,malva,1,1,0,0.0,0.0,inf,0.0
manto,manto,1,4,0,0.0,0.0,inf,0.0
maroon,maroon,1,1,0,0.0,0.0,inf,0.0
massdnm,massdnm,1,1,0,0.0,0.0,inf,0.0
dutti,dutti,1,1,0,0.0,0.0,inf,0.0
jogging,jogging,1,1,0,0.0,0.0,inf,0.0
massimo,massimo,1,1,0,0.0,0.0,inf,0.0
trousers,trousers,4,6,0,0.0,0.0,inf,0.0
master,master,1,2,0,0.0,0.0,inf,0.0
scam,scam,3,5,0,0.0,0.0,inf,0.0
masterscam,masterscam,1,1,0,0.0,0.0,inf,0.0
masuvent,masuvent,1,1,0,0.0,0.0,inf,0.0
matiko,matiko,1,1,0,0.0,0.0,inf,0.0
matinno,matinno,1,5,0,0.0,0.0,inf,0.0
matino,matino,3,22,0,0.0,0.0,inf,0.0
mattin,mattin,1,6,0,0.0,0.0,inf,0.0
mattini,mattini,1,4,0,0.0,0.0,inf,0.0
mattino,mattino,7,135,0,0.0,0.0,inf,0.0
відгуки,відгук,2,3,0,0.0,0.0,inf,0.0
mattion,mattion,1,1,0,0.0,0.0,inf,0.0
maverik,maverik,1,3,0,0.0,0.0,inf,0.0
mdma,mdma,2,3,0,0.0,0.0,inf,0.0
memento,memento,1,1,0,0.0,0.0,inf,0.0
mori,mori,1,1,0,0.0,0.0,inf,0.0
mems,mems,1,1,0,0.0,0.0,inf,0.0
mertra,mertra,1,1,0,0.0,0.0,inf,0.0
meshuggah,meshuggah,1,2,0,0.0,0.0,inf,0.0
metacultura,metacultura,1,1,0,0.0,0.0,inf,0.0
org,org,2,3,0,0.0,0.0,inf,0.0
metalshop,metalshop,3,7,0,0.0,0.0,inf,0.0
mfstore,mfstore,1,4,0,0.0,0.0,inf,0.0
militan,militan,1,1,0,0.0,0.0,inf,0.0
militant,militant,3,26,0,0.0,0.0,inf,0.0
zone,zone,2,25,0,0.0,0.0,inf,0.0
cat,cat,1,1,0,0.0,0.0,inf,0.0
poster,poster,1,7,0,0.0,0.0,inf,0.0
tactical,tactical,11,62,0,0.0,0.0,inf,0.0
milneptune,milneptune,1,1,0,0.0,0.0,inf,0.0
misanthropic,misanthropic,1,1,0,0.0,0.0,inf,0.0
misbhv,misbhv,1,2,0,0.0,0.0,inf,0.0
misfits,misfits,2,4,0,0.0,0.0,inf,0.0
mocko,mocko,1,1,0,0.0,0.0,inf,0.0
львів,львів,9,13,0,0.0,0.0,inf,0.0
mod44,mod44,1,2,0,0.0,0.0,inf,0.0
mojave,mojave,1,2,0,0.0,0.0,inf,0.0
monochromica,monochromica,1,1,0,0.0,0.0,inf,0.0
monoclo,monoclo,1,2,0,0.0,0.0,inf,0.0
carlo,carlo,1,1,0,0.0,0.0,inf,0.0
monte,monte,1,1,0,0.0,0.0,inf,0.0
morbid,morbid,1,1,0,0.0,0.0,inf,0.0
morning,morning,1,1,0,0.0,0.0,inf,0.0
moshkovsky,moshkovsky,1,1,0,0.0,0.0,inf,0.0
mostwanted,mostwanted,1,2,0,0.0,0.0,inf,0.0
motanka,motanka,1,1,0,0.0,0.0,inf,0.0
motorhead,motorhead,2,3,0,0.0,0.0,inf,0.0
mottino,mottino,1,16,0,0.0,0.0,inf,0.0
reaper,reaper,1,1,0,0.0,0.0,inf,0.0
mtac,mtac,2,2,0,0.0,0.0,inf,0.0
multicat,multicat,1,7,0,0.0,0.0,inf,0.0
muwahhid,muwahhid,1,1,0,0.0,0.0,inf,0.0
naiznanku,naiznanku,1,1,0,0.0,0.0,inf,0.0
bitches,bitches,1,2,0,0.0,0.0,inf,0.0
namaste,namaste,1,2,0,0.0,0.0,inf,0.0
nasty,nasty,1,1,0,0.0,0.0,inf,0.0
nazgul,nazgul,1,1,0,0.0,0.0,inf,0.0
nemesis,nemesis,1,3,0,0.0,0.0,inf,0.0
nerpa,nerpa,1,1,0,0.0,0.0,inf,0.0
new,new,5,8,0,0.0,0.0,inf,0.0
balance,balance,5,8,0,0.0,0.0,inf,0.0
ngg,ngg,1,1,0,0.0,0.0,inf,0.0
issue,issue,1,1,0,0.0,0.0,inf,0.0
dri,dri,1,1,0,0.0,0.0,inf,0.0
standard,standard,1,1,0,0.0,0.0,inf,0.0
oversize,oversize,5,8,0,0.0,0.0,inf,0.0
sportswear,sportswear,2,3,0,0.0,0.0,inf,0.0
tech,tech,4,5,0,0.0,0.0,inf,0.0
nikifilini,nikifilini,1,1,0,0.0,0.0,inf,0.0
nikow,nikow,2,2,0,0.0,0.0,inf,0.0
nine,nine,5,8,0,0.0,0.0,inf,0.0
line,line,2,4,0,0.0,0.0,inf,0.0
nirvana,nirvana,4,6,0,0.0,0.0,inf,0.0
life,life,2,3,0,0.0,0.0,inf,0.0
knife,knife,2,3,0,0.0,0.0,inf,0.0
other,other,1,1,0,0.0,0.0,inf,0.0
name,name,1,1,0,0.0,0.0,inf,0.0
mortum,mortum,1,1,0,0.0,0.0,inf,0.0
nokturnal,nokturnal,1,1,0,0.0,0.0,inf,0.0
norba,norba,1,1,0,0.0,0.0,inf,0.0
nordic,nordic,1,1,0,0.0,0.0,inf,0.0
north,north,7,8,0,0.0,0.0,inf,0.0
nosferatu,nosferatu,1,2,0,0.0,0.0,inf,0.0
notaboo,notaboo,1,1,0,0.0,0.0,inf,0.0
sho,sho,1,1,0,0.0,0.0,inf,0.0
nude,nude,1,1,0,0.0,0.0,inf,0.0
barcelona,barcelona,1,1,0,0.0,0.0,inf,0.0
number,number,1,1,0,0.0,0.0,inf,0.0
nation,nation,1,2,0,0.0,0.0,inf,0.0
oaf,oaf,1,2,0,0.0,0.0,inf,0.0
oberig,oberig,2,4,0,0.0,0.0,inf,0.0
ocean,ocean,1,3,0,0.0,0.0,inf,0.0
odf,odf,1,1,0,0.0,0.0,inf,0.0
odin,odin,1,2,0,0.0,0.0,inf,0.0
arrow,arrow,1,1,0,0.0,0.0,inf,0.0
scan,scan,1,1,0,0.0,0.0,inf,0.0
off,off,2,2,0,0.0,0.0,inf,0.0
ogon,ogon,1,1,0,0.0,0.0,inf,0.0
pushka,pushka,1,1,0,0.0,0.0,inf,0.0
ogonpushka,ogonpushka,2,5,0,0.0,0.0,inf,0.0
ogp,ogp,6,52,0,0.0,0.0,inf,0.0
ohueno,ohueno,1,6,0,0.0,0.0,inf,0.0
sva,sva,5,65,0,0.0,0.0,inf,0.0
school,school,4,6,0,0.0,0.0,inf,0.0
old,old,4,6,0,0.0,0.0,inf,0.0
stone,stone,7,68,0,0.0,0.0,inf,0.0
ololol,ololol,1,1,0,0.0,0.0,inf,0.0
olx,olx,1,1,0,0.0,0.0,inf,0.0
six,six,7,18,0,0.0,0.0,inf,0.0
oneface,oneface,1,1,0,0.0,0.0,inf,0.0
only,only,1,8,0,0.0,0.0,inf,0.0
onlywars,onlywars,3,17,0,0.0,0.0,inf,0.0
opg,opg,1,1,0,0.0,0.0,inf,0.0
optimus,optimus,4,40,0,0.0,0.0,inf,0.0
gang,gang,4,40,0,0.0,0.0,inf,0.0
optimusgang,optimusgang,1,1,0,0.0,0.0,inf,0.0
orcteryx,orcteryx,1,13,0,0.0,0.0,inf,0.0
origin,origin,3,11,0,0.0,0.0,inf,0.0
oska,oska,1,3,0,0.0,0.0,inf,0.0
oslo,oslo,1,8,0,0.0,0.0,inf,0.0
otricala,otricala,2,5,0,0.0,0.0,inf,0.0
ouroboros,ouroboros,1,3,0,0.0,0.0,inf,0.0
out,out,2,2,0,0.0,0.0,inf,0.0
брюки,брюк,35,48,0,0.0,0.0,inf,0.0
overvest,overvest,1,1,0,0.0,0.0,inf,0.0
loveless,loveless,1,1,0,0.0,0.0,inf,0.0
oysho,oysho,2,3,0,0.0,0.0,inf,0.0
ozzy,ozzy,1,2,0,0.0,0.0,inf,0.0
osbourne,osbourne,1,2,0,0.0,0.0,inf,0.0
sports,sports,1,1,0,0.0,0.0,inf,0.0
modern,modern,1,1,0,0.0,0.0,inf,0.0
p48,p48,1,1,0,0.0,0.0,inf,0.0
painkiller,painkiller,1,2,0,0.0,0.0,inf,0.0
angels,angels,1,1,0,0.0,0.0,inf,0.0
palm,palm,1,1,0,0.0,0.0,inf,0.0
реплика,реплик,1,1,0,0.0,0.0,inf,0.0
pangaia,pangaia,1,1,0,0.0,0.0,inf,0.0
papahapa,papahapa,1,1,0,0.0,0.0,inf,0.0
pappahapa,pappahapa,1,1,0,0.0,0.0,inf,0.0
drive,drive,2,4,0,0.0,0.0,inf,0.0
parkway,parkway,2,4,0,0.0,0.0,inf,0.0
partyhard,partyhard,2,3,0,0.0,0.0,inf,0.0
paskuda,paskuda,1,1,0,0.0,0.0,inf,0.0
patagonia,patagonia,1,3,0,0.0,0.0,inf,0.0
patasovka,patasovka,1,1,0,0.0,0.0,inf,0.0
patchera,patchera,1,1,0,0.0,0.0,inf,0.0
patriot,patriot,1,1,0,0.0,0.0,inf,0.0
peaceful,peaceful,3,9,0,0.0,0.0,inf,0.0
peclotoys,peclotoys,1,19,0,0.0,0.0,inf,0.0
peklo,peklo,5,223,0,0.0,0.0,inf,0.0
peklotoys,peklotoys,1,8,0,0.0,0.0,inf,0.0
pennywise,pennywise,1,1,0,0.0,0.0,inf,0.0
perun,perun,2,9,0,0.0,0.0,inf,0.0
peste,peste,1,1,0,0.0,0.0,inf,0.0
pezet,pezet,1,2,0,0.0,0.0,inf,0.0
phantomcat,phantomcat,1,11,0,0.0,0.0,inf,0.0
pink,pink,1,1,0,0.0,0.0,inf,0.0
lama,lama,2,6,0,0.0,0.0,inf,0.0
pisdato,pisdato,1,1,0,0.0,0.0,inf,0.0
west,west,2,2,0,0.0,0.0,inf,0.0
bull,bull,1,1,0,0.0,0.0,inf,0.0
pit,pit,1,1,0,0.0,0.0,inf,0.0
coast,coast,2,2,0,0.0,0.0,inf,0.0
pitbull,pitbull,2,2,0,0.0,0.0,inf,0.0
pla4,pla4,1,2,0,0.0,0.0,inf,0.0
pla444,pla444,1,1,0,0.0,0.0,inf,0.0
plame,plame,1,1,0,0.0,0.0,inf,0.0
pleasures,pleasures,1,1,0,0.0,0.0,inf,0.0
pobedov,pobedov,1,2,0,0.0,0.0,inf,0.0
podmost,podmost,1,5,0,0.0,0.0,inf,0.0
pohui,pohui,2,2,0,0.0,0.0,inf,0.0
pohuy,pohuy,7,34,0,0.0,0.0,inf,0.0
pohyi,pohyi,1,1,0,0.0,0.0,inf,0.0
poirier,poirier,1,1,0,0.0,0.0,inf,0.0
polar,polar,1,2,0,0.0,0.0,inf,0.0
skate,skate,1,2,0,0.0,0.0,inf,0.0
surf,surf,1,2,0,0.0,0.0,inf,0.0
ralph,ralph,2,2,0,0.0,0.0,inf,0.0
polo,polo,1,1,0,0.0,0.0,inf,0.0
lauren,lauren,2,2,0,0.0,0.0,inf,0.0
potasovka,potasovka,4,18,0,0.0,0.0,inf,0.0
kick,kick,1,6,0,0.0,0.0,inf,0.0
head,head,1,6,0,0.0,0.0,inf,0.0
potosovka,potosovka,1,1,0,0.0,0.0,inf,0.0
primark,primark,2,2,0,0.0,0.0,inf,0.0
шорты,шорт,19,26,0,0.0,0.0,inf,0.0
fantaziua,fantaziua,1,1,0,0.0,0.0,inf,0.0
printed,printed,1,1,0,0.0,0.0,inf,0.0
printfamily,printfamily,1,1,0,0.0,0.0,inf,0.0
printformer,printformer,1,3,0,0.0,0.0,inf,0.0
problems,problems,1,2,0,0.0,0.0,inf,0.0
proco,proco,1,1,0,0.0,0.0,inf,0.0
prof1group,prof1group,1,4,0,0.0,0.0,inf,0.0
profi,profi,1,1,0,0.0,0.0,inf,0.0
prom,prom,1,2,0,0.0,0.0,inf,0.0
our,our,1,2,0,0.0,0.0,inf,0.0
parks,parks,1,2,0,0.0,0.0,inf,0.0
protect,protect,1,2,0,0.0,0.0,inf,0.0
national,national,1,2,0,0.0,0.0,inf,0.0
psd,psd,4,22,0,0.0,0.0,inf,0.0
info,info,2,17,0,0.0,0.0,inf,0.0
psdinfo,psdinfo,1,1,0,0.0,0.0,inf,0.0
pull,pull,5,7,0,0.0,0.0,inf,0.0
bear,bear,6,8,0,0.0,0.0,inf,0.0
pullup,pullup,2,4,0,0.0,0.0,inf,0.0
puma,puma,3,3,0,0.0,0.0,inf,0.0
outlet,outlet,1,1,0,0.0,0.0,inf,0.0
purewhite,purewhite,1,1,0,0.0,0.0,inf,0.0
purple,purple,1,5,0,0.0,0.0,inf,0.0
