date,product_id,product_title,l1,clicks,cost,conversions
2026-07-16,gla_32260,Зіп-худі unisex “Welcome to hell”,sale,4,33.8,0.0
2026-07-16,gla_32081,Зіп-худі unisex “Welcome to hell”,sale,1,8.22,0.0
2026-07-16,gla_32175,Футболка unisex “Garden of Bones”,новинки,1,5.09,0.0
2026-07-16,gla_33226,"Прапор ""Вампір""",прапори,1,5.97,0.0
2026-07-16,gla_30664,"Прапор ""Дорога на схід""",прапори,1,3.35,0.0
2026-07-16,gla_28187,"Прапор ""FPV пілот""",прапори,2,34.55,0.0
2026-07-16,gla_33196,"Прапор ""Привіт від Богдани""",прапори,2,34.27,0.0
2026-07-16,gla_32244,Штани жіночі спортивні широкі,sale,2,18.59,0.0
2026-07-16,gla_32287,Зіп-худі unisex “Azazel”,sale,1,20.48,0.0
2026-07-16,gla_28559,"Футболка ""База""",чоловічий одяг,5,48.9,0.0
2026-07-16,gla_32264,Зіп-худі unisex “Tarot”,sale,1,12.9,0.0
2026-07-16,gla_33476,"Прапор ""В етері""",прапори,1,57.38,0.0
2026-07-16,gla_32774,"Футболка unisex ""Вампір""",sale,1,62.29,0.0
2026-07-16,gla_32265,Зіп-худі unisex “Tarot”,sale,1,12.12,0.0
2026-07-16,gla_32266,Зіп-худі unisex “Tarot”,sale,1,2.8,0.0
2026-07-16,gla_28014,"Прапор ""Донбас""",прапори,1,10.12,0.0
2026-07-16,gla_32135,Футболка unisex “Warrior”,чоловічий одяг,1,12.78,0.0
2026-07-16,gla_32328,Футболка unisex “Garden of Bones”,sale,1,7.07,0.0
2026-07-16,gla_29649,"Худі oversize ""Історія""",sale,4,46.77,0.0
2026-07-16,gla_32103,Зіп-худі unisex “Arch of the Underworld”,sale,2,13.97,0.0
2026-07-16,gla_28377,"Прапор ""Одного разу під Луганськом""",прапори,1,8.31,0.0
2026-07-16,gla_32307,Футболка unisex “Welcome to hell”,sale,1,7.86,0.0
2026-07-16,gla_33450,"Прапор ""Згідно з наказом""",прапори,1,7.51,0.0
2026-07-16,gla_28008,"Прапор ""Донецьк""",прапори,1,4.79,1.0
2026-07-16,gla_28259,"Прапор ""Водій""",прапори,1,5.05,0.0
2026-07-16,gla_30710,"Прапор ""Баба Яга""",прапори,1,0.25,0.0
2026-07-16,gla_33205,"Прапор ""Стабік""",прапори,1,7.73,0.0
2026-07-16,gla_32154,Футболка unisex “Welcome to hell”,чоловічий одяг,1,7.54,0.0
2026-07-16,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,6,61.08,0.0
2026-07-16,gla_27995,"Прапор ""Воїн в полі""",прапори,1,18.71,0.0
2026-07-16,gla_32133,Футболка unisex “Warrior”,чоловічий одяг,3,72.61,0.0
2026-07-16,gla_32235,Світшот чоловічий “Azazel”,чоловічий одяг,1,5.21,0.0
2026-07-17,gla_30751,"Прапор ""Камікадзе""",прапори,1,3.47,0.0
2026-07-17,gla_32073,Зіп-худі unisex “Warrior”,sale,2,15.29,0.0
2026-07-17,gla_32308,Футболка unisex “Welcome to hell”,sale,2,7.38,0.0
2026-07-17,gla_32272,Зіп-худі unisex “Garden of Bones”,жіночий одяг,1,6.98,0.0
2026-07-17,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,1,5.81,0.0
2026-07-17,gla_28168,"Прапор ""Серебрянський ліс""",прапори,1,19.13,0.0
2026-07-17,gla_32199,"Футболка unisex ""Вампір""",sale,3,51.27,0.0
2026-07-17,gla_32051,Штани чоловічі спортивні широкі,sale,3,16.56,0.0
2026-07-17,gla_28002,"Прапор ""Дрони ведуть""",прапори,3,111.58,0.0
2026-07-17,gla_32267,Зіп-худі unisex “Tarot”,sale,1,4.01,0.0
2026-07-17,gla_32085,Зіп-худі unisex “Tarot”,sale,1,6.39,0.0
2026-07-17,gla_32107,Зіп-худі unisex “Azazel”,sale,1,29.06,0.0
2026-07-17,gla_30321,"Прапор ""Інструктор""",прапори,1,16.14,0.0
2026-07-17,gla_33517,"Прапор ""Перехоплювач""",прапори,1,7.06,0.0
2026-07-17,gla_32134,Футболка unisex “Warrior”,чоловічий одяг,2,23.18,0.0
2026-07-17,gla_33468,"Прапор ""Залізні побратими""",прапори,1,10.37,0.0
2026-07-17,gla_32052,Штани чоловічі спортивні широкі,sale,4,33.35,0.0
2026-07-17,gla_32081,Зіп-худі unisex “Welcome to hell”,sale,1,8.19,0.0
2026-07-17,gla_33211,"Прапор ""А шо там в баби на городі?""",прапори,2,25.48,0.0
2026-07-17,gla_32175,Футболка unisex “Garden of Bones”,новинки,1,6.67,0.0
2026-07-17,gla_29650,"Худі oversize ""Історія""",sale,1,2.94,0.0
2026-07-17,gla_32054,Штани чоловічі спортивні широкі,sale,1,4.74,0.0
2026-07-17,gla_33238,"Прапор ""Прогноз погоди: град""",прапори,1,12.86,0.0
2026-07-17,gla_32138,Футболка unisex “Azazel”,чоловічий одяг,1,5.59,0.0
2026-07-17,gla_33226,"Прапор ""Вампір""",прапори,2,6.18,0.0
2026-07-17,gla_28209,"Прапор ""Тиша""",прапори,2,17.61,0.0
2026-07-17,gla_32304,Футболка unisex “Azazel”,sale,1,10.2,0.0
2026-07-17,gla_33196,"Прапор ""Привіт від Богдани""",прапори,1,7.59,0.0
2026-07-17,gla_32079,Зіп-худі unisex “Welcome to hell”,sale,1,4.05,0.0
2026-07-17,gla_28559,"Футболка ""База""",чоловічий одяг,2,67.9,0.0
2026-07-17,gla_28287,"Прапор ""Між пеклом і домом""",прапори,2,6.6,0.0
2026-07-17,gla_32774,"Футболка unisex ""Вампір""",sale,1,4.0,0.0
2026-07-17,gla_30743,"Прапор ""Штурмовики""",прапори,2,34.18,0.0
2026-07-17,gla_32128,Футболка unisex “Warrior”,чоловічий одяг,1,2.62,0.0
2026-07-17,gla_32266,Зіп-худі unisex “Tarot”,sale,2,27.14,0.0
2026-07-17,gla_28014,"Прапор ""Донбас""",прапори,3,35.31,0.0
2026-07-17,gla_32135,Футболка unisex “Warrior”,чоловічий одяг,2,15.52,0.0
2026-07-17,gla_32328,Футболка unisex “Garden of Bones”,sale,1,12.76,0.0
2026-07-17,gla_29649,"Худі oversize ""Історія""",sale,5,46.21,0.0
2026-07-17,gla_32285,Зіп-худі unisex “Azazel”,sale,1,1.95,0.0
2026-07-17,gla_32103,Зіп-худі unisex “Arch of the Underworld”,sale,1,4.07,0.0
2026-07-17,gla_32307,Футболка unisex “Welcome to hell”,sale,2,11.67,0.0
2026-07-17,gla_30717,"Прапор ""Битва за життя""",прапори,2,9.2,0.0
2026-07-17,gla_33232,"Прапор ""Знайомство з пісюном""",прапори,1,9.97,0.0
2026-07-17,gla_33450,"Прапор ""Згідно з наказом""",прапори,2,27.85,0.0
2026-07-17,gla_28008,"Прапор ""Донецьк""",прапори,2,5.35,0.0
2026-07-17,gla_32164,Футболка unisex “Tarot”,чоловічий одяг,2,72.44,0.0
2026-07-17,gla_30710,"Прапор ""Баба Яга""",прапори,1,3.35,0.0
2026-07-17,gla_28077,"Прапор ""Життя""",прапори,1,6.61,0.0
2026-07-17,gla_28383,"Прапор ""Одного разу під Херсоном""",прапори,1,20.17,0.0
2026-07-17,gla_32154,Футболка unisex “Welcome to hell”,чоловічий одяг,1,10.99,0.0
2026-07-17,gla_28211,"Прапор ""Де посадка""",прапори,1,4.91,0.0
2026-07-17,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,5,32.31,0.0
2026-07-17,gla_27995,"Прапор ""Воїн в полі""",прапори,1,9.46,0.0
2026-07-17,gla_32133,Футболка unisex “Warrior”,чоловічий одяг,1,6.4,0.0
2026-07-17,gla_32170,Футболка unisex “Tarot”,новинки,1,11.56,0.0
2026-07-18,gla_32308,Футболка unisex “Welcome to hell”,sale,3,29.98,0.0
2026-07-18,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,3,21.35,0.0
2026-07-18,gla_32303,Футболка unisex “Azazel”,sale,2,13.13,0.0
2026-07-18,gla_32199,"Футболка unisex ""Вампір""",sale,6,74.3,0.0
2026-07-18,gla_28002,"Прапор ""Дрони ведуть""",прапори,3,35.73,0.0
2026-07-18,gla_32267,Зіп-худі unisex “Tarot”,sale,3,12.57,0.0
2026-07-18,gla_28387,"Прапор ""Тобі п*зда""",прапори,2,76.93,0.0
2026-07-18,gla_30738,"Прапор ""Інженер""",прапори,1,39.38,0.0
2026-07-18,gla_33517,"Прапор ""Перехоплювач""",прапори,2,2.7,0.0
2026-07-18,gla_32078,Зіп-худі unisex “Welcome to hell”,sale,2,28.51,0.0
2026-07-18,gla_32052,Штани чоловічі спортивні широкі,sale,6,59.36,5.0
2026-07-18,gla_32053,Штани чоловічі спортивні широкі,sale,1,20.82,0.0
2026-07-18,gla_32184,Футболка unisex “Arch of the Underworld”,чоловічий одяг,1,10.08,0.0
2026-07-18,gla_32260,Зіп-худі unisex “Welcome to hell”,sale,3,8.17,0.0
2026-07-18,gla_32140,Футболка unisex “Azazel”,чоловічий одяг,3,23.37,0.0
2026-07-18,gla_32263,Зіп-худі unisex “Tarot”,sale,1,6.13,0.0
2026-07-18,gla_32175,Футболка unisex “Garden of Bones”,новинки,1,11.7,0.0
2026-07-18,gla_29650,"Худі oversize ""Історія""",sale,4,16.33,0.0
2026-07-18,gla_32054,Штани чоловічі спортивні широкі,sale,2,7.43,0.0
2026-07-18,gla_32138,Футболка unisex “Azazel”,чоловічий одяг,1,9.0,0.0
2026-07-18,gla_32304,Футболка unisex “Azazel”,sale,1,11.42,0.0
2026-07-18,gla_28187,"Прапор ""FPV пілот""",прапори,1,4.51,0.0
2026-07-18,gla_33196,"Прапор ""Привіт від Богдани""",прапори,1,60.49,0.0
