Campaign,AdGroup,SearchTerm,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Пошук \ Одяг,Футболки,патріотичні футболки купити київ,2,1,5.59,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка зсу купить,19,1,59.57,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка зсу ціна,6,1,9.13,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,korogva,2,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,козацька корогва,4,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,коровга,1,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва козацька,5,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва що це,5,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогвами,1,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогви у козаків,1,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогви фото,2,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогви це,1,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогвп,2,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,шо таке корогва,2,0,0.0,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,що таке корогва,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,армейские флаги,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,армия флаг,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,артиллерия флаг,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,военные флаги стран,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,военные флаги украины,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,военный флаг украины,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,гур флаг,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,дшв флаг,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,купить флаг 3 рейха украина,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,купить флаг 93 бригады,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,купить флаг ввс ссср,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,купить флаг германской империи,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,купить флаг нсдап,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,спецназ гру флаг,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг арми,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг армии,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг артиллерии,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг артиллерия,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг вмс,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг вмс украины купить,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг вмф ссср купить,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг военная разведка,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг военно морских сил украины,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг гру,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг гур,14,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг дшв украины,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг кригсмарине купить,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг разведка,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг сша купить,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг украины военный,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий козацький прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор,20,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор військової частини,15,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор військової частини збройних сил україни,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор зсу,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор козаків,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойовий прапор україни,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,вручення бойового прапора,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військовий бойовий прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військовий прапор,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військовий прапор 7 букв,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військово морський прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військові з прапором,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військові з прапором україни,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військові прапори україни,10,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,гур прапор,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,гур флаг,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,козацький бойовий прапор,9,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,купити прапор корогва,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,купить знамя победы,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,напис на прапорі для військових,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,побажання на прапорі від військових,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор артилерія,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор артилерії,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор бпла,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор воєнна розвідка україни,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор війська запорозького,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор військової частини,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор гур,37,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор гур мо,16,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор гур мо україни,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор зниклих військових,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор мінометників,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор реб,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор розвідки,21,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор розвідки україни,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор фпв,10,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапори загиблих військових,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,флаг конфедерации купить,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,що написати на прапорі військовим,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),128 бригада прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),71 бригада прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),80 бригада прапор,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),95 бригада прапор,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),бригадні прапори,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),корогва купити,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 24 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 72 бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 79 бригади,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 80 бригади,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 93 бригади,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),патріотичні прапори купити,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 10 бригади,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 100 бригади,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 100 омбр,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 101 бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 102 бригада,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 110 бригади,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 110 омбр,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 115 бригади,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 117 бригади,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 128 бригади,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 152 бригади,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 152 єгерської бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 153 бригади,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 155 бригади,14,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 156 бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 17 танкової бригади,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 18 слов янської бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 23 омбр,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 25 дшв,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 28 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 3 штурмової бригади,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 32 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 33 бригади,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 34 бригади морської піхоти,31,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 35 бригада морської піхоти,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 36 бригади,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 36 бригади морської піхоти,14,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 37 бригада морської піхоти,9,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 37 бригади,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 38 бригади морської піхоти,25,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 39 бригада морської піхоти,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 42 бригади,9,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 43 бригади,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 47 бригади,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 53 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 54 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 56 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 57 бригади,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 59 бригади,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 61 бригади,10,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 66 бригади,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 67 бригади,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 68 бригади,6,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 71 бригади,15,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 71 єгерської бригади,5,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 72 бригади,25,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 77 бригада дшв,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 78 бригади,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 79 бригади,11,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 81 бригади,14,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 93 бригади,8,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор дшв 77 бригада,3,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор дшв 80 бригада,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор магура,1,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор президентської бригади,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор третьої штурмової бригади,12,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапори бригад зсу купити,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,худі,купити мілітарі худі,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,худі,купити худі мілітарі,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,5.11 apex pant,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,5.11 tactical apex,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,5.11 tactical stryke pants black,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,aor2 emerson,3,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,army combat pants,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,baggy military pants,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,cheap military pants,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,crye precision g4,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,flecktarn combat pants,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,flecktarn pants,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,helikon tex greyman tactical pants,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,m tac aggressor gen 2,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,m tac aggressor lady,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,military pants cheap,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,multicam g3,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,pentagon bdu 2.0,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,pentagon tactical jeans,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,військові штани купити,2,0,0.0,2026-07-09,0.0
