term,campaign,impressions,clicks,cost,conversions
anti social social club,Merchant_Shopping,2,0,0.0,0.0
anti social social club оригинал,Merchant_Shopping,1,0,0.0,0.0
anti social social club худи,Merchant_Shopping,1,0,0.0,0.0
antisocial laboratory,Merchant_Shopping,1,0,0.0,0.0
antisocial pro футболка,Merchant_Shopping,1,0,0.0,0.0
apathydxdxdx,Merchant_Shopping,1,0,0.0,0.0
arcane мерч,Merchant_Shopping,1,0,0.0,0.0
arch enemy t shirt,Merchant_Shopping,6,0,0.0,0.0
arch одяг,Merchant_Shopping,1,0,0.0,0.0
archangel hoodie,Merchant_Shopping,1,0,0.0,0.0
arckanum merch,Merchant_Shopping,2,0,0.0,0.0
arey футболка,Merchant_Shopping,2,0,0.0,0.0
arey футболки,Merchant_Shopping,2,0,0.0,0.0
armagedda merch,Merchant_Shopping,1,0,0.0,0.0
armyline,Merchant_Shopping,1,0,0.0,0.0
artprint you com ua,Merchant_Shopping,4,0,0.0,0.0
assault group,Merchant_Shopping,2,0,0.0,0.0
atom ua,Merchant_Shopping,2,0,0.0,0.0
attack on titan футболка,Merchant_Shopping,1,0,0.0,0.0
ava gard,Merchant_Shopping,2,0,0.0,0.0
aviatsiya halychyny,Merchant_Shopping,21,0,0.0,0.0
azazel,Merchant_Shopping,4,0,0.0,0.0
azov merch,Merchant_Shopping,2,0,0.0,0.0
azov one,Merchant_Shopping,1,0,0.0,0.0
azov one merch,Merchant_Shopping,1,0,0.0,0.0
azov one shop,Merchant_Shopping,4,0,0.0,0.0
azov one мерч,Merchant_Shopping,4,0,0.0,0.0
azov shirt,Merchant_Shopping,1,0,0.0,0.0
azov shop,Merchant_Shopping,1,0,0.0,0.0
azov store,Merchant_Shopping,3,0,0.0,0.0
azov мерч,Merchant_Shopping,1,0,0.0,0.0
azov футболка,Merchant_Shopping,1,0,0.0,0.0
baba yaga,Merchant_Shopping,2,0,0.0,0.0
babai shop,Merchant_Shopping,2,0,0.0,0.0
babymetal merch,Merchant_Shopping,1,0,0.0,0.0
back print,Merchant_Shopping,1,0,0.0,0.0
bad boy company,Merchant_Shopping,6,0,0.0,0.0
bad boy каталог,Merchant_Shopping,7,0,0.0,0.0
bad boys brand,Merchant_Shopping,1,0,0.0,0.0
bad boys club,Merchant_Shopping,14,0,0.0,0.0
bad boys company,Merchant_Shopping,5,0,0.0,0.0
bad company одежда,Merchant_Shopping,2,0,0.0,0.0
bad company одяг,Merchant_Shopping,3,0,0.0,0.0
bad company футболка,Merchant_Shopping,1,0,0.0,0.0
bad monday,Merchant_Shopping,1,0,0.0,0.0
bad omens,Merchant_Shopping,3,0,0.0,0.0
bad omens merch,Merchant_Shopping,5,0,0.0,0.0
baggy jeans men nike,Merchant_Shopping,1,0,0.0,0.0
baggy jogger,Merchant_Shopping,1,0,0.0,0.0
baggy jogger rotation,Merchant_Shopping,1,0,0.0,0.0
baggy joggers,Merchant_Shopping,5,0,0.0,0.0
baggy joggers men,Merchant_Shopping,2,0,0.0,0.0
baggy joggers women,Merchant_Shopping,1,0,0.0,0.0
baggy nike jogger,Merchant_Shopping,3,0,0.0,0.0
baggy nike joggers,Merchant_Shopping,1,0,0.0,0.0
baggy nike joggers men's,Merchant_Shopping,1,0,0.0,0.0
baggy nike rotation,Merchant_Shopping,2,0,0.0,0.0
baggy pants,Merchant_Shopping,3,0,0.0,0.0
baggy sweatpants,Merchant_Shopping,2,0,0.0,0.0
baggy sweatpants fleece,Merchant_Shopping,1,0,0.0,0.0
baggy sweatpants for gym,Merchant_Shopping,1,0,0.0,0.0
baggy спортивки,Merchant_Shopping,3,0,0.0,0.0
baggy спортивні штани,Merchant_Shopping,2,0,0.0,0.0
baggy штани,Merchant_Shopping,7,0,0.0,0.0
baggy штани чоловічі,Merchant_Shopping,1,0,0.0,0.0
baggy штаны,Merchant_Shopping,2,0,0.0,0.0
baggy штаны мужские,Merchant_Shopping,2,0,0.0,0.0
balak,Merchant_Shopping,1,0,0.0,0.0
balak wear,Merchant_Shopping,10,0,0.0,0.0
balakwear,Merchant_Shopping,2,0,0.0,0.0
balenciaga худі,Merchant_Shopping,1,0,0.0,0.0
bambas,Merchant_Shopping,1,0,0.0,0.0
bambas store,Merchant_Shopping,1,0,0.0,0.0
bambas футболка,Merchant_Shopping,1,0,0.0,0.0
bambass,Merchant_Shopping,8,0,0.0,0.0
bambass store,Merchant_Shopping,2,0,0.0,0.0
bambass футболка,Merchant_Shopping,2,0,0.0,0.0
bandera de ucrania con escudo,Merchant_Shopping,1,0,0.0,0.0
bandera military,Merchant_Shopping,1,0,0.0,0.0
banderas,Merchant_Shopping,7,0,0.0,0.0
barricade,Merchant_Shopping,2,0,0.0,0.0
barricade shop,Merchant_Shopping,2,0,0.0,0.0
base art ua,Merchant_Shopping,1,0,0.0,0.0
baseartua,Merchant_Shopping,9,0,0.0,0.0
batart army,Merchant_Shopping,9,0,0.0,0.0
batcat shop,Merchant_Shopping,2,0,0.0,0.0
bathory hoodie,Merchant_Shopping,1,0,0.0,0.0
bazalook,Merchant_Shopping,5,0,0.0,0.0
bazhane btq,Merchant_Shopping,1,0,0.0,0.0
be om design,Merchant_Shopping,1,0,0.0,0.0
be_om_design,Merchant_Shopping,1,0,0.0,0.0
begentelman,Merchant_Shopping,1,0,0.0,0.0
beloyar,Merchant_Shopping,1,0,0.0,0.0
benya & zubrik,Merchant_Shopping,3,0,0.0,0.0
benya i zubrik,Merchant_Shopping,1,0,0.0,0.0
benya zubrik,Merchant_Shopping,17,0,0.0,0.0
benyazubrik,Merchant_Shopping,2,0,0.0,0.0
bershka billie eilish украина,Merchant_Shopping,2,0,0.0,0.0
bershka спортивні штани,Merchant_Shopping,1,0,0.0,0.0
bershka футболки,Merchant_Shopping,1,0,0.0,0.0
bershka штани спортивні,Merchant_Shopping,1,0,0.0,0.0
best baggy sweatpants for men,Merchant_Shopping,1,0,0.0,0.0
best4u,Merchant_Shopping,4,0,0.0,0.0
best4you,Merchant_Shopping,1,0,0.0,0.0
bezet,Merchant_Shopping,5,0,0.0,0.0
bezlad,Merchant_Shopping,4,0,0.0,0.0
bezlad одяг,Merchant_Shopping,1,0,0.0,0.0
bicoop,Merchant_Shopping,1,0,0.0,0.0
big boss,Merchant_Shopping,1,0,0.0,0.0
big boss сайт,Merchant_Shopping,1,0,0.0,0.0
big sam,Merchant_Shopping,2,0,0.0,0.0
bigboss,Merchant_Shopping,1,0,0.0,0.0
bigsam,Merchant_Shopping,1,0,0.0,0.0
bilskirnir merch,Merchant_Shopping,1,0,0.0,0.0
black baggy pant,Merchant_Shopping,1,0,0.0,0.0
black baggy pants,Merchant_Shopping,1,0,0.0,0.0
black heavyweight hoodie,Merchant_Shopping,1,0,0.0,0.0
black limit,Merchant_Shopping,9,0,0.0,0.0
black metal футболки,Merchant_Shopping,1,0,0.0,0.0
black nike baggy wide leg sweatpants joggers 00s,Merchant_Shopping,1,0,0.0,0.0
black pants,Merchant_Shopping,1,0,0.0,0.0
black sea t shirt,Merchant_Shopping,3,0,0.0,0.0
black sweatpants men,Merchant_Shopping,1,0,0.0,0.0
black tongue t shirt,Merchant_Shopping,1,0,0.0,0.0
black uncuffed sweats,Merchant_Shopping,2,0,0.0,0.0
blacksugar,Merchant_Shopping,4,0,0.0,0.0
blancoone,Merchant_Shopping,1,0,0.0,0.0
blank black sweats,Merchant_Shopping,2,0,0.0,0.0
blvck limit,Merchant_Shopping,3,0,0.0,0.0
bmth футболка,Merchant_Shopping,1,0,0.0,0.0
body count merch,Merchant_Shopping,1,0,0.0,0.0
boohooman,Merchant_Shopping,2,0,0.0,0.0
booriva,Merchant_Shopping,3,0,0.0,0.0
bored wear,Merchant_Shopping,4,0,0.0,0.0
boundaries merch,Merchant_Shopping,2,0,0.0,0.0
boxraw футболка,Merchant_Shopping,1,0,0.0,0.0
boys cl,Merchant_Shopping,1,0,0.0,0.0
boys club,Merchant_Shopping,2,0,0.0,0.0
bram stoker's dracula t shirt,Merchant_Shopping,1,0,0.0,0.0
brand element,Merchant_Shopping,1,0,0.0,0.0
breakfast of champions футболка,Merchant_Shopping,1,0,0.0,0.0
breathedivinity,Merchant_Shopping,1,0,0.0,0.0
brew not bombs нашивка,Merchant_Shopping,1,0,0.0,0.0
bring me the horizon merch,Merchant_Shopping,3,0,0.0,0.0
bring me the horizon футболка,Merchant_Shopping,1,0,0.0,0.0
broken planet штаны,Merchant_Shopping,1,0,0.0,0.0
broken society,Merchant_Shopping,1,0,0.0,0.0
bronx футболка,Merchant_Shopping,1,0,0.0,0.0
brothers in arms apparel,Merchant_Shopping,4,0,0.0,0.0
brothers in arms shop,Merchant_Shopping,1,0,0.0,0.0
brutalman,Merchant_Shopping,2,0,0.0,0.0
buddha hoodie,Merchant_Shopping,5,0,0.0,0.0
buymeb,Merchant_Shopping,1,0,0.0,0.0
byedemox,Merchant_Shopping,1,0,0.0,0.0
cabanchi,Merchant_Shopping,3,0,0.0,0.0
caddx gazer,Merchant_Shopping,1,0,0.0,0.0
call of duty одежда,Merchant_Shopping,2,0,0.0,0.0
calvin klein штани,Merchant_Shopping,1,0,0.0,0.0
canada hoodie,Merchant_Shopping,2,0,0.0,0.0
cap the uni,Merchant_Shopping,1,0,0.0,0.0
captheuni,Merchant_Shopping,19,0,0.0,0.0
carda,Merchant_Shopping,2,0,0.0,0.0
carhartt wip chase zip hoodie,Merchant_Shopping,1,0,0.0,0.0
carpenter pants,Merchant_Shopping,1,0,0.0,0.0
cartel 13,Merchant_Shopping,5,0,0.0,0.0
cartel 13 brand,Merchant_Shopping,1,0,0.0,0.0
cartel13,Merchant_Shopping,2,0,0.0,0.0
casual trend,Merchant_Shopping,4,0,0.0,0.0
casual trends,Merchant_Shopping,1,0,0.0,0.0
catcult,Merchant_Shopping,1,0,0.0,0.0
cav empt,Merchant_Shopping,1,0,0.0,0.0
cbg clothes,Merchant_Shopping,2,0,0.0,0.0
cdfcnjy,Merchant_Shopping,1,0,0.0,0.0
cgt,Merchant_Shopping,5,0,0.0,0.0
cgt одяг,Merchant_Shopping,1,0,0.0,0.0
cgt футболка,Merchant_Shopping,5,0,0.0,0.0
cgt худі,Merchant_Shopping,10,0,0.0,0.0
cher 17,Merchant_Shopping,2,0,0.0,0.0
cher17,Merchant_Shopping,1,0,0.0,0.0
chereshnivska,Merchant_Shopping,3,0,0.0,0.0
chikiss,Merchant_Shopping,3,0,0.0,0.0
children of bodom футболка,Merchant_Shopping,1,0,0.0,0.0
chinese t shirts,Merchant_Shopping,1,0,0.0,0.0
chop chop магазин,Merchant_Shopping,1,0,0.0,0.0
christian clothing for men,Merchant_Shopping,1,0,0.0,0.0
chrome hearts,Merchant_Shopping,2,0,0.0,0.0
chrome hearts zip,Merchant_Shopping,2,0,0.0,0.0
chudova store,Merchant_Shopping,1,0,0.0,0.0
clonnex мерч,Merchant_Shopping,1,0,0.0,0.0
coil merch,Merchant_Shopping,3,0,0.0,0.0
cold culture thinking worldwide,Merchant_Shopping,1,0,0.0,0.0
cole buxton warm up pants,Merchant_Shopping,1,0,0.0,0.0
comeback kid band merch,Merchant_Shopping,1,0,0.0,0.0
comfort sweatpants,Merchant_Shopping,1,0,0.0,0.0
comfort sweatpants men,Merchant_Shopping,1,0,0.0,0.0
company group,Merchant_Shopping,196,0,0.0,0.0
company group team,Merchant_Shopping,35,0,0.0,0.0
company group team одежда,Merchant_Shopping,3,0,0.0,0.0
company group team худі,Merchant_Shopping,2,0,0.0,0.0
company group купить,Merchant_Shopping,1,0,0.0,0.0
company group лонгслів,Merchant_Shopping,2,0,0.0,0.0
company group магазин,Merchant_Shopping,3,0,0.0,0.0
company group одяг,Merchant_Shopping,4,0,0.0,0.0
company group сайт,Merchant_Shopping,2,0,0.0,0.0
company group футболка,Merchant_Shopping,22,0,0.0,0.0
company group футболки,Merchant_Shopping,2,0,0.0,0.0
company group худи,Merchant_Shopping,20,0,0.0,0.0
company group худі,Merchant_Shopping,18,0,0.0,0.0
core metal,Merchant_Shopping,2,0,0.0,0.0
core metal shop,Merchant_Shopping,1,0,0.0,0.0
corogva,Merchant_Shopping,266,1,142.74,0.0
coupage,Merchant_Shopping,2,0,0.0,0.0
creative depo,Merchant_Shopping,10,0,0.0,0.0
crest straight leg joggers gymshark,Merchant_Shopping,1,0,0.0,0.0
crimea t shirt,Merchant_Shopping,2,0,0.0,0.0
crop zip hoodie,Merchant_Shopping,1,0,0.0,0.0
cropp,Merchant_Shopping,3,0,0.0,0.0
cropp town,Merchant_Shopping,1,0,0.0,0.0
cropp ua,Merchant_Shopping,1,0,0.0,0.0
cropp худи,Merchant_Shopping,1,0,0.0,0.0
cropp штани чоловічі,Merchant_Shopping,1,0,0.0,0.0
crusader hoodie,Merchant_Shopping,1,0,0.0,0.0
crye precision t shirt,Merchant_Shopping,1,0,0.0,0.0
csr casher,Merchant_Shopping,1,0,0.0,0.0
ctrl одяг,Merchant_Shopping,3,0,0.0,0.0
cult харьков,Merchant_Shopping,1,0,0.0,0.0
cultoni,Merchant_Shopping,4,0,0.0,0.0
culture худи,Merchant_Shopping,1,0,0.0,0.0
cupag,Merchant_Shopping,1,0,0.0,0.0
cupage,Merchant_Shopping,7,0,0.0,0.0
cupage ua,Merchant_Shopping,1,0,0.0,0.0
cuprum depot,Merchant_Shopping,3,1,8.56,0.0
custom hoodie,Merchant_Shopping,1,0,0.0,0.0
custom wear,Merchant_Shopping,1,0,0.0,0.0
custom wear ua,Merchant_Shopping,6,0,0.0,0.0
customprint,Merchant_Shopping,1,0,0.0,0.0
cypress hill,Merchant_Shopping,1,0,0.0,0.0
cypress hill merch,Merchant_Shopping,1,0,0.0,0.0
dakhabrakha merch,Merchant_Shopping,1,0,0.0,0.0
dakhabrakha store,Merchant_Shopping,4,0,0.0,0.0
dangerlyoha одежда,Merchant_Shopping,1,0,0.0,0.0
dark fantasy merch,Merchant_Shopping,5,0,0.0,0.0
dark funeral футболка,Merchant_Shopping,2,0,0.0,0.0
dark tranquillity футболка,Merchant_Shopping,2,0,0.0,0.0
dark ua,Merchant_Shopping,1,0,0.0,0.0
darkest dungeon hoodie,Merchant_Shopping,8,0,0.0,0.0
darknode мерч,Merchant_Shopping,1,0,0.0,0.0
darkthrone merch,Merchant_Shopping,1,0,0.0,0.0
dcs cdj,Merchant_Shopping,3,0,0.0,0.0
dead dynasty мерч,Merchant_Shopping,15,0,0.0,0.0
dead souls,Merchant_Shopping,4,0,0.0,0.0
dead souls group,Merchant_Shopping,23,0,0.0,0.0
deadish studios,Merchant_Shopping,1,0,0.0,0.0
death in june мерч,Merchant_Shopping,1,0,0.0,0.0
death in june футболка,Merchant_Shopping,2,0,0.0,0.0
death to the world t shirt,Merchant_Shopping,1,0,0.0,0.0
deep одяг,Merchant_Shopping,1,0,0.0,0.0
deftones merch,Merchant_Shopping,2,0,0.0,0.0
deftones футболка,Merchant_Shopping,2,0,0.0,0.0
demode,Merchant_Shopping,1,0,0.0,0.0
derzay,Merchant_Shopping,2,0,0.0,0.0
deus vult t shirt,Merchant_Shopping,1,0,0.0,0.0
deus vult футболка,Merchant_Shopping,1,0,0.0,0.0
devgru art,Merchant_Shopping,2,0,0.0,0.0
devil's advocate zip hoodie,Merchant_Shopping,2,0,0.0,0.0
devildriver shirt,Merchant_Shopping,2,0,0.0,0.0
diadia,Merchant_Shopping,1,0,0.0,0.0
disaster hoodie,Merchant_Shopping,2,0,0.0,0.0
discipline одяг,Merchant_Shopping,1,0,0.0,0.0
disrupt merch,Merchant_Shopping,1,0,0.0,0.0
district толстовка,Merchant_Shopping,2,0,0.0,0.0
division одяг,Merchant_Shopping,1,0,0.0,0.0
doberman aggressive,Merchant_Shopping,1,0,0.0,0.0
dobermans aggressive,Merchant_Shopping,15,0,0.0,0.0
dobermans aggressive официальный сайт,Merchant_Shopping,6,0,0.0,0.0
dobermans aggressive футболки,Merchant_Shopping,1,0,0.0,0.0
dobroshmot,Merchant_Shopping,4,0,0.0,0.0
dobrovolets,Merchant_Shopping,19,0,0.0,0.0
domrebel,Merchant_Shopping,1,0,0.0,0.0
domyos штаны,Merchant_Shopping,1,0,0.0,0.0
donbasonia,Merchant_Shopping,7,0,0.0,0.0
donbasonia футболка,Merchant_Shopping,1,0,0.0,0.0
donetsk flag,Merchant_Shopping,1,0,0.0,0.0
dorohedoro hoodie,Merchant_Shopping,2,0,0.0,0.0
dove and grenade shirt,Merchant_Shopping,3,0,0.0,0.0
drapp,Merchant_Shopping,10,0,0.0,0.0
drapp in ua,Merchant_Shopping,2,1,23.9,0.0
dravos,Merchant_Shopping,2,0,0.0,0.0
dress code 16,Merchant_Shopping,1,0,0.0,0.0
dress code одяг,Merchant_Shopping,2,0,0.0,0.0
drip одяг,Merchant_Shopping,2,0,0.0,0.0
drop dead,Merchant_Shopping,2,0,0.0,0.0
drop dead магазин,Merchant_Shopping,3,0,0.0,0.0
drop shop,Merchant_Shopping,1,0,0.0,0.0
dropdead,Merchant_Shopping,2,0,0.0,0.0
dropshop,Merchant_Shopping,1,0,0.0,0.0
dub buk мерч,Merchant_Shopping,1,0,0.0,0.0
dubhumans,Merchant_Shopping,20,0,0.0,0.0
duck side,Merchant_Shopping,4,0,0.0,0.0
duga,Merchant_Shopping,1,0,0.0,0.0
durnev shop,Merchant_Shopping,6,0,0.0,0.0
dx1364 010,Merchant_Shopping,1,0,0.0,0.0
ebanat,Merchant_Shopping,2,0,0.0,0.0
ecko unltd толстовка,Merchant_Shopping,1,0,0.0,0.0
ed hardy зипка,Merchant_Shopping,1,0,0.0,0.0
ed hardy кофта,Merchant_Shopping,2,0,0.0,0.0
endi,Merchant_Shopping,1,0,0.0,0.0
eod tshirt,Merchant_Shopping,2,0,0.0,0.0
erd zip,Merchant_Shopping,1,0,0.0,0.0
erd футболка,Merchant_Shopping,1,0,0.0,0.0
esoteric hoodie,Merchant_Shopping,3,0,0.0,0.0
essentials штани,Merchant_Shopping,1,0,0.0,0.0
essentials штаны,Merchant_Shopping,3,0,0.0,0.0
essentials штаны мужские,Merchant_Shopping,1,0,0.0,0.0
estandartes,Merchant_Shopping,34,0,0.0,0.0
esteem clothing,Merchant_Shopping,1,0,0.0,0.0
evangelion hoodie,Merchant_Shopping,1,0,0.0,0.0
everfox,Merchant_Shopping,2,0,0.0,0.0
everlast штаны,Merchant_Shopping,1,0,0.0,0.0
ewokyiv,Merchant_Shopping,2,0,0.0,0.0
fabregas style,Merchant_Shopping,1,0,0.0,0.0
fabregas одежда,Merchant_Shopping,1,0,0.0,0.0
faceit hoodie,Merchant_Shopping,1,0,0.0,0.0
fahrenheit,Merchant_Shopping,2,0,0.0,0.0
farfi,Merchant_Shopping,2,0,0.0,0.0
farfie,Merchant_Shopping,3,0,0.0,0.0
farfieworldwide,Merchant_Shopping,3,0,0.0,0.0
farfire,Merchant_Shopping,1,0,0.0,0.0
fatline,Merchant_Shopping,1,0,0.0,0.0
favourite style,Merchant_Shopping,2,0,0.0,0.0
fayna lady,Merchant_Shopping,1,0,0.0,0.0
faynalady,Merchant_Shopping,1,0,0.0,0.0
fdsfwsz ufkbxbyb,Merchant_Shopping,1,0,0.0,0.0
fear factory,Merchant_Shopping,1,0,0.0,0.0
fight like ukraine,Merchant_Shopping,1,0,0.0,0.0
first blood hoodie,Merchant_Shopping,1,0,0.0,0.0
five finger death punch футболка,Merchant_Shopping,1,0,0.0,0.0
flagberry,Merchant_Shopping,1,0,0.0,0.0
flagi in ua,Merchant_Shopping,1,0,0.0,0.0
flagmaster,Merchant_Shopping,2,0,0.0,0.0
flagstore,Merchant_Shopping,7,0,0.0,0.0
flagsystem,Merchant_Shopping,3,0,0.0,0.0
flame of desire,Merchant_Shopping,1,0,0.0,0.0
flame of desire одяг,Merchant_Shopping,1,0,0.0,0.0
flarescence,Merchant_Shopping,28,0,0.0,0.0
fn3730 010,Merchant_Shopping,1,0,0.0,0.0
fog одежда,Merchant_Shopping,1,0,0.0,0.0
fog футболка,Merchant_Shopping,1,0,0.0,0.0
fomo,Merchant_Shopping,1,0,0.0,0.0
fomo магазин,Merchant_Shopping,2,0,0.0,0.0
fonk ua,Merchant_Shopping,3,0,0.0,0.0
forge urban,Merchant_Shopping,1,0,0.0,0.0
forteresse merch,Merchant_Shopping,3,0,0.0,0.0
fortes fortuna adiuvat t shirt,Merchant_Shopping,1,0,0.0,0.0
forward observations group hoodie,Merchant_Shopping,6,0,0.0,0.0
forward observations group t shirt,Merchant_Shopping,1,0,0.0,0.0
fpv,Merchant_Shopping,1,0,0.0,0.0
fpv 15,Merchant_Shopping,1,0,0.0,0.0
fpv ua,Merchant_Shopping,2,0,0.0,0.0
fpv футболка,Merchant_Shopping,1,0,0.0,0.0
fq4332 010,Merchant_Shopping,4,0,0.0,0.0
fred perry штаны,Merchant_Shopping,1,0,0.0,0.0
free azovstal defenders merch,Merchant_Shopping,1,0,0.0,0.0
friends of fashion,Merchant_Shopping,1,0,0.0,0.0
frog tshirt,Merchant_Shopping,1,0,0.0,0.0
fromus,Merchant_Shopping,1,0,0.0,0.0
frontier,Merchant_Shopping,10,0,0.0,0.0
fulci merch,Merchant_Shopping,1,0,0.0,0.0
futbolka ua,Merchant_Shopping,1,0,0.0,0.0
g jhk,Merchant_Shopping,1,0,0.0,0.0
g59 uicideboy merch,Merchant_Shopping,1,0,0.0,0.0
ga wear,Merchant_Shopping,2,0,0.0,0.0
gank,Merchant_Shopping,1,0,0.0,0.0
gank магазин,Merchant_Shopping,2,0,0.0,0.0
gank футболки,Merchant_Shopping,5,0,0.0,0.0
garage одяг,Merchant_Shopping,1,0,0.0,0.0
gard,Merchant_Shopping,15,0,0.0,0.0
gard ua,Merchant_Shopping,2,0,0.0,0.0
gard одяг,Merchant_Shopping,1,0,0.0,0.0
garda,Merchant_Shopping,7,0,0.0,0.0
garda shop,Merchant_Shopping,2,0,0.0,0.0
garda shop com ua,Merchant_Shopping,1,0,0.0,0.0
garda ukraine,Merchant_Shopping,6,0,0.0,0.0
garda одяг,Merchant_Shopping,2,0,0.0,0.0
garda худі,Merchant_Shopping,4,0,0.0,0.0
gart,Merchant_Shopping,5,0,0.0,0.0
gbc,Merchant_Shopping,1,0,0.0,0.0
gear lab футболка,Merchant_Shopping,8,0,0.0,0.0
gearlab,Merchant_Shopping,1,0,0.0,0.0
gearlab футболка,Merchant_Shopping,2,0,0.0,0.0
george штаны,Merchant_Shopping,2,1,9.23,0.0
german apparel,Merchant_Shopping,1,0,0.0,0.0
ghfgjhb,Merchant_Shopping,9,1,48.52,0.0
ghost of kyiv футболка,Merchant_Shopping,1,0,0.0,0.0
gig,Merchant_Shopping,1,0,0.0,0.0
gildan pants,Merchant_Shopping,2,0,0.0,0.0
go fit woman,Merchant_Shopping,1,0,0.0,0.0
goldi,Merchant_Shopping,3,0,0.0,0.0
goldi штани чоловічі,Merchant_Shopping,1,0,0.0,0.0
gonor,Merchant_Shopping,10,0,0.0,0.0
gonor group,Merchant_Shopping,11,0,0.0,0.0
gonorovi,Merchant_Shopping,1,0,0.0,0.0
good boy club,Merchant_Shopping,3,0,0.0,0.0
good boys club,Merchant_Shopping,293,0,0.0,0.0
good boys club hoodie,Merchant_Shopping,1,0,0.0,0.0
good boys club store,Merchant_Shopping,4,0,0.0,0.0
good boys club днепр,Merchant_Shopping,1,0,0.0,0.0
good boys club сайт,Merchant_Shopping,2,0,0.0,0.0
good boys club івано франківськ,Merchant_Shopping,1,0,0.0,0.0
good boys club_store,Merchant_Shopping,15,0,0.0,0.0
goodboys club,Merchant_Shopping,42,0,0.0,0.0
goodboysclub,Merchant_Shopping,14,0,0.0,0.0
gordon shop,Merchant_Shopping,1,0,0.0,0.0
gorpcore штаны,Merchant_Shopping,1,0,0.0,0.0
