date,term,impr,clicks,cost,conv
2026-08-01,hate кофта,2,0,0.0,0.0
2026-08-01,hatebreed merch,1,0,0.0,0.0
2026-08-01,hdsh футболка,1,0,0.0,0.0
2026-08-01,headbag,1,0,0.0,0.0
2026-08-01,heavy shot,1,0,0.0,0.0
2026-08-01,hedonist футболка,1,0,0.0,0.0
2026-08-01,honorovi,29,0,0.0,0.0
2026-08-01,honorovi ua,8,0,0.0,0.0
2026-08-01,honorovi одяг,2,0,0.0,0.0
2026-08-01,horn heroes,1,0,0.0,0.0
2026-08-01,house,1,0,0.0,0.0
2026-08-01,house худи женские,2,0,0.0,0.0
2026-08-01,house штани жіночі,1,0,0.0,0.0
2026-08-01,house штани чоловічі,1,0,0.0,0.0
2026-08-01,husll,10,0,0.0,0.0
2026-08-01,hussl,6,0,0.0,0.0
2026-08-01,hussle,1,0,0.0,0.0
2026-08-01,hysteric glamour футболка,1,0,0.0,0.0
2026-08-01,intelegentoff мерч,3,0,0.0,0.0
2026-08-01,ion clothes,1,0,0.0,0.0
2026-08-01,iron maiden футболка,2,0,0.0,0.0
2026-08-01,island shop,6,0,0.0,0.0
2026-08-01,islnd shop,3,0,0.0,0.0
2026-08-01,japan street wear,1,0,0.0,0.0
2026-08-01,joggers for men,1,0,0.0,0.0
2026-08-01,jotter футболка,1,0,0.0,0.0
2026-08-01,kabanchi,1,0,0.0,0.0
2026-08-01,keepneedle,1,0,0.0,0.0
2026-08-01,kelisiting,1,0,0.0,0.0
2026-08-01,killhouse мерч,1,0,0.0,0.0
2026-08-01,killstar t shirt,3,0,0.0,0.0
2026-08-01,klott clothes,1,0,0.0,0.0
2026-08-01,kozak clothes ua,1,0,0.0,0.0
2026-08-01,krbk shop,1,0,0.0,0.0
2026-08-01,kyiv футболка,1,0,0.0,0.0
2026-08-01,lavastudio,1,0,0.0,0.0
2026-08-01,leman,1,0,0.0,0.0
2026-08-01,levitacia ua,1,0,0.0,0.0
2026-08-01,louchesaints,1,0,0.0,0.0
2026-08-01,lucky humanoid,3,0,0.0,0.0
2026-08-01,lynx shop,2,0,0.0,0.0
2026-08-01,m8l8th merch,2,0,0.0,0.0
2026-08-01,m8l8th мерч,7,0,0.0,0.0
2026-08-01,made in hell футболка,1,0,0.0,0.0
2026-08-01,mandalorian футболка,2,0,0.0,0.0
2026-08-01,manevr футболка,1,0,0.0,0.0
2026-08-01,mantofight,1,0,0.0,0.0
2026-08-01,mastodon футболка,2,0,0.0,0.0
2026-08-01,matiko ua,1,0,0.0,0.0
2026-08-01,mattini,2,0,0.0,0.0
2026-08-01,mattino,2,0,0.0,0.0
2026-08-01,mattino ua,3,0,0.0,0.0
2026-08-01,maverick,6,0,0.0,0.0
2026-08-01,maverick store,1,0,0.0,0.0
2026-08-01,maverick футболки,1,0,0.0,0.0
2026-08-01,melanie martinez merch,3,0,0.0,0.0
2026-08-01,mens club,1,0,0.0,0.0
2026-08-01,mens joggers,1,0,0.0,0.0
2026-08-01,militant zone,7,0,0.0,0.0
2026-08-01,mma style,1,0,0.0,0.0
2026-08-01,modern streetwear,1,0,0.0,0.0
2026-08-01,molfar store,3,0,0.0,0.0
2026-08-01,molon labe,2,0,0.0,0.0
2026-08-01,mortician футболка,1,0,0.0,0.0
2026-08-01,mp01508bk,1,0,0.0,0.0
2026-08-01,mp41503bk,1,0,0.0,0.0
2026-08-01,mp43522bk,1,0,0.0,0.0
2026-08-01,mxdvs куртка,1,0,0.0,0.0
2026-08-01,my chemical romance футболка,1,0,0.0,0.0
2026-08-01,namaste bitches,1,0,0.0,0.0
2026-08-01,napapijri футболка,1,0,0.0,0.0
2026-08-01,new balance штани жіночі,1,0,0.0,0.0
2026-08-01,new balance штаны мужские,1,0,0.0,0.0
2026-08-01,newborn k,1,0,0.0,0.0
2026-08-01,newyorker,1,0,0.0,0.0
2026-08-01,next ua,2,0,0.0,0.0
2026-08-01,nike ua,1,0,0.0,0.0
2026-08-01,nike спортивні штани,2,0,0.0,0.0
2026-08-01,nike спортивні штани чоловічі,1,0,0.0,0.0
2026-08-01,nine line,1,0,0.0,0.0
2026-08-01,no knife no life футболка,1,0,0.0,0.0
2026-08-01,nokturnal mortum мерч,1,0,0.0,0.0
2026-08-01,non criminal футболка,1,0,0.0,0.0
2026-08-01,nord division кофта,12,0,0.0,0.0
2026-08-01,nord division магазин,2,0,0.0,0.0
2026-08-01,nord division мерч,11,0,0.0,0.0
2026-08-01,nord division одяг,2,0,0.0,0.0
2026-08-01,nord division прапор,7,0,0.0,0.0
2026-08-01,nord division футболка,4,0,0.0,0.0
2026-08-01,nord division футболка купить,1,0,0.0,0.0
2026-08-01,nord division худі,1,0,0.0,0.0
2026-08-01,not boring,1,0,0.0,0.0
2026-08-01,o stin,1,0,0.0,0.0
2026-08-01,ocean clo,4,0,0.0,0.0
2026-08-01,ocean clothes,1,0,0.0,0.0
2026-08-01,ocean днепр,1,0,0.0,0.0
2026-08-01,off white,1,0,0.0,0.0
2026-08-01,ogonpushka,3,0,0.0,0.0
2026-08-01,ogp,8,0,0.0,0.0
2026-08-01,ogp brand,18,0,0.0,0.0
2026-08-01,ogp in ua,1,0,0.0,0.0
2026-08-01,ogp бренд,1,0,0.0,0.0
2026-08-01,ogp шорти,1,1,1.67,0.0
2026-08-01,ogp штаны,1,0,0.0,0.0
2026-08-01,onlywars футболка,2,0,0.0,0.0
2026-08-01,optimus gang,4,0,0.0,0.0
2026-08-01,optimus gang shop,1,0,0.0,0.0
2026-08-01,oslo wear,6,0,0.0,0.0
2026-08-01,ouroboros brand,1,0,0.0,0.0
2026-08-01,oversize zip hoodie,3,0,0.0,0.0
2026-08-01,oysho шорты,1,0,0.0,0.0
2026-08-01,oysho штани,1,0,0.0,0.0
2026-08-01,oysho штаны,1,0,0.0,0.0
2026-08-01,papaya спортивний костюм,1,0,0.0,0.0
2026-08-01,peklo,4,0,0.0,0.0
2026-08-01,peklo toys,22,0,0.0,0.0
2026-08-01,pieceofshirt,1,0,0.0,0.0
2026-08-01,pips me,1,0,0.0,0.0
2026-08-01,pizdue dah,1,0,0.0,0.0
2026-08-01,pla4,10,0,0.0,0.0
2026-08-01,pla4 ukraine,1,0,0.0,0.0
2026-08-01,pla444,1,0,0.0,0.0
2026-08-01,pobedov brand,2,0,0.0,0.0
2026-08-01,pohuy футболка,1,0,0.0,0.0
2026-08-01,polish flag,1,0,0.0,0.0
2026-08-01,potasovka,3,0,0.0,0.0
2026-08-01,potasovka kick head,1,0,0.0,0.0
2026-08-01,power inside одежда,1,0,0.0,0.0
2026-08-01,prefix apparel,1,0,0.0,0.0
2026-08-01,primark шорты,1,1,1.76,0.0
2026-08-01,provokator,2,0,0.0,0.0
2026-08-01,psd shop,1,0,0.0,0.0
2026-08-01,psd футболка,1,0,0.0,0.0
2026-08-01,pterowear,1,0,0.0,0.0
2026-08-01,punk t shirts mens,1,0,0.0,0.0
2026-08-01,purgen толстовка,3,0,0.0,0.0
2026-08-01,purple lama,4,0,0.0,0.0
2026-08-01,purple lama ua,1,0,0.0,0.0
2026-08-01,r3ich,14,0,0.0,0.0
2026-08-01,raggtop,2,0,0.0,0.0
2026-08-01,ragnarok футболка,8,0,0.0,0.0
2026-08-01,rang roks,4,0,0.0,0.0
2026-08-01,range rocks,27,0,0.0,0.0
2026-08-01,range roks,3,0,0.0,0.0
2026-08-01,ratchet hoodie,2,0,0.0,0.0
2026-08-01,rebel society,2,0,0.0,0.0
2026-08-01,red and dog,3,0,0.0,0.0
2026-08-01,ren sick boi merch,1,0,0.0,0.0
2026-08-01,rikky,1,0,0.0,0.0
2026-08-01,rikky hype,11,0,0.0,0.0
2026-08-01,riot division,75,0,0.0,0.0
2026-08-01,riot division кепка,2,0,0.0,0.0
2026-08-01,riot division київ,3,0,0.0,0.0
2026-08-01,riot division львів,3,0,0.0,0.0
2026-08-01,riot division магазин,1,0,0.0,0.0
2026-08-01,riot division футболка,3,0,0.0,0.0
2026-08-01,riot division футболки,2,0,0.0,0.0
2026-08-01,riotdivision,5,0,0.0,0.0
2026-08-01,ripndip,1,0,0.0,0.0
2026-08-01,rock biz,1,0,0.0,0.0
2026-08-01,rockaway,2,0,0.0,0.0
2026-08-01,rockway biz,2,0,0.0,0.0
2026-08-01,rockway biz ua,1,0,0.0,0.0
2026-08-01,runic storm,5,0,0.0,0.0
2026-08-01,rusoriz футболка,2,0,0.0,0.0
2026-08-01,saint javelin,6,0,0.0,0.0
2026-08-01,select form мерч,1,0,0.0,0.0
2026-08-01,shark,1,0,0.0,0.0
2026-08-01,sharm одяг,2,0,0.0,0.0
2026-08-01,shinigami couture,1,0,0.0,0.0
2026-08-01,shiva shop,2,0,0.0,0.0
2026-08-01,shop ukraine shop,1,0,0.0,0.0
2026-08-01,shweyka,1,0,0.0,0.0
2026-08-01,silver squad мерч,7,0,0.0,0.0
2026-08-01,silwear clothing,1,0,0.0,0.0
2026-08-01,six zeros,5,0,0.0,0.0
2026-08-01,six zeros магазин,1,0,0.0,0.0
2026-08-01,six zeros футболка,1,0,0.0,0.0
2026-08-01,sixtynine футболки,1,0,0.0,0.0
2026-08-01,sixzeros,2,0,0.0,0.0
2026-08-01,siz zeros,1,0,0.0,0.0
2026-08-01,sklo,1,0,0.0,0.0
2026-08-01,sklo одяг,1,0,0.0,0.0
2026-08-01,sleep token футболка,1,0,0.0,0.0
2026-08-01,smash,4,0,0.0,0.0
2026-08-01,smash com ua,2,0,0.0,0.0
2026-08-01,smash одежда,1,0,0.0,0.0
2026-08-01,sndct,1,0,0.0,0.0
2026-08-01,solomono,1,0,0.0,0.0
2026-08-01,sortcompany shop,1,0,0.0,0.0
2026-08-01,ssur,8,0,0.0,0.0
2026-08-01,staf,5,0,0.0,0.0
2026-08-01,staff,1,0,0.0,0.0
2026-08-01,starberry,3,0,0.0,0.0
2026-08-01,starberry футболки,1,0,0.0,0.0
2026-08-01,staybrave,2,0,0.0,0.0
2026-08-01,stilove ua,11,0,0.0,0.0
2026-08-01,stk division,1,0,0.0,0.0
2026-08-01,stlv,11,0,0.0,0.0
2026-08-01,stlv club,42,0,0.0,0.0
2026-08-01,stlvclub,3,0,0.0,0.0
2026-08-01,strawberry магазин,1,0,0.0,0.0
2026-08-01,street wear,1,0,0.0,0.0
2026-08-01,stretch easy jogger pants,1,0,0.0,0.0
2026-08-01,stvl club,11,0,0.0,0.0
2026-08-01,style,1,0,0.0,0.0
2026-08-01,sua stone,1,0,0.0,0.0
2026-08-01,sunset goons social club,3,0,0.0,0.0
2026-08-01,sva stone,11,0,0.0,0.0
2026-08-01,svasto,3,0,0.0,0.0
2026-08-01,svastone,33,0,0.0,0.0
2026-08-01,svastone толстовка,5,0,0.0,0.0
2026-08-01,svastone футболка,3,0,0.0,0.0
2026-08-01,sweatpants,4,0,0.0,0.0
2026-08-01,sweetpants,1,0,0.0,0.0
2026-08-01,syndicate,2,0,0.0,0.0
2026-08-01,syndicate kyiv,1,0,0.0,0.0
2026-08-01,taboo магазин,11,0,0.0,0.0
2026-08-01,tactical hoodie,1,0,0.0,0.0
2026-08-01,tally weijl,1,0,0.0,0.0
2026-08-01,techwear club,1,0,0.0,0.0
2026-08-01,teivaz,37,0,0.0,0.0
2026-08-01,teivaz brand,4,0,0.0,0.0
2026-08-01,the devil face одежда,1,0,0.0,0.0
2026-08-01,the north face футболка,1,0,0.0,0.0
2026-08-01,the smiths футболка,2,0,0.0,0.0
2026-08-01,three percent apparel,1,0,0.0,0.0
2026-08-01,tired футболка,1,0,0.0,0.0
2026-08-01,tommy sinny,1,0,0.0,0.0
2026-08-01,tommysinny,1,0,0.0,0.0
2026-08-01,trousers,1,0,0.0,0.0
2026-08-01,true religion hoodie,1,0,0.0,0.0
2026-08-01,true tough мерч,1,0,0.0,0.0
2026-08-01,tur streetwear,1,0,0.0,0.0
2026-08-01,tur wear,8,0,0.0,0.0
2026-08-01,turwear,8,0,0.0,0.0
2026-08-01,twilight hammer худи,2,0,0.0,0.0
2026-08-01,two brothers,1,0,0.0,0.0
2026-08-01,uamade,5,0,0.0,0.0
2026-08-01,uanimals shop,8,0,0.0,0.0
2026-08-01,uglycool streetwear,1,0,0.0,0.0
2026-08-01,ukraine,4,1,54.03,0.0
2026-08-01,ukraine azov flag,2,0,0.0,0.0
2026-08-01,ukrainika,1,0,0.0,0.0
2026-08-01,undercover футболка,1,0,0.0,0.0
2026-08-01,uniqlo cotton relaxed jogger pants,1,0,0.0,0.0
2026-08-01,uniqlo ukraine,1,0,0.0,0.0
2026-08-01,uniqlo штани чоловічі,1,0,0.0,0.0
2026-08-01,united 24 мерч,1,1,3.09,0.0
2026-08-01,urban planet,2,0,0.0,0.0
2026-08-01,urban tactical,10,0,0.0,0.0
2026-08-01,urban tactical футболка,6,0,0.0,0.0
2026-08-01,urban tactical худі,1,0,0.0,0.0
2026-08-01,us ukraine flag,1,0,0.0,0.0
2026-08-01,usual,8,0,0.0,0.0
2026-08-01,usual cloth,1,0,0.0,0.0
2026-08-01,usual clth,2,0,0.0,0.0
2026-08-01,usual одяг,1,0,0.0,0.0
2026-08-01,uto,1,0,0.0,0.0
2026-08-01,utopia 8,2,0,0.0,0.0
2026-08-01,vditi,1,0,0.0,0.0
2026-08-01,velmet,1,0,0.0,0.0
2026-08-01,vetements,1,0,0.0,0.0
2026-08-01,veteran flag,2,0,0.0,0.0
2026-08-01,w42 jeans,1,0,0.0,0.0
2026-08-01,warrior кофта,1,0,0.0,0.0
2026-08-01,waseworm,1,0,0.0,0.0
2026-08-01,wash sweatpants,1,0,0.0,0.0
2026-08-01,wave vast,1,0,0.0,0.0
2026-08-01,whitechapel футболка,6,0,0.0,0.0
2026-08-01,whocares,2,0,0.0,0.0
2026-08-01,why me,1,0,0.0,0.0
2026-08-01,wide leg sweatpants baggy sweatpants,1,0,0.0,0.0
2026-08-01,wizard tshirt,4,0,0.0,0.0
2026-08-01,wotanjugend футболка,1,0,0.0,0.0
2026-08-01,y2k,1,0,0.0,0.0
2026-08-01,ynel ua,1,0,0.0,0.0
2026-08-01,your turn hoodie,1,0,0.0,0.0
2026-08-01,zakolot,2,0,0.0,0.0
2026-08-01,zara,2,0,0.0,0.0
2026-08-01,zara joggers,1,0,0.0,0.0
2026-08-01,zara штани,1,0,0.0,0.0
2026-08-01,zegna футболка,1,0,0.0,0.0
2026-08-01,zero foxtrot,2,0,0.0,0.0
2026-08-01,zero tolerance футболка,4,0,0.0,0.0
2026-08-01,zip hoodie,9,0,0.0,0.0
2026-08-01,zip hoodie grey,1,0,0.0,0.0
2026-08-01,zip hoodie maison margiela,1,0,0.0,0.0
2026-08-01,zip кофта,1,0,0.0,0.0
2026-08-01,zip худі,1,0,0.0,0.0
2026-08-01,zipka,2,0,0.0,0.0
2026-08-01,zoho in ua,1,0,0.0,0.0
2026-08-01,абрамс магазин,1,0,0.0,0.0
2026-08-01,авиация галичины,1,0,0.0,0.0
2026-08-01,авіація галичини,9,0,0.0,0.0
2026-08-01,азазель,1,0,0.0,0.0
2026-08-01,азов мерч,3,0,0.0,0.0
2026-08-01,азов футболки,1,0,0.0,0.0
2026-08-01,алея прапорів київ,3,0,0.0,0.0
2026-08-01,альфа худи,1,0,0.0,0.0
2026-08-01,альфа індастріс худі,1,0,0.0,0.0
2026-08-01,алісалайн,1,0,0.0,0.0
2026-08-01,андеграунд одяг,6,0,0.0,0.0
2026-08-01,аніме худі,4,0,0.0,0.0
2026-08-01,армійська авіація,1,0,0.0,0.0
2026-08-01,баба яга,3,0,0.0,0.0
2026-08-01,баба яга страшная,1,0,0.0,0.0
2026-08-01,багі штани,1,0,0.0,0.0
2026-08-01,базовая одежда мужская,1,0,0.0,0.0
2026-08-01,базовые шорты женские,2,0,0.0,0.0
2026-08-01,банери,3,0,0.0,0.0
2026-08-01,банери військові,1,0,0.0,0.0
2026-08-01,банери для військових,5,0,0.0,0.0
2026-08-01,банери зсу,9,0,0.0,0.0
2026-08-01,беги штани,1,0,0.0,0.0
2026-08-01,бегі штани,1,0,0.0,0.0
2026-08-01,безет,1,0,0.0,0.0
2026-08-01,белая футболка купить,1,0,0.0,0.0
2026-08-01,бершка,1,0,0.0,0.0
2026-08-01,бершка мужские штаны,1,0,0.0,0.0
2026-08-01,блатосфера,2,0,0.0,0.0
2026-08-01,богема ленинград худи,5,0,0.0,0.0
2026-08-01,бойовий прапор,46,0,0.0,0.0
2026-08-01,бойовий прапор україни червоно чорний,1,0,0.0,0.0
2026-08-01,бойові прапори військових частин,27,0,0.0,0.0
2026-08-01,борис брейча футболка,1,0,0.0,0.0
2026-08-01,бренди одягу,1,0,0.0,0.0
2026-08-01,брендові футболки чоловічі,1,0,0.0,0.0
2026-08-01,брюки,4,0,0.0,0.0
2026-08-01,брюки мужские,4,0,0.0,0.0
2026-08-01,брюки мужские прямые,1,0,0.0,0.0
2026-08-01,брюки слаксы,2,0,0.0,0.0
2026-08-01,брюки спорт шик мужские,1,0,0.0,0.0
2026-08-01,брюки спортивні чоловічі,1,0,0.0,0.0
2026-08-01,брюки черные женские,1,0,0.0,0.0
2026-08-01,брюки чорні,1,0,0.0,0.0
2026-08-01,брюки широкие мужские,1,0,0.0,0.0
2026-08-01,брюкы,1,0,0.0,0.0
2026-08-01,вампір,1,0,0.0,0.0
2026-08-01,ваффен сс футболка,1,0,0.0,0.0
2026-08-01,вертикальний прапор,22,0,0.0,0.0
2026-08-01,виготовлення прапора,2,0,0.0,0.0
2026-08-01,виготовлення прапорів,4,0,0.0,0.0
2026-08-01,военные худи,1,0,0.0,0.0
2026-08-01,военный флаг украины,6,0,0.0,0.0
2026-08-01,война картина,1,0,0.0,0.0
2026-08-01,волоцюга одяг,7,0,0.0,0.0
2026-08-01,волчок худи,1,0,0.0,0.0
2026-08-01,воля або смерть прапор,1,0,0.0,0.0
2026-08-01,все свои,1,0,0.0,0.0
2026-08-01,всі свої,5,0,0.0,0.0
2026-08-01,військова футболка з принтом,1,0,0.0,0.0
2026-08-01,військовий арт,8,0,0.0,0.0
2026-08-01,військовий мерч,2,0,0.0,0.0
2026-08-01,військовий прапор,54,0,0.0,0.0
2026-08-01,військовий принт,13,0,0.0,0.0
2026-08-01,військові банери,4,0,0.0,0.0
2026-08-01,військові мерчі,6,0,0.0,0.0
2026-08-01,військові прапори,4,0,0.0,0.0
2026-08-01,військові футболки,1,0,0.0,0.0
2026-08-01,військові футболки з принтом на спині,2,0,0.0,0.0
2026-08-01,вільні штани чоловічі,3,0,0.0,0.0
2026-08-01,гард,2,0,0.0,0.0
2026-08-01,гарда одяг,1,0,0.0,0.0
2026-08-01,гола боса шоп,1,0,0.0,0.0
2026-08-01,гонор,1,0,0.0,0.0
2026-08-01,гонор футболка,1,0,0.0,0.0
2026-08-01,гонорова футболка,2,0,0.0,0.0
2026-08-01,гонорові магазин,1,0,0.0,0.0
2026-08-01,гонорові одяг,1,0,0.0,0.0
2026-08-01,гонорові футболки,16,1,7.49,0.0
2026-08-01,горгани магазин,1,0,0.0,0.0
2026-08-01,готичні футболки,3,1,10.91,0.0
2026-08-01,груп компані,2,0,0.0,0.0
2026-08-01,гуд бойс,7,0,0.0,0.0
2026-08-01,гуд бойс клаб,28,0,0.0,0.0
2026-08-01,гуд бойс клаб харьков,1,0,0.0,0.0
2026-08-01,дабхуманс,1,0,0.0,0.0
2026-08-01,дабхьюманс,1,0,0.0,0.0
2026-08-01,джакет,1,0,0.0,0.0
