название	идентификатор	цена	состояние	наличие	Канал	ярлык фида	Язык	update type	все клики	доставка(сервис доставки:страна доставки:цена доставки)	категория продукта google	код производителя	марка	метка продавца 0	описание	ссылка	ссылка на изображение	тип товара
"Fundament ze stali ocynkowanej pod szklarnię 2,85×4 m"	568403777062	619.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	2	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2,85 x 4 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (6 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2,85 m – Długość: 4 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 6 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-568403777062-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Szklarnia Went Ekspert Tunel 40x20 3x4m z poliwęglanem 6mm	201636147772	1949.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	2	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 3 mDługość szklarni: 4 mWysokość szklarni: 2 mOdstęp między łukami: 0,67 mProfil szklarnie: rura prostokątna z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (Odporny na promienie UV)Ilość drzwi: dwoje drzwi (z przodu i z tyłu każda z drzwi składa się z dwóch otwierających elementów) W celu uzyskania maksymalnej sztywności front i tyl szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Tunel Went Ekspert 40x20 3x4m z poliwęglanem 6mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Tunel Went Ekspert - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Nowa szklarnia wyposażona jest w podwójne drzwi, które można otwierać niezależnie lub jednocześnie. Takie rozwiązanie zapewnia lepszą wentylację z obu stron. Wymiary jednego segmentu drzwi to: szerokość 0,85 m i wysokość 0,89 m. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Tunel Went Ekspert: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-went-ekspert-tunel/tproduct/2024410953-201636147772-szklarnia-went-ekspert-tunel-40x20-3x4m	https://static.tildacdn.one/stor6462-6161-4630-b836-376366356462/2b82df02efac3ccca1b7588cdf2e8c96.jpg	
Szklarnia Ekspert Tunel 20×20 3x2m z poliwęglanem 4mm	759704932172	1199.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	32	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość: 2 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 20x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) SZKLARNIA EKSPERT TUNEL 20x20 3x2m z poliwęglanu 4 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert tunel 20x20 - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 20x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-20-20/tproduct/2024415033-759704932172-szklarnia-ekspert-tunel-2020-3x2m-z-poli	https://static.tildacdn.one/stor3931-3332-4037-b538-343038306430/c116669647ff684a2df836e61f8a99ff.jpg	
Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 4mm	616744282622	1799.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	23	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość: 4 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia Ekspert Tunel 40x20 3x4m z poliwęglanem 4 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-40-20/tproduct/1998727403-616744282622-szklarnia-ekspert-tunel-4020-3x4m-z-poli	https://static.tildacdn.one/stor3332-6134-4033-b034-613064393661/b054dcf8f9db77841f8c02ad00dadb1e.jpg	
Szklarnia Tytan Ekspert Tunel 40x20 4x10m z poliwęglanem 6mm	711156438102	4399.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	1	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 4 mDługość szklarni: 10 mWysokość szklarni: 2,2 mOdstęp między łukami: 0,67 mProfil szklarnie: profil prostokątny z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (Odporny na promienie UV)Ilość drzwi: cztery drzwi (dwie z przodu i z tyłu)Ilość okienek: cztery okienka (dwa z przodu i z tyłu) W celu uzyskania maksymalnej sztywności front i tył szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Ekspert Tunel Tytan 40x20 4x10 m z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel Tytan charakteryzuje się nowoczesną i wyjątkowo solidną konstrukcją wykonaną z ocynkowanych profili 40x20 mm, odpornych na działanie niekorzystnych warunków atmosferycznych. Jej zaokrąglony kształt zapobiega gromadzeniu się śniegu, a pokrycie z poliwęglanu komorowego o grubości 6 mm skutecznie chroni przed promieniowaniem UV, gradem oraz silnym wiatrem. Dzięki gęstemu rozmieszczeniu łuków co 67 cm cała konstrukcja pozostaje stabilna i niezawodna nawet w trudnych, zimowych warunkach. Nowoczesna szklarnia została stworzona z myślą o osobach, które świadomie podchodzą do ogrodnictwa i doskonale wiedzą, jakie mają potrzeby. To praktyczne rozwiązanie łączy w sobie trwałość, komfort użytkowania i wysoką funkcjonalność, dzięki czemu codzienna praca w ogrodzie staje się łatwiejsza i bardziej przyjemna. Umożliwia uprawę roślin w korzystnych warunkach niemal przez cały rok, niezależnie od pogody, co daje pewność obfitych i zdrowych plonów. Drzwi szklarni zaprojektowano tak, aby zapewniały maksymalną wygodę. Mogą być całkowicie otwarte, używane w trybie wietrzenia dzięki praktycznemu okienku lub otwierane tylko w jednej z dwóch części – w zależności od potrzeb w zakresie cyrkulacji powietrza. Wejście ma wymiary 1,8 x 1,81 m, drzwi – 0,89 x 1,8 m, a okienko – 0,41 x 0,86 m. W chłodniejsze dni wystarczy uchylić okienko, aby utrzymać optymalną temperaturę dla roślin, natomiast podczas upałów można otworzyć drzwi na oścież, zapewniając maksymalny przewiew i komfort uprawom. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel Tytan Rama szklarniowaKotwy do mocowania szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuDysza do wkrętarki do szkruby 4.2x19 z podkładką EPDMInstrukcja montażu w języku polskim Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarni/tproduct/1500649011-711156438102-szklarnia-tytan-ekspert-tunel-40x20-4x10	https://static.tildacdn.one/stor6663-3531-4666-a365-643562356663/6482da203ffd9a28fa3031d1fa7ea434.jpg	
"Fundament ze stali ocynkowanej pod szklarnię 3,5×12 m"	762989295672	1478.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 3,5 x 12 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (14 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 3,5 m – Długość: 12 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 14 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-762989295672-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Fundament ze stali ocynkowanej pod szklarnię 2×8 m	261649226642	968.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2 x 8 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (10 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2 m – Długość: 8 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 10 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-261649226642-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
"Fundament ze stali ocynkowanej pod szklarnię 3,5×4 m"	775286396592	678.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	2	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 3,5 x 4 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (6 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 3,5 m – Długość: 4 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 6 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-775286396592-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Szklarnia Mini Ekspert Tunel 20×20 2x10m z poliwęglanem 6mm	754490399442	3049.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość: 2 mDługość: 10 mWysokość: 1,9 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 20x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia MINI Ekspert Tunel 2x10 m z profilu 20x20mm z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia MINI Ekspert Tunel 2x10 m - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 20x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-mini-ekspert-tunel/tproduct/2024409063-754490399442-szklarnia-mini-ekspert-tunel-2020-2x10m	https://static.tildacdn.one/stor3762-6239-4565-b834-336664333838/a5b5ce4be793694a7ecbbc5cced2e491.jpg	
Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 6mm	781911476172	2099.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość: 2 mDługość: 6 mWysokość: 1,9 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 20x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia MINI Ekspert Tunel 2x6 m z profilu 20x20mm z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia MINI Ekspert Tunel 2x6 m - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 20x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-mini-ekspert-tunel/tproduct/2024409063-781911476172-szklarnia-mini-ekspert-tunel-2020-2x6m-z	https://static.tildacdn.one/stor3762-6239-4565-b834-336664333838/a5b5ce4be793694a7ecbbc5cced2e491.jpg	
Szklarnia Mini Ekspert Tunel 20×20 2x12m z poliwęglanem 6mm	894211962322	3599.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość: 2 mDługość: 12 mWysokość: 1,9 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 20x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia MINI Ekspert Tunel 2x12 m z profilu 20x20mm z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia MINI Ekspert Tunel 2x12 m - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 20x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-mini-ekspert-tunel/tproduct/2024409063-894211962322-szklarnia-mini-ekspert-tunel-2020-2x12m	https://static.tildacdn.one/stor3762-6239-4565-b834-336664333838/a5b5ce4be793694a7ecbbc5cced2e491.jpg	
