Campaign,Placement,Display_name,Target_url,Impressions
dspl / ca,1-6478738305,"Mobile App: Vigor Solitaire for Seniors (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id6478738305,73
dspl / ca,1-551252620,"Mobile App: Mahjong 13 tiles (iTunes App Store), by Zhengzhou Anlansiqin Automobile Service Co., Ltd.",https://itunes.apple.com/us/app/id551252620,72
dspl / ca,2-com.oakever.tiletrip,"Mobile App: Tile Explorer - Triple Match (Google Play), by Oakever Games",https://play.google.com/store/apps/details?id=com.oakever.tiletrip,71
dspl / ca,1-1563340662,"Mobile App: DMV Practice Test - 2026 (iTunes App Store), by Minh Pham",https://itunes.apple.com/us/app/id1563340662,70
dspl / ca,1-1299956969,"Mobile App: Word Collect : Word Search (iTunes App Store), by Super Lucky Games LLC",https://itunes.apple.com/us/app/id1299956969,68
search / all injuries,youtube.com,youtube.com,youtube.com,64
dspl / ca,1-6449243946,"Mobile App: Snake Clash! (iTunes App Store), by Supercent Inc.",https://itunes.apple.com/us/app/id6449243946,64
dspl / ca,1-6478847787,"Mobile App: Vigor Mahjong (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id6478847787,63
dspl / ca,1-1404715677,"Mobile App: 3D Bubble Shoot - ASMR Game (iTunes App Store), by Ta Ta Game Technology Limited",https://itunes.apple.com/us/app/id1404715677,62
dspl / ca,2-jp.ne.ibis.ibispaintx.app,"Mobile App: ibis Paint X (Google Play), by ibis inc.",https://play.google.com/store/apps/details?id=jp.ne.ibis.ibispaintx.app,60
dspl / ca,1-1628300409,"Mobile App: BestNovel: Read Romance Novels (iTunes App Store), by Fuzhou Changjian Culture Communication Co.Ltd",https://itunes.apple.com/us/app/id1628300409,55
dspl / ca,1-1082940965,"Mobile App: Sound Board for Vine - FREE Soundboard Best Vines! (iTunes App Store), by Aamir Elahi",https://itunes.apple.com/us/app/id1082940965,54
dspl / ca,1-6747734279,"Mobile App: Jigblock™ Puzzle (iTunes App Store), by Beijing Hong Hai Wu Xian Technology Development Co., Ltd.",https://itunes.apple.com/us/app/id6747734279,54
dspl / ca,1-1482887935,"Mobile App: Classic Solitaire - Card Games (iTunes App Store), by Aged Studio Limited",https://itunes.apple.com/us/app/id1482887935,54
dspl / ca,1-1324604053,"Mobile App: Jigsaw Puzzles - Puzzle Games (iTunes App Store), by Easybrain Ltd",https://itunes.apple.com/us/app/id1324604053,53
dspl / ca,1-981633844,"Mobile App: Block Craft 3D: Building Games (iTunes App Store), by Wildlife Studios, Inc",https://itunes.apple.com/us/app/id981633844,52
dspl / ca,1-373942073,"Mobile App: Real Solitaire for iPad (iTunes App Store), by EdgeRift, Inc.",https://itunes.apple.com/us/app/id373942073,51
dspl / ca,1-6757518670,"Mobile App: Jigmerge™ Puzzle (iTunes App Store), by RED INFINITY LIMITED",https://itunes.apple.com/us/app/id6757518670,51
dspl / ca,1-6478063606,"Mobile App: Color Block: Combo Blast (iTunes App Store), by FLYYES TECHNOLOGY PTE. LTD.",https://itunes.apple.com/us/app/id6478063606,51
dspl / ca,2-com.u1.relax.minigame3,"Mobile App: Mini Challenges: Calm Games (Google Play), by UltraPub",https://play.google.com/store/apps/details?id=com.u1.relax.minigame3,50
dspl / ca,1-604044220,"Mobile App: Bubble Shooter: Pop & Blast (iTunes App Store), by Ilyon Dynamics Ltd.",https://itunes.apple.com/us/app/id604044220,49
dspl / ca,2-com.htt.alpha.shooter.fps,"Mobile App: Monster Shooter: Survival FPS (Google Play), by Unicorn Studio Official",https://play.google.com/store/apps/details?id=com.htt.alpha.shooter.fps,48
dspl / ca,1-6474173988,"Mobile App: Car Driving Master:Police Race (iTunes App Store), by Ngoc vinh trading service company limited",https://itunes.apple.com/us/app/id6474173988,48
dspl / ca,1-6742221896,"Mobile App: Dreamy Room (iTunes App Store), by ABI GLOBAL LTD.",https://itunes.apple.com/us/app/id6742221896,47
search / all injuries,supremeinsights.com/topic/5731003,supremeinsights.com/topic/5731003,supremeinsights.com/topic/5731003,46
dspl / ca,1-6475333050,"Mobile App: Anima Color - Color by Number (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id6475333050,45
dspl / ca,1-1212951043,"Mobile App: Woody Block Puzzle Brain Game (iTunes App Store), by Athena FZE",https://itunes.apple.com/us/app/id1212951043,45
dspl / ca,1-6450409028,"Mobile App: Color Blast:Block Puzzle (iTunes App Store), by Topsmart Mobile Limited",https://itunes.apple.com/us/app/id6450409028,45
dspl / ca,1-898285634,"Mobile App: Stress Free Jigsaw Puzzles (iTunes App Store), by Boy Howdy Technology LLC",https://itunes.apple.com/us/app/id898285634,43
dspl / ca,2-com.h.momsim,"Mobile App: Mother Life Simulator: Prank (Google Play), by Unicorn Studio Official",https://play.google.com/store/apps/details?id=com.h.momsim,43
dspl / ca,2-com.godlike.vigormahjong,"Mobile App: Vigor Mahjong (Google Play), by CanaryDroid",https://play.google.com/store/apps/details?id=com.godlike.vigormahjong,42
dspl / ca,2-com.dxm.nopuzzle,"Mobile App: Block Puzzle (Google Play), by Candy Mobile",https://play.google.com/store/apps/details?id=com.dxm.nopuzzle,41
dspl / ca,www.foxnews.com/us/missouri-neighbor-accused-killing-mother-teen-daughter-after-confronting-family-over-dispute,www.foxnews.com/us/missouri-neighbor-accused-killing-mother-teen-daughter-after-confronting-family-over-dispute,www.foxnews.com/us/missouri-neighbor-accused-killing-mother-teen-daughter-after-confronting-family-over-dispute,41
pmax / ca,atlas.taboolanews.com/video-page,atlas.taboolanews.com/video-page,atlas.taboolanews.com/video-page,41
search / all injuries,www.indiasite.com/get/result,www.indiasite.com/get/result,www.indiasite.com/get/result,41
dspl / ca,1-1617245942,"Mobile App: Jungle Adventure: Tribe Boy (iTunes App Store), by PIXON PTE. LTD.",https://itunes.apple.com/us/app/id1617245942,40
dspl / ca,2-com.iceors.colorbook.release,"Mobile App: Coloring Book: Color by Number (Google Play), by Candy Mobile",https://play.google.com/store/apps/details?id=com.iceors.colorbook.release,39
pmax / ca,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,38
dspl / ca,1-6476594201,"Mobile App: Lane Pursue Adventure (iTunes App Store), by Muhammad Hussain",https://itunes.apple.com/us/app/id6476594201,38
dspl / ca,1-6740228508,"Mobile App: Shanghai Mahjongg Puzzle (iTunes App Store), by UniRise Digital Limited",https://itunes.apple.com/us/app/id6740228508,38
dspl / ca,1-579581125,"Mobile App: SmartNews: Breaking News (iTunes App Store), by SmartNews, Inc.",https://itunes.apple.com/us/app/id579581125,38
dspl / ca,1-6474012858,"Mobile App: Jigsawpad® - jigsaw puzzles HD (iTunes App Store), by OAKEVER GAMES PTE. LTD.",https://itunes.apple.com/us/app/id6474012858,38
dspl / ca,2-com.cdtg.ragdoll.playground,"Mobile App: Ragdoll Playground (Google Play), by Reggae True Love",https://play.google.com/store/apps/details?id=com.cdtg.ragdoll.playground,38
dspl / ca,1-351331194,"Mobile App: Badoo Dating: Meet New People (iTunes App Store), by Badoo Software Ltd",https://itunes.apple.com/us/app/id351331194,38
dspl / ca,1-523001403,"Mobile App: Domino! - Multiplayer Dominoes (iTunes App Store), by Flyclops, LLC",https://itunes.apple.com/us/app/id523001403,38
dspl / ca,2-com.puzzlegames.puzzlebrickslegend,"Mobile App: Color Block: Combo Blast (Google Play), by Ivy",https://play.google.com/store/apps/details?id=com.puzzlegames.puzzlebrickslegend,37
search / car accident / ca - google search + network,selectadvise.com/topic/5731003,selectadvise.com/topic/5731003,selectadvise.com/topic/5731003,37
dspl / ca,1-6738373534,"Mobile App: Musivibe - Enjoy Offline Music (iTunes App Store), by Chengdu Feixiao Tech Co., Ltd.",https://itunes.apple.com/us/app/id6738373534,36
search / all injuries / geo - la specific,bozuktus.com/blog/query,bozuktus.com/blog/query,bozuktus.com/blog/query,36
dspl / ca,1-514485964,"Mobile App: Text Me - Phone Call + Texting (iTunes App Store), by TextMe, Inc.",https://itunes.apple.com/us/app/id514485964,35
dspl / ca,1-1466197423,"Mobile App: Wood Block Puzzle Games (iTunes App Store), by OAKEVER GAMES PTE. LTD.",https://itunes.apple.com/us/app/id1466197423,35
dspl / ca,1-1102415991,"Mobile App: RealmCraft: mine & craft world (iTunes App Store), by Tellurion mobile, Limited Liability Company",https://itunes.apple.com/us/app/id1102415991,35
dspl / ca,1-1073936461,"Mobile App: Solitaire: Cards Games Classic (iTunes App Store), by nerByte GmbH",https://itunes.apple.com/us/app/id1073936461,35
dspl / ca,1-1360098321,"Mobile App: Solitaire Card Games · (iTunes App Store), by Solitaire Games Free Inc.",https://itunes.apple.com/us/app/id1360098321,34
dspl / ca,2-com.pixel.art.coloring.color.number,"Mobile App: Happy Color®: Color by Number (Google Play), by X-FLOW",https://play.google.com/store/apps/details?id=com.pixel.art.coloring.color.number,34
dspl / ca,1-1528940523,"Mobile App: VPN - Fast VPN Super ™ (iTunes App Store), by TOPAPPS TECH PTE LTD",https://itunes.apple.com/us/app/id1528940523,33
dspl / ca,1-6768646630,"Mobile App: Bubble Match - Connect Puzzle (iTunes App Store), by MAGLAB OYUN TEKNOLOJILERI BILISIM YAZILIM TASARIM YAYINCILIK TICARET A S",https://itunes.apple.com/us/app/id6768646630,33
dspl / ca,2-com.native.messages,"Mobile App: Messages (Google Play), by SMS Text Messages",https://play.google.com/store/apps/details?id=com.native.messages,33
dspl / ca,2-com.tsyatsya.mechangelion,"Mobile App: Mechangelion - Robot Fighting (Google Play), by MOONEE PUBLISHING LTD",https://play.google.com/store/apps/details?id=com.tsyatsya.mechangelion,33
dspl / ca,2-kidultlovin.word.zen,"Mobile App: Zen Word® - Relax Puzzle Game (Google Play), by Oakever Games",https://play.google.com/store/apps/details?id=kidultlovin.word.zen,33
dspl / ca,2-com.uc.animal.hide.seek,"Mobile App: Prank House Escape (Google Play), by Dinosaur House",https://play.google.com/store/apps/details?id=com.uc.animal.hide.seek,33
dspl / ca,1-1672847314,"Mobile App: Hush – Express Freely (iTunes App Store), by Hush Incorporated",https://itunes.apple.com/us/app/id1672847314,32
dspl / ca,1-1551772472,"Mobile App: Pool Tour - Pocket Billiards (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id1551772472,32
dspl / ca,1-1315540005,"Mobile App: Fill Wooden Block Puzzle 8x8 (iTunes App Store), by LIHUHU PTE. LTD.",https://itunes.apple.com/us/app/id1315540005,32
pmax / ca,resultsfordeals.com/search.webm,resultsfordeals.com/search.webm,resultsfordeals.com/search.webm,32
dspl / ca,1-1658308218,"Mobile App: Monster Demolition - Giants 3D (iTunes App Store), by SayGames LTD",https://itunes.apple.com/us/app/id1658308218,31
dspl / ca,2-com.europosit.pixelcoloring,"Mobile App: Pixel Art - Color by Number (Google Play), by Easybrain",https://play.google.com/store/apps/details?id=com.europosit.pixelcoloring,31
dspl / ca,2-com.Easy.Parkour.Obby,"Mobile App: Easy Parkour: Escape Run Obby (Google Play), by Blox Global",https://play.google.com/store/apps/details?id=com.Easy.Parkour.Obby,31
dspl / ca,1-6443933664,"Mobile App: Spider Solitaire - ACE (iTunes App Store), by Conifer Limited",https://itunes.apple.com/us/app/id6443933664,29
dspl / ca,1-1496007149,"Mobile App: CardGames.io (iTunes App Store), by Raudas Hugbunadur ehf.",https://itunes.apple.com/us/app/id1496007149,29
search / car accident / ca - google search + network,youtube.com,youtube.com,youtube.com,29
dspl / ca,2-com.ImaginativeGames.GunUp2048,"Mobile App: Gun up Weapon Ball Shooter (Google Play), by Fun Games Teknoloji",https://play.google.com/store/apps/details?id=com.ImaginativeGames.GunUp2048,29
dspl / ca,1-526641427,"Mobile App: Flow Free (iTunes App Store), by Big Duck Games LLC",https://itunes.apple.com/us/app/id526641427,29
dspl / ca,1-6444042347,"Mobile App: Aha World: Avatar & Family Fun (iTunes App Store), by IHUMAN (SG) PTE. LTD.",https://itunes.apple.com/us/app/id6444042347,29
dspl / ca,1-6464395186,"Mobile App: BloodBox Sandbox (iTunes App Store), by Payge Limited",https://itunes.apple.com/us/app/id6464395186,29
dspl / ca,1-797625615,"Mobile App: Stress Free Yatzy Dice Game (iTunes App Store), by Boy Howdy Technology LLC",https://itunes.apple.com/us/app/id797625615,28
dspl / ca,2-com.hookah.sandboxinspace,"Mobile App: Sandbox In Space (Google Play), by HOOKAH GAMES IT SERVICE L.L.C",https://play.google.com/store/apps/details?id=com.hookah.sandboxinspace,28
dspl / ca,1-1356820483,"Mobile App: Block Puzzle · (iTunes App Store), by Block Puzzle Games Inc.",https://itunes.apple.com/us/app/id1356820483,28
pmax / ca,www.redesigndaily.com/dcg/search,www.redesigndaily.com/dcg/search,www.redesigndaily.com/dcg/search,27
dspl / ca,2-com.hp.survival.night.room.escape,"Mobile App: Survival Night: Room Escape (Google Play), by HIGAME Studio",https://play.google.com/store/apps/details?id=com.hp.survival.night.room.escape,27
dspl / ca,1-479280326,"Mobile App: ⋆Solitaire: Classic Card Games (iTunes App Store), by Playstudios, Inc.",https://itunes.apple.com/us/app/id479280326,26
dspl / ca,1-6779177480,"Mobile App: JewelPainter™ Color by Number (iTunes App Store), by Shoyo Mobi Tech LImited",https://itunes.apple.com/us/app/id6779177480,26
dspl / ca,2-com.Kayac.ShurikenCut,"Mobile App: Shuriken Cut (Google Play), by KAYAC Inc.",https://play.google.com/store/apps/details?id=com.Kayac.ShurikenCut,26
dspl / ca,1-6742475176,"Mobile App: Hospital Story: Perfect Care (iTunes App Store), by Higame Global Limited",https://itunes.apple.com/us/app/id6742475176,26
dspl / ca,2-com.Speed.Keyboard.Parkour.Escape,"Mobile App: Keyboard Escape: Speed Parkour (Google Play), by H2T GLOBAL PTE. LTD.",https://play.google.com/store/apps/details?id=com.Speed.Keyboard.Parkour.Escape,26
dspl / ca,1-1603978681,"Mobile App: Word Guess - Word Games (iTunes App Store), by Mediaflex Ltd",https://itunes.apple.com/us/app/id1603978681,26
dspl / ca,1-6479604972,"Mobile App: Jigsaw Master - Jigsaw Puzzles (iTunes App Store), by Yang Li",https://itunes.apple.com/us/app/id6479604972,26
dspl / ca,1-6768216194,"Mobile App: +1 Obby Speed: Keyboard (iTunes App Store), by Khanh Pham Van",https://itunes.apple.com/us/app/id6768216194,26
dspl / ca,1-1615015886,"Mobile App: Bird Sort Color Puzzle Game (iTunes App Store), by Hang Nguyen Minh",https://itunes.apple.com/us/app/id1615015886,25
dspl / ca,1-1512344831,"Mobile App: Coloring Book -Color by Number (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id1512344831,25
search / car accident / ca - google search + network,www.redesigndaily.com/dcg/search,www.redesigndaily.com/dcg/search,www.redesigndaily.com/dcg/search,25
dspl / ca,1-6741703805,"Mobile App: Daily Mahjong Match (iTunes App Store), by Shanghai Diguo Network Technology Co., Ltd.",https://itunes.apple.com/us/app/id6741703805,25
dspl / ca,2-com.ifnovel.read,"Mobile App: 風閱小説 - 全網爆火小説免費看 (Google Play), by HK Yueyou Technology Limited",https://play.google.com/store/apps/details?id=com.ifnovel.read,25
dspl / ca,2-com.good.boy.education.craft.best.building.sun,"Mobile App: Craft World Block Building 3D (Google Play), by Patane Global",https://play.google.com/store/apps/details?id=com.good.boy.education.craft.best.building.sun,25
dspl / ca,1-6746737173,"Mobile App: Tricky Prank: Annoying Quest (iTunes App Store), by Higame Global Limited",https://itunes.apple.com/us/app/id6746737173,25
dspl / ca,1-1245525899,"Mobile App: Word Wars - Word Game (iTunes App Store), by PlaySimple Games Pte Ltd",https://itunes.apple.com/us/app/id1245525899,24
dspl / ca,1-1182341536,"Mobile App: Yazy yatzy dice game (iTunes App Store), by FIOGONIA LIMITED",https://itunes.apple.com/us/app/id1182341536,24
dspl / ca,1-6757172065,"Mobile App: Monkey Student: School Prank (iTunes App Store), by CTC TECHNOLOGY LIMITED",https://itunes.apple.com/us/app/id6757172065,24
dspl / ca,1-6445890717,"Mobile App: Jigsaw Puzzles Explorer (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id6445890717,24
dspl / ca,2-jigsaw.puzzle.game.banana,"Mobile App: Jigsawscapes® - Jigsaw Puzzles (Google Play), by Oakever Games",https://play.google.com/store/apps/details?id=jigsaw.puzzle.game.banana,24
dspl / ca,2-com.enflick.android.TextNow,"Mobile App: TextNow: Call + Text Unlimited (Google Play), by TextNow, Inc.",https://play.google.com/store/apps/details?id=com.enflick.android.TextNow,24
dspl / ca,1-387301602,"Mobile App: Solitaire: Deluxe® Classic (iTunes App Store), by Murka Contracting Limited",https://itunes.apple.com/us/app/id387301602,23
dspl / ca,1-1625050310,"Mobile App: Zen Blossom: Flower Tile Match (iTunes App Store), by BRAINWORKS PUBLISHING PTE. LTD.",https://itunes.apple.com/us/app/id1625050310,23
dspl / ca,2-com.one.m1.world,"Mobile App: Pop's World - Running game (Google Play), by ABI GAME",https://play.google.com/store/apps/details?id=com.one.m1.world,23
dspl / ca,1-6788598307,"Mobile App: Hide and Seek: Paint Escape (iTunes App Store), by Dung Tran Phi",https://itunes.apple.com/us/app/id6788598307,22
dspl / ca,1-6745003362,"Mobile App: Word Oasis: Calm Puzzle Game (iTunes App Store), by SEIWA Co., Ltd.",https://itunes.apple.com/us/app/id6745003362,22
dspl / ca,2-com.gamovation.mahjongclub,"Mobile App: Mahjong Club - Solitaire Game (Google Play), by GamoVation",https://play.google.com/store/apps/details?id=com.gamovation.mahjongclub,22
dspl / ca,1-1557197419,"Mobile App: Solitaire Classic - Classic (iTunes App Store), by Yang Li",https://itunes.apple.com/us/app/id1557197419,22
dspl / ca,2-com.peoplefun.wordcross,"Mobile App: Wordscapes (Google Play), by PeopleFun",https://play.google.com/store/apps/details?id=com.peoplefun.wordcross,22
dspl / ca,1-6444454360,"Mobile App: Wood Block Doku: Brain Games (iTunes App Store), by Block Puzzle Games Inc.",https://itunes.apple.com/us/app/id6444454360,22
dspl / ca,1-1445691600,"Mobile App: Differences - Find & Spot Them (iTunes App Store), by Easybrain Ltd",https://itunes.apple.com/us/app/id1445691600,22
dspl / ca,2-com.robtopx.geometryjumplite,"Mobile App: Geometry Dash Lite (Google Play), by RobTop Games",https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite,21
dspl / ca,2-com.vitastudio.senior.jigsaw,"Mobile App: Vita Jigsaw for Seniors (Google Play), by Vita Studio.",https://play.google.com/store/apps/details?id=com.vitastudio.senior.jigsaw,21
dspl / ca,2-com.goallegan.dian,"Mobile App: Goal Legend-Penalty Guardian (Google Play), by appstartstudio",https://play.google.com/store/apps/details?id=com.goallegan.dian,21
dspl / ca,1-1434957889,"Mobile App: Dominoes - Classic Edition (iTunes App Store), by Loop Games",https://itunes.apple.com/us/app/id1434957889,21
dspl / ca,2-io.supercent.linkedcubic,"Mobile App: Snake Clash! (Google Play), by Supercent, Inc.",https://play.google.com/store/apps/details?id=io.supercent.linkedcubic,21
dspl / ca,1-429610587,"Mobile App: iFunny－funny videos，memes，GIFs (iTunes App Store), by iFunny Inc.",https://itunes.apple.com/us/app/id429610587,21
dspl / ca,2-game.puzzle.blockpuzzle,"Mobile App: Block Puzzle (Google Play), by Addict Puzzle Games",https://play.google.com/store/apps/details?id=game.puzzle.blockpuzzle,21
dspl / ca,1-6761900868,"Mobile App: Hexascapes - Block Puzzle (iTunes App Store), by EASY PLAY GAME TECHNOLOGY LIMITED",https://itunes.apple.com/us/app/id6761900868,21
dspl / ca,1-6760742606,"Mobile App: Nature Puzzles Jigsaw Game (iTunes App Store), by YUANTU INTERACTIVE TECHNOLOGY PTE. LTD.",https://itunes.apple.com/us/app/id6760742606,20
dspl / ca,badoo.com/encounters,badoo.com/encounters,badoo.com/encounters,20
dspl / ca,2-com.real.car.racing.stunt.master.driving.game,"Mobile App: Real Car Driving Midnight Club (Google Play), by Zendios",https://play.google.com/store/apps/details?id=com.real.car.racing.stunt.master.driving.game,20
dspl / ca,1-447555850,"Mobile App: Solitaire ++ (iTunes App Store), by JELLY BOX APPS LTD",https://itunes.apple.com/us/app/id447555850,20
dspl / ca,1-6749930027,"Mobile App: Hidden Quest: Seek & Discover (iTunes App Store), by 乐 于",https://itunes.apple.com/us/app/id6749930027,20
dspl / ca,1-1624437334,"Mobile App: Sudoku No Pop-up Ads (iTunes App Store), by Faraj Ebrahimi",https://itunes.apple.com/us/app/id1624437334,20
dspl / ca,1-495583717,"Mobile App: Jigsaw Puzzle: Daily Puzzles (iTunes App Store), by Critical Hit Software",https://itunes.apple.com/us/app/id495583717,20
search / car accident / ca - google search + network,search.savvyvita.com/serp,search.savvyvita.com/serp,search.savvyvita.com/serp,20
dspl / ca,1-1107507527,"Mobile App: Room Escape: 50 rooms I (iTunes App Store), by Shenzhen Zhonglian Interactive Technology Co.,Ltd.",https://itunes.apple.com/us/app/id1107507527,19
dspl / ca,1-6446669987,"Mobile App: Vita Solitaire for Seniors (iTunes App Store), by VITA STUDIO PTE. LTD.",https://itunes.apple.com/us/app/id6446669987,19
dspl / ca,1-1254017637,"Mobile App: Boy Howdy Solitaire Collection (iTunes App Store), by Boy Howdy Technology LLC",https://itunes.apple.com/us/app/id1254017637,19
dspl / ca,1-6743926718,"Mobile App: Tile Vacation - Triple Match (iTunes App Store), by Vision Studio (HK) Limited",https://itunes.apple.com/us/app/id6743926718,19
dspl / ca,2-com.visionstudio.tilevacation,"Mobile App: Tile Vacation - Triple Match (Google Play), by VisionStudio(HK)",https://play.google.com/store/apps/details?id=com.visionstudio.tilevacation,19
dspl / ca,1-1420058690,"Mobile App: Paint by Number Coloring Game (iTunes App Store), by OAKEVER GAMES PTE. LTD.",https://itunes.apple.com/us/app/id1420058690,19
dspl / ca,1-924089770,"Mobile App: Totally Free-Space Bingo! (iTunes App Store), by Boy Howdy Technology LLC",https://itunes.apple.com/us/app/id924089770,19
