Campaign,Ad_group,Search_term,Network,Impressions,Clicks,Cost,Conversions
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,slip & fall lawyer,SEARCH_PARTNERS,1,1,0.11,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,slip and fall attorneys near me,SEARCH_PARTNERS,2,1,1.83,0.0
search / all injuries / s& n / lp - tilda,18 wheeler Injury,18 wheeler accident lawyer,SEARCH_PARTNERS,9,1,3.06,0.0
search / all injuries / s / lp - tilda,Auto Injury,los angeles car accident lawyer,SEARCH,1,1,15.6,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,attorney for car accident near me,SEARCH_PARTNERS,3,1,2.41,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident law firm near me,SEARCH_PARTNERS,4,1,2.32,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident lawyers near me,SEARCH_PARTNERS,1,1,3.14,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,automobile accident attorney,SEARCH_PARTNERS,4,1,1.69,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident attorneys near me,SEARCH_PARTNERS,10,1,2.29,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,car wreck attorneys near me,SEARCH_PARTNERS,2,1,3.11,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,best accident lawyer near me,SEARCH_PARTNERS,3,1,2.93,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,automobile accident lawyers,SEARCH_PARTNERS,2,1,1.79,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,car wreck attorney near me,SEARCH_PARTNERS,1,1,1.68,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,top rated accident attorney,SEARCH_PARTNERS,1,1,1.59,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,attorney for injuries,SEARCH_PARTNERS,2,1,3.05,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,injury lawyers near me,SEARCH_PARTNERS,1,1,2.11,0.0
search / all injuries / geo - la specific,Auto Injury,crash attorney,SEARCH_PARTNERS,2,1,0.82,0.0
search / all injuries / geo - la specific,Auto Injury,lawyers for accidents,SEARCH_PARTNERS,2,1,1.48,0.0
search / all injuries / geo - la specific,Auto Injury,lawyers for car accidents near me,SEARCH_PARTNERS,1,1,1.77,0.0
search / all injuries / geo - la specific,Auto Injury,truck accident injury lawyer,SEARCH_PARTNERS,1,1,1.39,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler accident lawyer,SEARCH_PARTNERS,7,1,0.79,0.0
search / all injuries / geo - la specific,18 wheeler Injury,best 18 wheeler accident attorney,SEARCH_PARTNERS,1,1,0.72,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer irvine,SEARCH,4,1,24.8,0.0
search / all injuries / geo - la specific,Slip and Fall Injury,best slip and fall lawyers near me,SEARCH_PARTNERS,1,1,0.92,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,attorneys for car accidents,SEARCH_PARTNERS,3,1,0.99,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident attorney,SEARCH_PARTNERS,2,1,1.43,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,attorney for car accidents near me,SEARCH_PARTNERS,3,1,2.2,0.0
search / all injuries / geo - la specific,Auto Injury,best auto accident attorney,SEARCH_PARTNERS,2,1,0.3,0.0
search / all injuries / geo - la specific,Auto Injury,accident injury lawyers near me,SEARCH_PARTNERS,3,1,1.38,0.0
search / all injuries / geo - la specific,Auto Injury,automobile accident attorney,SEARCH_PARTNERS,6,1,0.99,0.0
search / all injuries / geo - la specific,Auto Injury,automobile accident lawyer,SEARCH_PARTNERS,4,1,1.28,0.0
search / all injuries / geo - la specific,Auto Injury,car accident lawyer near me,SEARCH_PARTNERS,1,1,0.68,0.0
search / all injuries / geo - la specific,Car Injury,accident lawyers in my area,SEARCH_PARTNERS,1,1,1.02,0.0
search / all injuries / geo - la specific,Auto Injury,accident claim attorney,SEARCH_PARTNERS,6,1,1.72,0.0
search / all injuries / geo - la specific,Car Injury,truck accident attorney near me,SEARCH_PARTNERS,1,1,1.19,0.0
search / all injuries / geo - la specific,Car Injury,lawyers for car accidents near me,SEARCH_PARTNERS,6,1,1.48,0.0
search / all injuries / geo - la specific,Auto Injury,accident injury attorney,SEARCH_PARTNERS,1,1,1.39,0.0
search / all injuries / geo - la specific,Car Injury,accident attorney free consultation,SEARCH_PARTNERS,1,1,1.07,0.0
search / all injuries / geo - la specific,Car Injury,accident claim attorney,SEARCH_PARTNERS,1,1,1.72,0.0
search / all injuries / geo - la specific,Car Injury,accident injury lawyer,SEARCH_PARTNERS,1,1,1.35,0.0
search / all injuries / s& n / lp - tilda,Car Injury,best accident lawyer near me,SEARCH_PARTNERS,1,1,3.01,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car accident law firm near me,SEARCH_PARTNERS,1,1,2.32,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car crash lawyers near me,SEARCH_PARTNERS,3,1,3.05,0.0
search / all injuries / s& n / lp - tilda,Car Injury,best accident injury lawyers near me,SEARCH_PARTNERS,3,1,2.62,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident lawyers near me,SEARCH_PARTNERS,3,1,2.47,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident lawyers,SEARCH_PARTNERS,1,1,1.1,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident lawyer near me,SEARCH_PARTNERS,6,1,2.23,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer irvine,SEARCH,16,1,23.08,0.0
search / all injuries / s / lp - tilda,Auto Injury,california accident firm,SEARCH,4,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident attorney irvine,SEARCH,3,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer,SEARCH,5,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer beverly hills,SEARCH,25,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer chicago il,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer laguna hills,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer laguna niguel,SEARCH,9,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer modesto ca,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer oceanside,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer pomona,SEARCH,3,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyer san marcos,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,car accident lawyers los angeles,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,cpk law,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,free consultation car accident lawyer near me,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,garrick mcfadden,SEARCH,5,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Car Injury,best accident attorney near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Car Injury,best auto accident lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car accidents lawyers,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,bhl accident lawyers,SEARCH,4,0,0.0,0.0
search / all injuries / kw -  la specific,Truck Injury LA,truck accident attorney los angeles,SEARCH,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,law offices of homa molayem,SEARCH,2,0,0.0,0.0
search / all injuries / kw -  la specific,Pedestrian Injury LA,pedestrian accident lawyer los angeles,SEARCH,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,accident attorney,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,accident lawyer nashville,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,accident lawyers,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,attorney for car accident near me,SEARCH_PARTNERS,4,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,attorneys for car accidents,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,auto accident attorneys near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,auto accident law firm near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,auto accident lawyer irvine ca,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,auto accident lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,best accident attorneys near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,best auto accident lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,best lawyer for 18 wheeler accident,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,best lawyers for car accidents near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car accident lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car accidents attorney,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car crash injury lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car crash legal help,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car wreck lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,car wreck lawyer colorado,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,crash attorney,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,crash lawyer chicago,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,law by mike car accident,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,lawyer car accident,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,pedestrian hit by car attorney,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Car Injury,sacramento car accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident attorney near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident attorneys near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident car lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident injury lawyer near me,SEARCH_PARTNERS,5,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident injury lawyers,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident law firm,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident lawyer consultation,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident lawyer orange county ca,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,accident solicitors near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,atlanta car accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident attorney fees,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident attorney houston,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident attorney near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident attorney phoenix dimopoulos,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident attorneys near me,SEARCH_PARTNERS,3,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident law firm near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident lawyer irvine,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto accident lawyer near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto collision attorney near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,auto injury lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer pomona,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer san marcos,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyers,SEARCH,5,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,cassisi & cassisi p c,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,defense attorney for car accident,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,gordon levinson attorney,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,how much do car accident lawyers charge,SEARCH,3,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,insider accident lawyers,SEARCH,5,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,reasons to get a lawyer after car accident,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,santini personal injury & car accident law,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,sebastian gibson law,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,tarzana car accident lawyer,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,tim mcdonough attorney,SEARCH,1,0,0.0,0.0
search / all injuries / kw -  la specific,Car Injury LA,alan daneshrad,SEARCH,2,0,0.0,0.0
search / all injuries / kw -  la specific,Car Injury LA,compass law group los angeles,SEARCH,2,0,0.0,0.0
search / all injuries / kw -  la specific,Car Injury LA,mcgee lerer ogrin,SEARCH,2,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,automobile accident lawyers,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,best accident attorneys near me,SEARCH_PARTNERS,3,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,best accident lawyer near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,best auto accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,best car accident lawyer near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car accident injury lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car accident lawyer atlanta,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car accident lawyer los angeles,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car accident lawyer orlando,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car crash lawyer near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car crash lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car injury lawyer near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car wreck attorney near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,car wreck lawyer near me,SEARCH_PARTNERS,3,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,irvine auto accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,irvine car accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,komie and morrow,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,lawyer accident,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,lawyer car accident,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Auto Injury,lawyer for car accidents,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Motorcycle Injury,motorcycle crash lawyer,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / geo - la specific,Truck Injury,truck accident attorney near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler accident attorney houston,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler accident attorneys,SEARCH_PARTNERS,10,0,0.0,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler accident lawyers,SEARCH_PARTNERS,12,0,0.0,0.0
search / all injuries / geo - la specific,18 wheeler Injury,best lawyer for 18 wheeler accident,SEARCH_PARTNERS,5,0,0.0,0.0
search / all injuries / geo - la specific,18 wheeler Injury,commercial trucking accident attorney,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Bicycle Injury,bicycle accident lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Slip and Fall Injury,slip and fall lawyer indianapolis,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Slip and Fall Injury,slip and fall lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / geo - la specific,Slip and Fall Injury,slip fall lawyer,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,18 wheeler accident attorneys,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,18 wheeler accident lawyers,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,accident lawyer philly,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,slip and fall settlements with surgery,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Truck Injury,pasadena truck accident lawyer,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Truck Injury,truck accident attorney los angeles,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Truck Injury,truck accident attorney los angeles ca,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Truck Injury,truck accident lawyer,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,bhl accident lawyers,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,california accident firm apc,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident attorney,SEARCH,4,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident attorney irvine,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident attorney st louis mo,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident attorneys,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer beverly hills,SEARCH,12,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer laguna hills,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Car Injury,car accident lawyer near me,SEARCH,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,accident lawyers near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident attorney near me,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident attorneys,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,auto accident law firm,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,best accident injury lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,best auto accident lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,car wreck attorney,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,car wreck attorneys,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,motorcycle accident lawyer,SEARCH_PARTNERS,2,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,truck accident legal help,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,accident injury lawyers near me,SEARCH_PARTNERS,1,0,0.0,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,lawyer personal injury,SEARCH_PARTNERS,3,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,sweetjames law,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,the ultimate law firm,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,tim mcdonough attorney,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,tork law irvine,SEARCH,4,0,0.0,0.0
search / all injuries / s / lp - tilda,Auto Injury,tx truck accident attorney,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Bus Injury,bus accident attorney,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Bus Injury,bus accident attorney los angeles,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Motorcycle Injury,anaheim bicycle accident attorney,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Motorcycle Injury,motorcycle accident lawyer oklahoma,SEARCH,6,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,how long do slip and fall cases take to settle,SEARCH,3,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,los angeles slip and fall lawyer,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,million dollar slip and fall settlements,SEARCH,2,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,personal injury lawyers,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,slip and fall accident lawyer los angeles,SEARCH,1,0,0.0,0.0
search / all injuries / s / lp - tilda,Slip and Fall Injury,slip and fall cases,SEARCH,1,0,0.0,0.0
