Date,TrafficSource,Source,UTM Campaign,UTM Content,Goal_name,Goal_visits
2026-06-15,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-06-15,Переходы по рекламе,YaDirect,поиск / егэ+огэ / цел_гео_90292772_search,rb|cid_90292772|src_search|gid_5236604832|aid_172349825670|kw_Курсы ОГЭ в Митино|kwid_45919524281|plc_none|dev_mobile|geo_Отрадное|geoid_119406|audid_45919524281|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-17,Переходы по рекламе,YaDirect,cid|91392732|search,rb|cid|91392732|search|gid|5247514384|aid|170429040220|kw|Курсы ЕГЭ оффлайн|kw_id|46132984230|placement|none|device|mobile|geo|Москва|geo_id|213|aud_id|46132984230|block|premium|position|1,Общая (с 11.10.21),1
2026-06-17,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_170429040220|kw_Курсы по подготовке к ЕГЭ по физике очно|kwid_52908522368|plc_none|dev_desktop|geo_Москва|geoid_213|audid_52908522368|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-17,Переходы по рекламе,YaDirect,поиск / егэ+огэ / сем: мск + округи_111494415_search,rb|cid_111494415|src_search|gid_5453364176|aid_172350730330|kw_Курсы ОГЭ Москва|kwid_52012360282|plc_yandex.ru|dev_mobile|geo_Балашиха|geoid_10716|audid_52012360282|block_other|pos_1,Общая (с 11.10.21),1
2026-06-18,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514394|aid_170429040230|kw_Офлайн курсы для подготовки к ОГЭ|kwid_52908522382|plc_none|dev_mobile|geo_Москва|geoid_213|audid_52908522382|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-19,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-06-22,Переходы по рекламе,YaDirect,поиск / егэ+огэ / сем: мск + округи_111494415_search,rb|cid_111494415|src_search|gid_5453364176|aid_172350730330|kw_Курсы ОГЭ Москва|kwid_52012360282|plc_none|dev_desktop|geo_Демидовское сельское поселение|geoid_162556|audid_52012360282|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-25,Переходы по рекламе,YaDirect,мк / егэ / набор 26 / 2606-1_710926114_search,rb|mk|cid_710926114|src_search|gid_5764045878|aid_19135447379639555070|kw_---autotargeting|kwid_205764045878|plc_none|dev_desktop|geo_Москва|geoid_213|audid_205764045878|block_premium|pos_3,Общая (с 11.10.21),1
2026-06-29,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_merlin school|kwid_47081600589|plc_com.yandex.browser.alice|dev_tablet|geo_Балашиха|geoid_10716|audid_47081600589|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-29,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_170429040220|kw_Курсы ЕГЭ очно Москва|kwid_52908522365|plc_none|dev_mobile|geo_Краснодар|geoid_35|audid_52908522365|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-29,Переходы по рекламе,YaDirect,поиск / егэ+огэ / цел_гео_90292772_search,rb|cid_90292772|src_search|gid_5236604831|aid_172349825660|kw_Подготовка к ЕГЭ в Раменках|kwid_45919524259|plc_none|dev_mobile|geo_Москва|geoid_213|audid_45919524259|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-30,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-06-30,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_курсы мерлин|kwid_40316073735|plc_none|dev_desktop|geo_Москва|geoid_213|audid_40316073735|block_premium|pos_1,Общая (с 11.10.21),1
2026-07-06,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_мерлин школа|kwid_40316073737|plc_none|dev_desktop|geo_Москва|geoid_213|audid_40316073737|block_premium|pos_1,Общая (с 11.10.21),1
2026-07-07,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-07-08,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_172349931270|kw_Оффлайн подготовка к ЕГЭ|kwid_46132984233|plc_none|dev_mobile|geo_Москва|geoid_213|audid_46132984233|block_premium|pos_1,Общая (с 11.10.21),1
2026-07-09,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_172349931270|kw_|kwid_52856850440|plc_yandex.ru|dev_mobile|geo_Москва|geoid_213|audid_52856850440|block_dynamic_places|pos_1,Общая (с 11.10.21),1
