"Дата визита","Источник трафика","Источник трафика (детально)","Кампания Яндекс Директа","UTM Campaign","Достигнутая цель","Визиты"
"2026-07-02","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 3 ( N-710870578 )","ege-merlin.ru от 20.05.26 — 3_710870578_search","Общая (с 11.10.21)","1"
"2026-07-02","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-03","Переходы по рекламе","Яндекс.Директ: Не определено","Не определено","ege-merlin.ru от 20.05.26 — 3_710870578_context","Общая (с 11.10.21)","1"
"2026-07-04","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-06","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-06","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-06","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-07-07","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-07","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","Не определено","Общая (с 11.10.21)","1"
"2026-07-07","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-07-08","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Общая (с 11.10.21)","1"
"2026-07-08","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-07-09","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-09","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-09","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-16","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_context","Общая (с 11.10.21)","1"
