"Дата визита","Источник трафика","Источник трафика (детально)","Кампания Яндекс Директа","UTM Campaign","Достигнутая цель","Визиты"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_10","26"
"2026-07-15","Прямые заходы","Не определено","Не определено","Не определено","Визит","26"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","60 сек","25"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_50","25"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","60 сек","25"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","90 сек","25"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","60 сек","24"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_25","24"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 2 стр.","24"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","30 сек","23"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_25","23"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_50","23"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 2 стр.","23"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","[!] Просмотр более 1 стр.","23"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Просмотр 2-х стр.","23"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Визит","22"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_50","22"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","90 сек","22"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_10","21"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","60 сек","21"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_25","21"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","[!] Просмотр более 2 стр.","21"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","90 сек","20"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_25","20"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","90 сек","20"
"2026-07-14","Прямые заходы","Не определено","Не определено","Не определено","scroll_10","20"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","scroll_10","20"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 2 стр.","19"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","120 сек","19"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","60 сек","19"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","120 сек","18"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","30 сек","18"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_50","18"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_50","18"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Визит","18"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","120 сек","18"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 2 стр.","18"
"2026-07-11","Прямые заходы","Не определено","Не определено","Не определено","Не определено","17"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_90","17"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","60 сек","17"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","30 сек","17"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_50","17"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","[!] Просмотр более 2 стр.","17"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","scroll_10","16"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_50","16"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","30 сек","16"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","[!] Просмотр более 1 стр.","16"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Просмотр 2-х стр.","16"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Визит","16"
"2026-07-11","Прямые заходы","Не определено","Не определено","Не определено","scroll_10","15"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","120 сек","15"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","15"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","30 сек","15"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_90","15"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","90 сек","15"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","scroll_10","15"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_25","14"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","90 сек","14"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","120 сек","14"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","[!] Просмотр более 1 стр.","14"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Просмотр 2-х стр.","14"
"2026-07-15","Прямые заходы","Не определено","Не определено","Не определено","scroll_10","14"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","90 сек","14"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Не определено","13"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","60 сек","13"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","scroll_25","13"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","60 сек","13"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","60 сек","13"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","90 сек","13"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_50","12"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","90 сек","12"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","90 сек","12"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","scroll_10","12"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","60 сек","12"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","30 сек","11"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","[!] Просмотр более 2 стр.","11"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","120 сек","11"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_90","11"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","scroll_10","11"
"2026-07-15","Прямые заходы","Не определено","Не определено","Не определено","Не определено","11"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","120 сек","11"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_90","10"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","30 сек","10"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Не определено","10"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_90","10"
"2026-07-14","Прямые заходы","Не определено","Не определено","Не определено","Не определено","10"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","120 сек","9"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","9"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","120 сек","9"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Визит","9"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Не определено","9"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_90","9"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","scroll_25","9"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_90","9"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","60 сек","8"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","90 сек","8"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 1 стр.","8"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Просмотр 2-х стр.","8"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 1 стр.","8"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","Просмотр 2-х стр.","8"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","Не определено","8"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","90 сек","8"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Не определено","8"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","90 сек","8"
"2026-07-11","Прямые заходы","Не определено","Не определено","Не определено","30 сек","7"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 1 стр.","7"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_90","7"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Просмотр 2-х стр.","7"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","scroll_25","7"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_90","7"
"2026-07-12","Переходы по рекламе","Avito Ads","Не определено","749305090","Не определено","7"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 1 стр.","7"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","Просмотр 2-х стр.","7"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","7"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","7"
"2026-07-14","Прямые заходы","Не определено","Не определено","Не определено","scroll_25","7"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","120 сек","7"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","[!] Просмотр более 2 стр.","7"
"2026-07-15","Прямые заходы","Не определено","Не определено","Не определено","ОГЭ - ""История""","7"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","120 сек","7"
"2026-07-11","Переходы по рекламе","Яндекс.Директ: Не определено","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","6"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","Не определено","6"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 2 стр.","6"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 2 стр.","6"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","scroll_50","6"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 1 стр.","6"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_90","6"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Просмотр 2-х стр.","6"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","30 сек","6"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_10","6"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_10","6"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_25","6"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Визит","6"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","120 сек","6"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Не определено","6"
"2026-07-15","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","6"
"2026-07-11","Прямые заходы","Не определено","Не определено","Не определено","scroll_25","5"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","Не определено","5"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","5"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","60 сек","5"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","90 сек","5"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Не определено","5"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Визит","5"
"2026-07-14","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","scroll_25","5"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_50","5"
"2026-07-15","Прямые заходы","Не определено","Не определено","Не определено","scroll_25","5"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","120 сек","4"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","30 сек","4"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Визит","4"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Визит","4"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","scroll_10","4"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Визит","4"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","ОГЭ - ""История""","4"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","30 сек","4"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","Не определено","4"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","120 сек","4"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","Не определено","4"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 2 стр.","4"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_10","4"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_25","4"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_25","4"
"2026-07-13","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_50","4"
"2026-07-14","Прямые заходы","Не определено","Не определено","Не определено","30 сек","4"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","Автоцель: отправка формы","4"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","Визит","4"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","30 сек","4"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","60 сек","4"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","scroll_90","4"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","4"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","scroll_25","4"
"2026-07-15","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_10","4"
"2026-07-15","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_25","4"
"2026-07-15","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Визит","4"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","scroll_25","4"
"2026-07-11","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Не определено","3"
"2026-07-11","Переходы по рекламе","Avito Ads","Не определено","749305090","Не определено","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","60 сек","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","Не определено","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_10","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Не определено","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","[!] Просмотр более 1 стр.","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_10","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_25","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Просмотр 2-х стр.","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","[!] Просмотр более 1 стр.","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","30 сек","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","60 сек","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","90 сек","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_10","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_25","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_50","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Визит","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Просмотр 2-х стр.","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","scroll_25","3"
"2026-07-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","scroll_50","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_10","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","scroll_25","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Визит","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","[!] Просмотр более 1 стр.","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","30 сек","3"
"2026-07-12","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","scroll_10","3"
