campaign,date,term,impressions,clicks,cost,conversions,conv_value
shop1 /search,2026-02-24,4iq,1,0,0.0,0.0,0.0
shop1 /search,2026-05-19,4iq,1,0,0.0,0.0,0.0
shop1 /search,2026-03-07,4iq group,1,0,0.0,0.0,0.0
shop1 /search,2026-04-25,4iq group,1,0,0.0,0.0,0.0
shop1 /search,2026-05-17,4iq group sp z o o,1,0,0.0,0.0,0.0
shop1 /search,2026-03-08,4x6 greenhouse polycarbonate,1,0,0.0,0.0,0.0
shop2 / search,2026-03-28,4x6m,3,0,0.0,0.0,0.0
shop2 / search,2026-03-31,4x8m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-02,5 layer polycarbonate panels,2,0,0.0,0.0,0.0
shop_search,2026-09-06,5 metre hazır sera fiyatları,1,0,0.0,0.0,0.0
shop1 /search,2026-01-03,5902659144027,1,0,0.0,0.0,0.0
shop1 /search,2026-01-29,5902659144027,1,0,0.0,0.0,0.0
shop1 /search,2026-01-30,5902659144027,3,0,0.0,0.0,0.0
shop1 /search,2026-02-11,5902659144027,5,0,0.0,0.0,0.0
shop1 /search,2026-02-20,5902659144027,2,0,0.0,0.0,0.0
shop1 /search,2026-03-18,5902659144027,1,0,0.0,0.0,0.0
shop1 /search,2026-05-16,5902659144027,2,0,0.0,0.0,0.0
shop1 /search,2026-05-18,5902659144027,1,0,0.0,0.0,0.0
shop1 /search,2026-01-22,5902659144034,2,0,0.0,0.0,0.0
shop1 /search,2026-01-26,5902659144034,1,0,0.0,0.0,0.0
shop1 /search,2026-01-29,5902659144034,2,0,0.0,0.0,0.0
shop1 /search,2026-02-11,5902659144034,3,0,0.0,0.0,0.0
shop1 /search,2026-02-12,5902659144034,4,0,0.0,0.0,0.0
shop2 / search,2026-02-13,5902659144034,1,0,0.0,0.0,0.0
shop2 / search,2026-02-16,5902659144034,1,0,0.0,0.0,0.0
shop1 /search,2026-02-18,5902659144034,1,0,0.0,0.0,0.0
shop1 /search,2026-05-04,5902659144034,3,0,0.0,0.0,0.0
shop1 /search,2026-05-18,5902659144034,1,0,0.0,0.0,0.0
shop1 /search,2026-05-23,5902659144034,1,0,0.0,0.0,0.0
shop1 /search,2026-01-19,5902659145673,1,0,0.0,0.0,0.0
shop1 /search,2026-01-27,5902659145673,1,0,0.0,0.0,0.0
shop1 /search,2026-04-14,5902659145673,1,0,0.0,0.0,0.0
shop2 / search,2026-04-15,6 x 3 m,1,0,0.0,0.0,0.0
shop2 / search,2026-02-25,6x3m,1,0,0.0,0.0,0.0
shop2 / search,2026-03-06,6x3m,1,0,0.0,0.0,0.0
shop2 / search,2026-03-16,6x3m,1,0,0.0,0.0,0.0
shop2 / search,2026-03-03,6x3x2 5,1,0,0.0,0.0,0.0
shop2 / search,2026-02-17,6x4 greenhouse,1,0,0.0,0.0,0.0
shop1 /search,2026-01-27,6x7 greenhouse,3,0,0.0,0.0,0.0
shop2 / search,2026-03-18,8 kantet drivhus,1,0,0.0,0.0,0.0
shop1 /search,2026-04-17,8 kantet drivhus,1,0,0.0,0.0,0.0
shop2 / search,2026-03-18,8x4 greenhouse,1,0,0.0,0.0,0.0
shop2 / search,2026-03-02,915018,1,0,0.0,0.0,0.0
shop2 / search,2026-03-31,999 md sere la comanda,2,0,0.0,0.0,0.0
shop1 /search,2026-01-30,999 md поликарбонат,1,0,0.0,0.0,0.0
shop2 / search,2026-03-19,a greenhouse,1,0,0.0,0.0,0.0
shop2 / search,2026-05-05,a greenhouse,2,0,0.0,0.0,0.0
shop2 / search,2026-05-26,a polytunnel,2,0,0.0,0.0,0.0
shop1 /search,2026-04-22,acd gewächshaus,2,0,0.0,0.0,0.0
shop2 / search,2026-02-20,acd greenhouse,1,0,0.0,0.0,0.0
shop2 / search,2026-05-12,acrylic greenhouse,1,0,0.0,0.0,0.0
shop_search,2026-09-17,action doniczki duże,1,0,0.0,0.0,0.0
shop_search,2026-09-18,action szklarnia,1,0,0.0,0.0,0.0
shop_search,2026-09-19,action szklarnia na nogach,2,0,0.0,0.0,0.0
shop1 /search,2026-01-07,adkor wszystko dla domu i ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-01-19,adkor wszystko dla domu i ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-01-21,adkor wszystko dla domu i ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-01-23,adkor wszystko dla domu i ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-01-28,adkor wszystko dla domu i ogrodu,2,0,0.0,0.0,0.0
shop1 /search,2026-02-03,adkor wszystko dla domu i ogrodu,2,0,0.0,0.0,0.0
shop1 /search,2026-02-06,adkor wszystko dla domu i ogrodu,2,0,0.0,0.0,0.0
shop1 /search,2026-02-05,agata ogród,1,0,0.0,0.0,0.0
shop1 /search,2026-04-26,agra tech,1,0,0.0,0.0,0.0
shop2 / search,2026-03-31,agricultural greenhouse,1,0,0.0,0.0,0.0
shop2 / search,2026-03-08,agriculture tunnel,1,0,0.0,0.0,0.0
shop1 /search,2026-01-19,agrinker,3,0,0.0,0.0,0.0
shop1 /search,2026-01-27,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-02-24,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-02-28,agrinker,2,0,0.0,0.0,0.0
shop1 /search,2026-03-03,agrinker,2,0,0.0,0.0,0.0
shop1 /search,2026-03-10,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-03-11,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-03-12,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-03-16,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-03-17,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-03-20,agrinker,3,0,0.0,0.0,0.0
shop1 /search,2026-03-26,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-04-25,agrinker,1,0,0.0,0.0,0.0
shop1 /search,2026-05-04,agrinker,2,0,0.0,0.0,0.0
shop1 /search,2026-01-21,agrinker producent,1,0,0.0,0.0,0.0
shop1 /search,2026-01-30,agrinker producent,1,0,0.0,0.0,0.0
shop1 /search,2026-02-12,agrinker producent,2,0,0.0,0.0,0.0
shop1 /search,2026-03-03,agrinker producent,2,0,0.0,0.0,0.0
shop2 / search,2026-02-24,agrinker szklarnia,2,0,0.0,0.0,0.0
shop2 / search,2026-02-28,agrinker szklarnia,2,0,0.0,0.0,0.0
shop2 / search,2026-03-05,agrinker szklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-03-06,agrinker szklarnia,3,0,0.0,0.0,0.0
shop1 /search,2026-03-08,agrinker szklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-03-10,agrinker szklarnia,2,0,0.0,0.0,0.0
shop1 /search,2026-03-11,agrinker szklarnia,2,0,0.0,0.0,0.0
shop2 / search,2026-03-11,agrinker szklarnia,3,0,0.0,0.0,0.0
shop2 / search,2026-03-12,agrinker szklarnia,3,0,0.0,0.0,0.0
shop1 /search,2026-03-22,agrinker szklarnia,7,0,0.0,0.0,0.0
shop2 / search,2026-03-23,agrinker szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-24,agrinker szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-04-13,agrinker szklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-04-28,agrinker szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-05-06,agrinker szklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-05-19,agrinker szklarnia,2,0,0.0,0.0,0.0
shop2 / search,2026-05-21,agrinker szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-29,agrinker szklarnie,3,0,0.0,0.0,0.0
shop2 / search,2026-03-29,agrinker szklarnie,3,0,0.0,0.0,0.0
shop2 / search,2026-04-01,agrinker szklarnie,3,0,0.0,0.0,0.0
shop1 /search,2026-04-15,agrinker szklarnie,1,0,0.0,0.0,0.0
shop1 /search,2026-04-21,agrinker szklarnie,1,0,0.0,0.0,0.0
shop2 / search,2026-05-08,agrinker szklarnie,2,0,0.0,0.0,0.0
shop1 /search,2026-05-21,agrinker szklarnie,6,0,0.0,0.0,0.0
shop2 / search,2026-05-21,agrinker szklarnie,1,0,0.0,0.0,0.0
shop1 /search,2026-01-13,agrinker tunel,7,0,0.0,0.0,0.0
shop1 /search,2026-02-11,agrinker tunel,2,0,0.0,0.0,0.0
shop1 /search,2026-03-13,agrinker tunel,1,0,0.0,0.0,0.0
shop1 /search,2026-03-20,agrinker tunel,5,0,0.0,0.0,0.0
shop1 /search,2026-04-16,agrinker tunel,1,0,0.0,0.0,0.0
shop1 /search,2026-04-17,agrinker tunel,2,0,0.0,0.0,0.0
shop1 /search,2026-04-18,agrinker tunel,1,0,0.0,0.0,0.0
shop1 /search,2026-04-23,agrinker tunel,2,0,0.0,0.0,0.0
shop1 /search,2026-05-18,agro ekspert,1,0,0.0,0.0,0.0
shop1 /search,2026-03-30,agro ogrodniczy pl,1,0,0.0,0.0,0.0
shop2 / search,2026-03-30,agro ogrodniczy pl,1,0,0.0,0.0,0.0
shop_search,2026-09-18,agro ogrodniczy pl sklep rolno ogrodniczy,1,0,0.0,0.0,0.0
shop1 /search,2026-04-17,agro ogród,1,0,0.0,0.0,0.0
shop1 /search,2026-04-30,agro ogród,1,0,0.0,0.0,0.0
shop2 / search,2026-02-13,agro sfera,2,0,0.0,0.0,0.0
shop1 /search,2025-12-28,agro sklep,5,0,0.0,0.0,0.0
shop1 /search,2025-12-15,agro sklep pl,2,0,0.0,0.0,0.0
shop_search,2026-09-04,agro sur tunele i bloki foliowe szklarnie i centra ogrodnicze,2,1,0.45,0.0,0.0
shop1 /search,2026-01-26,agro szklarnia,6,0,0.0,0.0,0.0
shop1 /search,2026-01-27,agro szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-28,agro szklarnia,7,0,0.0,0.0,0.0
shop1 /search,2026-02-02,agro szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-02-28,agro szklarnia,6,0,0.0,0.0,0.0
shop1 /search,2026-03-03,agro szklarnia,3,0,0.0,0.0,0.0
shop1 /search,2026-03-12,agro szklarnia,12,0,0.0,0.0,0.0
shop1 /search,2026-03-17,agro szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-04-02,agro szklarnia,5,0,0.0,0.0,0.0
shop1 /search,2026-04-25,agro szklarnia,1,0,0.0,0.0,0.0
shop_search,2026-09-07,agro szklarnia,4,0,0.0,0.0,0.0
shop1 /search,2026-01-26,agro szklarnia pl,10,1,1.04,0.0,0.0
shop1 /search,2026-01-27,agro szklarnia pl,8,1,0.59,0.0,0.0
shop1 /search,2026-02-02,agro szklarnia pl,1,0,0.0,0.0,0.0
shop2 / search,2026-02-16,agro szklarnia pl,2,0,0.0,0.0,0.0
shop1 /search,2026-02-23,agro szklarnia pl,6,0,0.0,0.0,0.0
shop1 /search,2026-02-28,agro szklarnia pl,5,1,0.7,0.0,0.0
shop1 /search,2026-03-03,agro szklarnia pl,7,0,0.0,0.0,0.0
shop1 /search,2026-03-08,agro szklarnia pl,6,0,0.0,0.0,0.0
shop1 /search,2026-03-10,agro szklarnia pl,3,0,0.0,0.0,0.0
shop1 /search,2026-03-16,agro szklarnia pl,7,0,0.0,0.0,0.0
shop1 /search,2026-03-25,agro szklarnia pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-29,agro szklarnia pl,7,0,0.0,0.0,0.0
shop1 /search,2026-04-23,agro szklarnia pl,2,0,0.0,0.0,0.0
shop1 /search,2026-05-19,agro szklarnia pl,1,0,0.0,0.0,0.0
shop_search,2026-09-10,agro szklarnia pl,1,0,0.0,0.0,0.0
shop_search,2026-09-20,agro szklarnia pl,2,0,0.0,0.0,0.0
shop2 / search,2026-02-25,agro szklarnie,1,0,0.0,0.0,0.0
shop1 /search,2026-03-17,agro szklarnie,5,0,0.0,0.0,0.0
shop2 / search,2026-03-17,agro szklarnie,6,0,0.0,0.0,0.0
shop1 /search,2026-03-18,agro szklarnie,4,0,0.0,0.0,0.0
shop2 / search,2026-03-18,agro szklarnie,6,0,0.0,0.0,0.0
shop1 /search,2026-05-15,agro szklarnie,2,0,0.0,0.0,0.0
shop1 /search,2026-02-25,agro tunel,2,0,0.0,0.0,0.0
shop1 /search,2026-03-12,agro tunel,5,0,0.0,0.0,0.0
shop2 / search,2026-03-12,agro tunel,3,0,0.0,0.0,0.0
shop2 / search,2026-05-12,agro tunel,2,0,0.0,0.0,0.0
shop1 /search,2026-02-12,agroas sklep,3,0,0.0,0.0,0.0
shop_search,2026-09-16,agrocentrum kielce sklep internetowy,1,0,0.0,0.0,0.0
shop1 /search,2026-01-26,agrodosfera,1,0,0.0,0.0,0.0
shop2 / search,2026-03-30,agrofolia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-27,agrogarden,1,0,0.0,0.0,0.0
shop1 /search,2026-05-16,agrogobex sp z oo centrum ogrodnicze,12,0,0.0,0.0,0.0
shop1 /search,2026-02-02,agrohit,1,0,0.0,0.0,0.0
shop2 / search,2026-02-16,agrohit,5,0,0.0,0.0,0.0
shop1 /search,2026-05-04,agrohit,1,0,0.0,0.0,0.0
shop1 /search,2026-05-24,agrohit,1,0,0.0,0.0,0.0
shop1 /search,2026-01-13,agrohit elit,1,0,0.0,0.0,0.0
shop2 / search,2026-02-24,agrohit plus,2,0,0.0,0.0,0.0
shop2 / search,2026-03-04,agrohit szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-26,agrohit szklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-03-26,agrohit szklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-19,agrol sklep,3,0,0.0,0.0,0.0
shop1 /search,2026-02-18,agrol sklep,1,0,0.0,0.0,0.0
shop2 / search,2026-02-20,agrol sklep pl,3,0,0.0,0.0,0.0
shop2 / search,2026-03-12,agroland sklep ogrodniczy,1,0,0.0,0.0,0.0
shop2 / search,2026-02-24,agrolsklep pl,1,0,0.0,0.0,0.0
shop2 / search,2026-05-21,agromarket sklep rolno ogrodniczy,1,0,0.0,0.0,0.0
shop2 / search,2026-05-26,agromarket sklep rolno ogrodniczy,2,0,0.0,0.0,0.0
shop2 / search,2026-03-23,agropataki,1,0,0.0,0.0,0.0
shop2 / search,2026-03-04,agropol sklep,1,0,0.0,0.0,0.0
shop1 /search,2026-01-10,agrosfera,2,0,0.0,0.0,0.0
shop1 /search,2026-01-16,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-01-20,agrosfera,5,0,0.0,0.0,0.0
shop1 /search,2026-01-22,agrosfera,3,0,0.0,0.0,0.0
shop1 /search,2026-01-30,agrosfera,2,0,0.0,0.0,0.0
shop1 /search,2026-02-03,agrosfera,3,0,0.0,0.0,0.0
shop1 /search,2026-02-04,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-02-09,agrosfera,2,0,0.0,0.0,0.0
shop1 /search,2026-02-24,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-02-25,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-02-26,agrosfera,10,0,0.0,0.0,0.0
shop1 /search,2026-02-28,agrosfera,3,1,1.74,0.0,0.0
shop1 /search,2026-03-14,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-03-17,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-03-20,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-03-22,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-03-31,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-04-07,agrosfera,3,0,0.0,0.0,0.0
shop1 /search,2026-04-13,agrosfera,2,0,0.0,0.0,0.0
shop1 /search,2026-04-21,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-05-05,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-05-06,agrosfera,1,0,0.0,0.0,0.0
shop1 /search,2026-01-07,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-01-14,agrosfera pl,2,0,0.0,0.0,0.0
shop1 /search,2026-01-23,agrosfera pl,2,0,0.0,0.0,0.0
shop1 /search,2026-01-26,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-01-29,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-02-11,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-12,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-28,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-04-14,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-04-18,agrosfera pl,2,0,0.0,0.0,0.0
shop1 /search,2026-04-21,agrosfera pl,2,0,0.0,0.0,0.0
shop1 /search,2026-05-04,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-05-05,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-05-14,agrosfera pl,3,0,0.0,0.0,0.0
shop1 /search,2026-05-22,agrosfera pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-17,agrosfera szklarnie,1,0,0.0,0.0,0.0
shop1 /search,2026-03-16,agrosfera szklarnię,4,0,0.0,0.0,0.0
shop2 / search,2026-03-16,agrosfera szklarnię,2,0,0.0,0.0,0.0
shop2 / search,2026-03-11,agrosimex,1,0,0.0,0.0,0.0
shop_search,2026-09-21,agrosimex sompolno,2,0,0.0,0.0,0.0
shop1 /search,2025-12-15,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2025-12-30,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2026-01-08,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2026-01-12,agrosklep,5,0,0.0,0.0,0.0
shop1 /search,2026-01-23,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-01-27,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-01-30,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-02-09,agrosklep,1,0,0.0,0.0,0.0
shop2 / search,2026-02-16,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-02-27,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-03-04,agrosklep,4,0,0.0,0.0,0.0
shop1 /search,2026-03-05,agrosklep,6,0,0.0,0.0,0.0
shop1 /search,2026-03-06,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-03-16,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-03-18,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2026-03-20,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-03-26,agrosklep,5,0,0.0,0.0,0.0
shop1 /search,2026-03-29,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-04-13,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-04-21,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-05-04,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2026-05-05,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-05-14,agrosklep,2,0,0.0,0.0,0.0
shop1 /search,2026-05-15,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2026-05-16,agrosklep,1,0,0.0,0.0,0.0
shop1 /search,2025-12-30,agrosklep pl,3,0,0.0,0.0,0.0
shop1 /search,2026-01-02,agrosklep pl,7,0,0.0,0.0,0.0
shop1 /search,2026-01-10,agrosklep pl,4,0,0.0,0.0,0.0
shop1 /search,2026-01-15,agrosklep pl,3,0,0.0,0.0,0.0
shop1 /search,2026-01-28,agrosklep pl,1,0,0.0,0.0,0.0
shop2 / search,2026-02-12,agrosklep pl,2,0,0.0,0.0,0.0
shop1 /search,2026-02-19,agrosklep pl,1,0,0.0,0.0,0.0
shop1 /search,2026-02-27,agrosklep pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-27,agrosklep pl,6,0,0.0,0.0,0.0
shop1 /search,2026-01-10,agrosklep szklarnia,2,0,0.0,0.0,0.0
shop1 /search,2026-05-21,agrosklep szklarnia,2,0,0.0,0.0,0.0
shop1 /search,2026-02-09,agrosklep szklarnie,6,0,0.0,0.0,0.0
shop1 /search,2026-02-25,agrosklep szklarnie,1,0,0.0,0.0,0.0
shop2 / search,2026-02-26,agrosklep szklarnie ogrodowe,2,0,0.0,0.0,0.0
shop1 /search,2026-02-24,agrosklep24,1,0,0.0,0.0,0.0
shop1 /search,2026-03-04,agrosklep24,2,0,0.0,0.0,0.0
shop2 / search,2026-03-04,agrosklep24,1,0,0.0,0.0,0.0
shop2 / search,2026-03-11,agrosklep24,1,0,0.0,0.0,0.0
shop1 /search,2026-03-06,agroskład sklep internetowy,1,0,0.0,0.0,0.0
shop2 / search,2026-03-25,agrostar,1,0,0.0,0.0,0.0
shop1 /search,2026-01-15,agrostar szklarnie,1,0,0.0,0.0,0.0
shop1 /search,2026-04-14,agrostar szklarnie,18,0,0.0,0.0,0.0
shop1 /search,2026-05-17,agrosur,3,0,0.0,0.0,0.0
shop_search,2026-09-19,agrosur,4,0,0.0,0.0,0.0
shop1 /search,2025-12-28,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-07,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-14,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-01-20,agroszklarnia,4,0,0.0,0.0,0.0
shop1 /search,2026-01-26,agroszklarnia,7,0,0.0,0.0,0.0
shop1 /search,2026-02-02,agroszklarnia,4,0,0.0,0.0,0.0
shop2 / search,2026-02-17,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-02-25,agroszklarnia,2,0,0.0,0.0,0.0
shop1 /search,2026-03-03,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-04,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-10,agroszklarnia,3,0,0.0,0.0,0.0
shop1 /search,2026-03-14,agroszklarnia,4,1,0.9,0.0,0.0
shop1 /search,2026-03-17,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-19,agroszklarnia,5,1,1.74,0.0,0.0
shop1 /search,2026-03-23,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-03-25,agroszklarnia,6,0,0.0,0.0,0.0
shop1 /search,2026-04-07,agroszklarnia,3,0,0.0,0.0,0.0
shop1 /search,2026-04-14,agroszklarnia,10,0,0.0,0.0,0.0
shop1 /search,2026-04-21,agroszklarnia,1,0,0.0,0.0,0.0
shop1 /search,2026-04-29,agroszklarnia,2,0,0.0,0.0,0.0
shop1 /search,2026-05-04,agroszklarnia,4,0,0.0,0.0,0.0
shop1 /search,2026-05-14,agroszklarnia,15,2,4.55,0.0,0.0
shop1 /search,2026-05-23,agroszklarnia,5,0,0.0,0.0,0.0
shop1 /search,2026-05-24,agroszklarnia,2,0,0.0,0.0,0.0
shop_search,2026-09-16,agroszklarnia,2,0,0.0,0.0,0.0
shop_search,2026-09-17,agroszklarnia,3,0,0.0,0.0,0.0
shop_search,2026-09-18,agroszklarnia,1,0,0.0,0.0,0.0
shop2 / search,2026-02-16,agroszklarnia pl,1,0,0.0,0.0,0.0
shop1 /search,2026-02-20,agroszklarnia pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-13,agroszklarnia pl,1,0,0.0,0.0,0.0
shop1 /search,2026-03-22,agroszklarnia pl,2,0,0.0,0.0,0.0
shop1 /search,2026-05-22,agroszklarnia pl,2,0,0.0,0.0,0.0
shop2 / search,2026-02-24,agrotech sklep,1,0,0.0,0.0,0.0
shop2 / search,2026-03-18,agrotop sklepy ogrodnicze,1,0,0.0,0.0,0.0
shop1 /search,2025-12-28,agrotunel pl,1,0,0.0,0.0,0.0
shop2 / search,2026-05-12,agrowłóknina biała zimowa,1,0,0.0,0.0,0.0
shop2 / search,2026-02-26,agrowłóknina leroy,1,0,0.0,0.0,0.0
shop2 / search,2026-03-02,agrowłóknina leroy,1,0,0.0,0.0,0.0
shop1 /search,2026-04-02,agrowłóknina pod pomidory,1,0,0.0,0.0,0.0
shop2 / search,2026-03-31,agrozam,3,0,0.0,0.0,0.0
shop1 /search,2026-01-14,akces poliwęglan,2,0,0.0,0.0,0.0
shop_search,2026-09-07,akcesoria do folii ogrodowej,2,0,0.0,0.0,0.0
shop_search,2026-09-13,akcesoria do montażu poliwęglanu komorowego,1,0,0.0,0.0,0.0
shop1 /search,2026-03-03,akcesoria do namiotów ogrodowych,1,0,0.0,0.0,0.0
shop1 /search,2026-04-16,akcesoria do namiotów ogrodowych,1,0,0.0,0.0,0.0
shop1 /search,2026-01-26,akcesoria do ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-02-18,akcesoria do ogrodu,1,0,0.0,0.0,0.0
shop1 /search,2026-03-12,akcesoria do ogrodu,5,0,0.0,0.0,0.0
