Дата визита,UTM Campaign,Пол,Возраст,Визиты
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,15
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-06-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,младше 18 лет,1
2023-06-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-06-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,55 лет и старше,1
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-07-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,19
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,18
2023-07-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,17
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,14
2023-07-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2023-08-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2023-07-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,12
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,12
2023-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,12
2023-08-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-09-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-09-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2023-09-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2023-07-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-07-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-08-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,9
2023-09-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-07-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-08-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,8
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,7
2023-09-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,7
2023-09-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-08-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-08-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-09-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-09-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-09-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-09-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-07-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-07-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,5
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,5
2023-08-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,5
2023-08-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-08-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-07-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-07-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-07-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-08-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-08-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,4
2023-08-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-08-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-09-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2023-09-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-09-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2023-09-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-07-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-07-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2023-08-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2023-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2023-08-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-08-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-08-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-09-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-09-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-07-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-07-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-07-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-07-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-07-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2023-07-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2023-07-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2023-08-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2023-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,2
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-08-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-08-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2023-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-09-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,2
2023-09-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-09-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-09-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-07-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-07-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-07-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-07-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-07-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,младше 18 лет,1
2023-07-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-07-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-07-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-08-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,младше 18 лет,1
2023-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-08-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,1
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,25‑34 года,1
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,1
2023-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,младше 18 лет,1
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,1
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-08-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-08-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-08-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,55 лет и старше,1
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,35‑44 года,1
2023-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,1
2023-08-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-08-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-09-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-09-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-09-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-09-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-09-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-09-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-09-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2023-09-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2023-10-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,14
2023-11-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2023-11-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2023-12-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2023-12-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-12-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-12-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2023-10-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-12-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-12-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-12-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-12-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-12-29,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,9
2023-10-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-12-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-12-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-12-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-12-30,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,8
2023-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-10-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-11-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-11-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-12-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-12-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,7
2023-12-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-12-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-12-31,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,7
2023-10-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,6
2023-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-12-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,6
2023-12-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-12-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-12-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2023-12-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,6
2023-12-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-12-28,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,6
2023-12-29,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,35‑44 года,6
2023-12-30,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,6
2023-12-31,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,6
2023-12-31,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,6
2023-11-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-11-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,5
2023-12-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,5
2023-12-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,5
2023-12-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-12-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-12-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-12-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,5
2023-12-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,5
2023-12-29,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,5
