Дата визита,UTM Campaign,Город,Достигнутая цель,Визиты
2023-11-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Хабаровск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Набережные Челны,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Хабаровск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Чита,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Аксай,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Всеволожск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Красноярск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Минеральные Воды,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-24,Промостатья: Моя история 2 | Цена перехода | 25-54,Керчь,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-30,Промостатья: Моя история 2 | Цена перехода | 25-54,Владимир,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-03-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-01-03,Промостатья: Моя история 2 | Цена перехода | 25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-04,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-11,Промостатья: Моя история 2 | Цена перехода | 25-54,Старый Оскол,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Донской,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Смоленск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Раменское,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Азов,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Курск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новокузнецк,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Самара,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Саратов,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Челябинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Самара,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Красноярск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Березники,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Темрюк,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Челябинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Липецк,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Благовещенск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Волгоград,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Тюмень,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Екатеринбург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Тюмень,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Оренбург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Старый Оскол,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Красноярск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Курск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Екатеринбург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-04-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Минск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Хабаровск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Воронеж,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Великий Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Липецк,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Омск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-06,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Киров,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Рязань,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,Чита,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,Курск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-19,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Майкоп,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-21,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,Туапсе,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Самара,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Владивосток,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Казань,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Хабаровск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Константиновск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-15,Статья: Цифры и факты / Интересы: франшиза,Севастополь,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Владивосток,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Карасук,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Мурманск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-28,Статья: Цифры и факты / Интересы: франшиза,Находка,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Краснодар,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Красноярск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ижевск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Пенза,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Раменское,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Самара,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-10-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-10-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ростов-на-Дону,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-09,Статья: Цифры и факты / Интересы: франшиза,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-17,Статья: Цифры и факты / Интересы: открытие бизнеса,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Челябинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-23,Статья: Цифры и факты / Интересы: франшиза,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-24,Статья: Цифры и факты / Интересы: открытие бизнеса,Мурманск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Котельники,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-28,Статья: Цифры и факты / Интересы: открытие бизнеса,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-07,Статья: Цифры и факты / Интересы: франшиза,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-07,Статья: Цифры и факты / Интересы: франшиза,Белгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-08,Статья: Цифры и факты / Интересы: открытие бизнеса,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Курск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Череповец,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ступино,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Рыбинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Брянск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-29,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),Переславль-Залесский,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),Тавда,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-29,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Елец,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Екатеринбург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-05-15,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-05-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_открытие бизнеса,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-05-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-04-01,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-01,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Ростов-на-Дону,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
