Дата визита,UTM Campaign,Пол,Возраст,Достигнутая цель,Визиты
2023-12-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-24,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-30,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-02-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-02-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-03-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-01-03,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-04,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-11,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-01-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-02-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-03-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-04-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-04-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-06,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-19,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-06-21,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-15,Статья: Цифры и факты / Интересы: франшиза,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-28,Статья: Цифры и факты / Интересы: франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-08-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-11-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2024-10-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-09,Статья: Цифры и факты / Интересы: франшиза,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-17,Статья: Цифры и факты / Интересы: открытие бизнеса,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-23,Статья: Цифры и факты / Интересы: франшиза,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-24,Статья: Цифры и факты / Интересы: открытие бизнеса,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-28,Статья: Цифры и факты / Интересы: открытие бизнеса,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-10-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-07,Статья: Цифры и факты / Интересы: франшиза,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-07,Статья: Цифры и факты / Интересы: франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-08,Статья: Цифры и факты / Интересы: открытие бизнеса,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,18‑24 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2024-11-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-29,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-03-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54 (копия),женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-03-29,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_открытие бизнеса,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2025-05-14,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_открытие бизнеса,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2025-05-29,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_открытие бизнеса,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2025-04-02,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-05-27,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-05-30,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2025-04-01,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-01,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-01,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-08,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-04-10,Промостатья: Моя история 1 / Цена перехода / Ж25-54 / интерес_франшиза,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
