Дата визита,Источник трафика (детально),UTM Source,UTM Campaign,UTM Content,Достигнутая цель,Визиты
2026-01-05,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-03,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,"Как я преобразила свою жизнь, открыв зоомагазин_699eb80cb8de026b403a2e45",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,"Как я преобразила свою жизнь, открыв зоомагазин_699eb80cb8de026b403a2e45",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-22,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-29,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-31,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-02,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-29,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-02,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-21,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-22,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-23,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / поиск / #dzen / 2607-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-29,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-30,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
