Дата визита,UTM Source,Достигнутая цель,Пол,Возраст,Визиты
2023-08-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-08-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-08-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-08-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-08-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-08-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-09-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-09-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-09-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-09-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-09-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-09-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-09-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-09-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-10-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-10-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-11-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-11-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-11-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-11-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-12-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2023-12-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-12-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-12-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-12-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2023-12-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2024-01-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2024-02-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2024-02-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,2
2024-03-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-04-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-04-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,2
2024-05-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,2
2024-06-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-08-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-10-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-10-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2024-11-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,2
2024-01-03,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-04,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2024-01-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,35‑44 года,1
2024-01-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-01-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2024-01-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-01-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-01-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-01-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-01-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-01-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-01-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-01-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-02-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-02-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-02-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-02-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-02-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-02-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-03-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-03-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-03-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-03-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-03-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-03-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-03-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-03-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-03-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-04-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-04-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-04-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-04-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-04-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-05-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-05-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,25‑34 года,1
2024-05-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-06-05,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,35‑44 года,1
2024-06-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2024-06-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-07-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-07-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-07-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2024-07-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-08-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-08-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-08-03,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-08-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-08-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-08-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-08-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-08-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-08-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-08-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-08-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-08-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-09-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-09-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2024-09-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-09-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-09-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-10-08,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-10-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-10-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-10-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-10-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-10-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2024-10-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-10-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-10-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2024-10-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-10-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2024-10-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-11-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-11-04,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-11-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-11-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-11-08,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2024-11-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2024-11-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2024-11-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2024-11-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2024-11-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,18‑24 года,1
2024-11-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2025-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,5
2025-05-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,4
2025-04-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,3
2025-05-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,3
2025-03-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-03-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-04-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-05-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-05-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-05-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-05-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-07-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2025-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,2
2025-07-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2025-07-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2025-08-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2025-08-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2025-03-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-03-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-03-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2025-03-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2025-04-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-04-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-04-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-08,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-04-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-04-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-04-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2025-04-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-04-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-04-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,18‑24 года,1
2025-04-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-05-05,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-05-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-08,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-05-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-05-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2025-05-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-05-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,35‑44 года,1
2025-05-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,25‑34 года,1
2025-05-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-05-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-05-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-05-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,35‑44 года,1
2025-05-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,18‑24 года,1
2025-05-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,35‑44 года,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-06-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-06-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,35‑44 года,1
2025-06-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-06-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,25‑34 года,1
2025-06-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-06-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-06-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-06-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-06-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-06-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-06-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-07-05,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-07-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-07-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-07-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-07-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-07-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-07-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-07-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-07-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-07-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-08-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-08-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-08-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-08-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-08-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
