Дата визита,UTM Source,Город,Страна,Визиты
2023-09-20,yandex.promopages,Не определено,Россия,4
2023-09-22,yandex.promopages,Не определено,Россия,4
2023-09-24,yandex.promopages,Москва,Россия,4
2023-09-27,yandex.promopages,Не определено,Россия,4
2023-07-01,yandex.promopages,Пермь,Россия,3
2023-07-12,yandex.promopages,Не определено,Россия,3
2023-07-12,yandex.promopages,Москва,Россия,3
2023-07-13,yandex.promopages,Москва,Россия,3
2023-07-14,yandex.promopages,Москва,Россия,3
2023-07-24,yandex.promopages,Не определено,Россия,3
2023-07-28,yandex.promopages,Не определено,Россия,3
2023-07-29,yandex.promopages,Не определено,Россия,3
2023-08-01,yandex.promopages,Не определено,Россия,3
2023-08-03,yandex.promopages,Не определено,Россия,3
2023-08-09,yandex.promopages,Не определено,Россия,3
2023-08-10,yandex.promopages,Москва,Россия,3
2023-08-12,yandex.promopages,Не определено,Россия,3
2023-08-17,yandex.promopages,Краснодар,Россия,3
2023-08-19,yandex.promopages,Краснодар,Россия,3
2023-08-22,yandex.promopages,Москва,Россия,3
2023-08-28,yandex.promopages,Не определено,Россия,3
2023-09-16,yandex.promopages,Нижний Новгород,Россия,3
2023-09-18,yandex.promopages,Не определено,Россия,3
2023-09-18,yandex.promopages,Москва,Россия,3
2023-09-23,yandex.promopages,Москва,Россия,3
2023-09-24,yandex.promopages,Санкт-Петербург,Россия,3
2023-09-25,yandex.promopages,Не определено,Россия,3
2023-07-02,yandex.promopages,Москва,Россия,2
2023-07-03,yandex.promopages,Не определено,Россия,2
2023-07-11,yandex.promopages,Не определено,Россия,2
2023-07-12,yandex.promopages,Санкт-Петербург,Россия,2
2023-07-15,yandex.promopages,Москва,Россия,2
2023-07-16,yandex.promopages,Москва,Россия,2
2023-07-21,yandex.promopages,Не определено,Россия,2
2023-07-22,yandex.promopages,Не определено,Россия,2
2023-07-23,yandex.promopages,Не определено,Россия,2
2023-07-26,yandex.promopages,Москва,Россия,2
2023-07-27,yandex.promopages,Санкт-Петербург,Россия,2
2023-07-28,yandex.promopages,Курган,Россия,2
2023-07-30,yandex.promopages,Не определено,Россия,2
2023-08-04,yandex.promopages,Москва,Россия,2
2023-08-05,yandex.promopages,Не определено,Россия,2
2023-08-06,yandex.promopages,Москва,Россия,2
2023-08-09,yandex.promopages,Москва,Россия,2
2023-08-11,yandex.promopages,Новосибирск,Россия,2
2023-08-13,yandex.promopages,Не определено,Россия,2
2023-08-13,yandex.promopages,Москва,Россия,2
2023-08-14,yandex.promopages,Москва,Россия,2
2023-08-14,yandex.promopages,Санкт-Петербург,Россия,2
2023-08-15,yandex.promopages,Москва,Россия,2
2023-08-18,yandex.promopages,Москва,Россия,2
2023-08-20,yandex.promopages,Нижний Новгород,Россия,2
2023-08-22,yandex.promopages,Санкт-Петербург,Россия,2
2023-08-23,yandex.promopages,Не определено,Россия,2
2023-08-23,yandex.promopages,Москва,Россия,2
2023-08-23,yandex.promopages,Санкт-Петербург,Россия,2
2023-08-25,yandex.promopages,Не определено,Россия,2
2023-08-26,yandex.promopages,Кольчугино,Россия,2
2023-08-26,yandex.promopages,Москва,Россия,2
2023-08-27,yandex.promopages,Санкт-Петербург,Россия,2
2023-08-27,yandex.promopages,Ставрополь,Россия,2
2023-08-28,yandex.promopages,Нижний Новгород,Россия,2
2023-08-28,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-15,yandex.promopages,Не определено,Россия,2
2023-09-17,yandex.promopages,Кашира,Россия,2
2023-09-17,yandex.promopages,Москва,Россия,2
2023-09-19,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-21,yandex.promopages,Абакан,Россия,2
2023-09-21,yandex.promopages,Владивосток,Россия,2
2023-09-21,yandex.promopages,Новосибирск,Россия,2
2023-09-21,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-21,yandex.promopages,Челябинск,Россия,2
2023-09-22,yandex.promopages,Новосибирск,Россия,2
2023-09-22,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-22,yandex.promopages,Челябинск,Россия,2
2023-09-23,yandex.promopages,Краснодар,Россия,2
2023-09-23,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-24,yandex.promopages,Нижний Новгород,Россия,2
2023-09-24,yandex.promopages,Рязань,Россия,2
2023-09-25,yandex.promopages,Санкт-Петербург,Россия,2
2023-09-26,yandex.promopages,Москва,Россия,2
2023-09-26,yandex.promopages,Ставрополь,Россия,2
2023-09-27,yandex.promopages,Новосибирск,Россия,2
2023-07-01,yandex.promopages,Красноярск,Россия,1
2023-07-01,yandex.promopages,Липецк,Россия,1
2023-07-01,yandex.promopages,Омск,Россия,1
2023-07-01,yandex.promopages,Петрозаводск,Россия,1
2023-07-01,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-01,yandex.promopages,Чебоксары,Россия,1
2023-07-01,yandex.promopages,Якутск,Россия,1
2023-07-02,yandex.promopages,Не определено,Россия,1
2023-07-02,yandex.promopages,Брянск,Россия,1
2023-07-02,yandex.promopages,Волгодонск,Россия,1
2023-07-02,yandex.promopages,Кострома,Россия,1
2023-07-02,yandex.promopages,Краснодар,Россия,1
2023-07-02,yandex.promopages,Новосибирск,Россия,1
2023-07-02,yandex.promopages,Пенза,Россия,1
2023-07-02,yandex.promopages,Якутск,Россия,1
2023-07-03,yandex.promopages,Братск,Россия,1
2023-07-03,yandex.promopages,Грязи,Россия,1
2023-07-03,yandex.promopages,Москва,Россия,1
2023-07-03,yandex.promopages,Находка,Россия,1
2023-07-03,yandex.promopages,Омск,Россия,1
2023-07-03,yandex.promopages,Пенза,Россия,1
2023-07-03,yandex.promopages,Пермь,Россия,1
2023-07-03,yandex.promopages,Ростов-на-Дону,Россия,1
2023-07-03,yandex.promopages,Самара,Россия,1
2023-07-03,yandex.promopages,Тольятти,Россия,1
2023-07-11,yandex.promopages,Ейск,Россия,1
2023-07-11,yandex.promopages,Казань,Россия,1
2023-07-11,yandex.promopages,Киров,Россия,1
2023-07-11,yandex.promopages,Москва,Россия,1
2023-07-11,yandex.promopages,Нижний Новгород,Россия,1
2023-07-11,yandex.promopages,Новосибирск,Россия,1
2023-07-11,yandex.promopages,Тюмень,Россия,1
2023-07-11,yandex.promopages,Чебоксары,Россия,1
2023-07-12,yandex.promopages,Балаково,Россия,1
2023-07-12,yandex.promopages,Владивосток,Россия,1
2023-07-12,yandex.promopages,Воронеж,Россия,1
2023-07-12,yandex.promopages,Екатеринбург,Россия,1
2023-07-12,yandex.promopages,Кемерово,Россия,1
2023-07-12,yandex.promopages,Киров,Россия,1
2023-07-12,yandex.promopages,Краснодар,Россия,1
2023-07-12,yandex.promopages,Красноярск,Россия,1
2023-07-12,yandex.promopages,Курск,Россия,1
2023-07-12,yandex.promopages,Люберцы,Россия,1
2023-07-12,yandex.promopages,Нижний Новгород,Россия,1
2023-07-12,yandex.promopages,Новосибирск,Россия,1
2023-07-12,yandex.promopages,Туапсе,Россия,1
2023-07-12,yandex.promopages,Щёлково,Россия,1
2023-07-13,yandex.promopages,Не определено,Россия,1
2023-07-13,yandex.promopages,Нижний Новгород,Россия,1
2023-07-14,yandex.promopages,Волгоград,Россия,1
2023-07-14,yandex.promopages,Киров,Россия,1
2023-07-14,yandex.promopages,Красноярск,Россия,1
2023-07-14,yandex.promopages,Самара,Россия,1
2023-07-14,yandex.promopages,Челябинск,Россия,1
2023-07-15,yandex.promopages,Благовещенск,Россия,1
2023-07-15,yandex.promopages,Кемерово,Россия,1
2023-07-15,yandex.promopages,Краснодар,Россия,1
2023-07-15,yandex.promopages,Михайловка,Россия,1
2023-07-15,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-15,yandex.promopages,Саратов,Россия,1
2023-07-15,yandex.promopages,Ставрополь,Россия,1
2023-07-15,yandex.promopages,Тула,Россия,1
2023-07-15,yandex.promopages,Энгельс,Россия,1
2023-07-16,yandex.promopages,Не определено,Россия,1
2023-07-16,yandex.promopages,Мытищи,Россия,1
2023-07-17,yandex.promopages,Москва,Россия,1
2023-07-17,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-18,yandex.promopages,Люберцы,Россия,1
2023-07-20,yandex.promopages,Не определено,Россия,1
2023-07-20,yandex.promopages,Москва,Россия,1
2023-07-21,yandex.promopages,Владимир,Россия,1
2023-07-21,yandex.promopages,Иркутск,Россия,1
2023-07-21,yandex.promopages,Нижний Новгород,Россия,1
2023-07-21,yandex.promopages,Пятигорск,Россия,1
2023-07-21,yandex.promopages,Якутск,Россия,1
2023-07-22,yandex.promopages,Старый Оскол,Россия,1
2023-07-23,yandex.promopages,Владимир,Россия,1
2023-07-23,yandex.promopages,Норильск,Россия,1
2023-07-23,yandex.promopages,Самара,Россия,1
2023-07-23,yandex.promopages,Ставрополь,Россия,1
2023-07-24,yandex.promopages,Барнаул,Россия,1
2023-07-24,yandex.promopages,Нижний Новгород,Россия,1
2023-07-24,yandex.promopages,Омск,Россия,1
2023-07-24,yandex.promopages,Челябинск,Россия,1
2023-07-25,yandex.promopages,Донской,Россия,1
2023-07-25,yandex.promopages,Калининград,Россия,1
2023-07-25,yandex.promopages,Краснодар,Россия,1
2023-07-25,yandex.promopages,Михайловка,Россия,1
2023-07-25,yandex.promopages,Нижний Новгород,Россия,1
2023-07-25,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-25,yandex.promopages,Уфа,Россия,1
2023-07-25,yandex.promopages,Челябинск,Россия,1
2023-07-25,yandex.promopages,Энгельс,Россия,1
2023-07-26,yandex.promopages,Краснодар,Россия,1
2023-07-26,yandex.promopages,Новороссийск,Россия,1
2023-07-26,yandex.promopages,Озёрск,Россия,1
2023-07-26,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-27,yandex.promopages,Владикавказ,Россия,1
2023-07-27,yandex.promopages,Красноярск,Россия,1
2023-07-27,yandex.promopages,Москва,Россия,1
2023-07-27,yandex.promopages,Новочеркасск,Россия,1
2023-07-27,yandex.promopages,Орёл,Россия,1
2023-07-27,yandex.promopages,Тамбов,Россия,1
2023-07-27,yandex.promopages,Уфа,Россия,1
2023-07-28,yandex.promopages,Новокузнецк,Россия,1
2023-07-28,yandex.promopages,Пермь,Россия,1
2023-07-28,yandex.promopages,Санкт-Петербург,Россия,1
2023-07-29,yandex.promopages,Иваново,Россия,1
2023-07-29,yandex.promopages,Мирный,Россия,1
2023-07-29,yandex.promopages,Саратов,Россия,1
2023-07-30,yandex.promopages,Москва,Россия,1
2023-07-30,yandex.promopages,Раменское,Россия,1
2023-07-30,yandex.promopages,Тула,Россия,1
2023-07-31,yandex.promopages,Не определено,Россия,1
2023-07-31,yandex.promopages,Воронеж,Россия,1
2023-07-31,yandex.promopages,Екатеринбург,Россия,1
2023-07-31,yandex.promopages,Ставрополь,Россия,1
2023-08-01,yandex.promopages,Москва,Россия,1
2023-08-01,yandex.promopages,Ростов-на-Дону,Россия,1
2023-08-01,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-02,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-02,yandex.promopages,Тамбов,Россия,1
2023-08-03,yandex.promopages,Томск,Россия,1
2023-08-04,yandex.promopages,Калининград,Россия,1
2023-08-04,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-04,yandex.promopages,Ставрополь,Россия,1
2023-08-04,yandex.promopages,Якутск,Россия,1
2023-08-05,yandex.promopages,Краснодар,Россия,1
2023-08-05,yandex.promopages,Нижний Новгород,Россия,1
2023-08-05,yandex.promopages,Нижний Тагил,Россия,1
2023-08-05,yandex.promopages,Саратов,Россия,1
2023-08-05,yandex.promopages,Старый Оскол,Россия,1
2023-08-05,yandex.promopages,Уфа,Россия,1
2023-08-06,yandex.promopages,Нижний Новгород,Россия,1
2023-08-06,yandex.promopages,Новосибирск,Россия,1
2023-08-07,yandex.promopages,Москва,Россия,1
2023-08-07,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-08,yandex.promopages,Не определено,Россия,1
2023-08-08,yandex.promopages,Белгород,Россия,1
2023-08-08,yandex.promopages,Калининград,Россия,1
2023-08-08,yandex.promopages,Краснодар,Россия,1
2023-08-08,yandex.promopages,Красноярск,Россия,1
2023-08-08,yandex.promopages,Москва,Россия,1
2023-08-09,yandex.promopages,Борисов,Беларусь,1
2023-08-09,yandex.promopages,Казань,Россия,1
2023-08-09,yandex.promopages,Калуга,Россия,1
2023-08-09,yandex.promopages,Киров,Россия,1
2023-08-09,yandex.promopages,Новосибирск,Россия,1
2023-08-09,yandex.promopages,Приморско-Ахтарск,Россия,1
2023-08-09,yandex.promopages,Ставрополь,Россия,1
2023-08-09,yandex.promopages,Сургут,Россия,1
2023-08-09,yandex.promopages,Таганрог,Россия,1
2023-08-09,yandex.promopages,Чебоксары,Россия,1
2023-08-10,yandex.promopages,Егорьевск,Россия,1
2023-08-10,yandex.promopages,Екатеринбург,Россия,1
2023-08-10,yandex.promopages,Казань,Россия,1
2023-08-10,yandex.promopages,Краснокамск,Россия,1
2023-08-10,yandex.promopages,Михайловка,Россия,1
2023-08-10,yandex.promopages,Нижний Новгород,Россия,1
2023-08-10,yandex.promopages,Новосибирск,Россия,1
2023-08-10,yandex.promopages,Орёл,Россия,1
2023-08-10,yandex.promopages,Тула,Россия,1
2023-08-11,yandex.promopages,Братск,Россия,1
2023-08-11,yandex.promopages,Владикавказ,Россия,1
2023-08-11,yandex.promopages,Волгоград,Россия,1
2023-08-11,yandex.promopages,Краснодар,Россия,1
2023-08-11,yandex.promopages,Москва,Россия,1
2023-08-11,yandex.promopages,Нижний Новгород,Россия,1
2023-08-11,yandex.promopages,Новокузнецк,Россия,1
2023-08-11,yandex.promopages,Ростов-на-Дону,Россия,1
2023-08-11,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-11,yandex.promopages,Саратов,Россия,1
2023-08-11,yandex.promopages,Ставрополь,Россия,1
2023-08-12,yandex.promopages,Екатеринбург,Россия,1
2023-08-12,yandex.promopages,Иркутск,Россия,1
2023-08-12,yandex.promopages,Калининград,Россия,1
2023-08-12,yandex.promopages,Ковров,Россия,1
2023-08-12,yandex.promopages,Оренбург,Россия,1
2023-08-12,yandex.promopages,Пенза,Россия,1
2023-08-12,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-12,yandex.promopages,Челябинск,Россия,1
2023-08-13,yandex.promopages,Брянск,Россия,1
2023-08-13,yandex.promopages,Волгоград,Россия,1
2023-08-13,yandex.promopages,Краснодар,Россия,1
2023-08-13,yandex.promopages,Пермь,Россия,1
2023-08-13,yandex.promopages,Подольск,Россия,1
2023-08-13,yandex.promopages,Пушкино,Россия,1
2023-08-14,yandex.promopages,Барнаул,Россия,1
2023-08-14,yandex.promopages,Киров,Россия,1
2023-08-14,yandex.promopages,Находка,Россия,1
2023-08-15,yandex.promopages,Астрахань,Россия,1
2023-08-15,yandex.promopages,Домодедово,Россия,1
2023-08-15,yandex.promopages,Казань,Россия,1
2023-08-15,yandex.promopages,Краснодар,Россия,1
2023-08-15,yandex.promopages,Новокузнецк,Россия,1
2023-08-15,yandex.promopages,Ростов-на-Дону,Россия,1
2023-08-15,yandex.promopages,Смоленск,Россия,1
2023-08-15,yandex.promopages,Якутск,Россия,1
2023-08-16,yandex.promopages,Алушта,Россия,1
2023-08-16,yandex.promopages,Волгореченск,Россия,1
2023-08-16,yandex.promopages,Екатеринбург,Россия,1
2023-08-16,yandex.promopages,Ереван,Армения,1
2023-08-16,yandex.promopages,Казань,Россия,1
2023-08-16,yandex.promopages,Михайловка,Россия,1
2023-08-16,yandex.promopages,Нижний Новгород,Россия,1
2023-08-16,yandex.promopages,Новокузнецк,Россия,1
2023-08-16,yandex.promopages,Саяногорск,Россия,1
2023-08-16,yandex.promopages,Стерлитамак,Россия,1
2023-08-16,yandex.promopages,Тамбов,Россия,1
2023-08-17,yandex.promopages,Астрахань,Россия,1
2023-08-17,yandex.promopages,Белореченск,Россия,1
2023-08-17,yandex.promopages,Миасс,Россия,1
2023-08-17,yandex.promopages,Михайловка,Россия,1
2023-08-17,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-17,yandex.promopages,Старый Оскол,Россия,1
2023-08-18,yandex.promopages,Брянск,Россия,1
2023-08-18,yandex.promopages,Иваново,Россия,1
2023-08-18,yandex.promopages,Курган,Россия,1
2023-08-18,yandex.promopages,Омск,Россия,1
2023-08-18,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-18,yandex.promopages,Уфа,Россия,1
2023-08-19,yandex.promopages,Владимир,Россия,1
2023-08-19,yandex.promopages,Екатеринбург,Россия,1
2023-08-19,yandex.promopages,Нижний Новгород,Россия,1
2023-08-19,yandex.promopages,Самара,Россия,1
2023-08-19,yandex.promopages,Челябинск,Россия,1
2023-08-20,yandex.promopages,Кострома,Россия,1
2023-08-20,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-20,yandex.promopages,Тверь,Россия,1
2023-08-21,yandex.promopages,Воронеж,Россия,1
2023-08-21,yandex.promopages,Вышний Волочёк,Россия,1
2023-08-21,yandex.promopages,Краснодар,Россия,1
2023-08-21,yandex.promopages,Миасс,Россия,1
2023-08-21,yandex.promopages,Нальчик,Россия,1
2023-08-21,yandex.promopages,Новосибирск,Россия,1
2023-08-21,yandex.promopages,Самара,Россия,1
2023-08-21,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-21,yandex.promopages,Тамбов,Россия,1
2023-08-21,yandex.promopages,Уфа,Россия,1
2023-08-21,yandex.promopages,Ярославль,Россия,1
2023-08-22,yandex.promopages,Не определено,США,1
2023-08-22,yandex.promopages,Вологда,Россия,1
2023-08-22,yandex.promopages,Казань,Россия,1
2023-08-22,yandex.promopages,Ковров,Россия,1
2023-08-22,yandex.promopages,Нижний Новгород,Россия,1
2023-08-22,yandex.promopages,Сочи,Россия,1
2023-08-23,yandex.promopages,Великий Новгород,Россия,1
2023-08-23,yandex.promopages,Киржач,Россия,1
2023-08-23,yandex.promopages,Нижний Новгород,Россия,1
2023-08-23,yandex.promopages,Новосибирск,Россия,1
2023-08-23,yandex.promopages,Рыбинск,Россия,1
2023-08-25,yandex.promopages,Барнаул,Россия,1
2023-08-25,yandex.promopages,Белореченск,Россия,1
2023-08-25,yandex.promopages,Домодедово,Россия,1
2023-08-25,yandex.promopages,Киров,Россия,1
2023-08-25,yandex.promopages,Кольчугино,Россия,1
2023-08-25,yandex.promopages,Москва,Россия,1
2023-08-25,yandex.promopages,Пермь,Россия,1
2023-08-25,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-26,yandex.promopages,Не определено,Россия,1
2023-08-26,yandex.promopages,Балашиха,Россия,1
2023-08-26,yandex.promopages,Калининград,Россия,1
2023-08-26,yandex.promopages,Магнитогорск,Россия,1
2023-08-26,yandex.promopages,Нальчик,Россия,1
2023-08-26,yandex.promopages,Нижний Новгород,Россия,1
2023-08-26,yandex.promopages,Саратов,Россия,1
2023-08-26,yandex.promopages,Ставрополь,Россия,1
2023-08-26,yandex.promopages,Челябинск,Россия,1
2023-08-27,yandex.promopages,Абинск,Россия,1
2023-08-27,yandex.promopages,Барнаул,Россия,1
2023-08-27,yandex.promopages,Йошкар-Ола,Россия,1
2023-08-27,yandex.promopages,Калининград,Россия,1
2023-08-27,yandex.promopages,Красноярск,Россия,1
2023-08-27,yandex.promopages,Кудрово,Россия,1
2023-08-27,yandex.promopages,Мадрид,Испания,1
2023-08-27,yandex.promopages,Малага,Испания,1
2023-08-27,yandex.promopages,Москва,Россия,1
2023-08-27,yandex.promopages,Самара,Россия,1
2023-08-27,yandex.promopages,Сыктывкар,Россия,1
2023-08-27,yandex.promopages,Тольятти,Россия,1
2023-08-27,yandex.promopages,Ярославль,Россия,1
2023-08-28,yandex.promopages,Казань,Россия,1
2023-08-28,yandex.promopages,Москва,Россия,1
2023-08-28,yandex.promopages,Пятигорск,Россия,1
2023-08-28,yandex.promopages,Ростов-на-Дону,Россия,1
2023-08-28,yandex.promopages,Томск,Россия,1
2023-08-28,yandex.promopages,Ярославль,Россия,1
2023-08-29,yandex.promopages,Владивосток,Россия,1
2023-08-29,yandex.promopages,Волгодонск,Россия,1
2023-08-29,yandex.promopages,Екатеринбург,Россия,1
2023-08-29,yandex.promopages,Иркутск,Россия,1
2023-08-29,yandex.promopages,Краснодар,Россия,1
2023-08-29,yandex.promopages,Кудрово,Россия,1
2023-08-29,yandex.promopages,Майкоп,Россия,1
2023-08-29,yandex.promopages,Мыски,Россия,1
2023-08-29,yandex.promopages,Пятигорск,Россия,1
2023-08-29,yandex.promopages,Ростов-на-Дону,Россия,1
2023-08-29,yandex.promopages,Самара,Россия,1
2023-08-29,yandex.promopages,Санкт-Петербург,Россия,1
2023-08-29,yandex.promopages,Сургут,Россия,1
2023-08-29,yandex.promopages,Челябинск,Россия,1
2023-08-30,yandex.promopages,Не определено,Россия,1
2023-08-30,yandex.promopages,Красноярск,Россия,1
2023-08-30,yandex.promopages,Москва,Россия,1
2023-08-30,yandex.promopages,Саратов,Россия,1
2023-08-31,yandex.promopages,Москва,Россия,1
2023-09-06,yandex.promopages,Екатеринбург,Россия,1
2023-09-15,yandex.promopages,Балашиха,Россия,1
2023-09-15,yandex.promopages,Калининград,Россия,1
