Дата визита,UTM Source,Пол,Возраст,Визиты
2026-02-27,yandex.promopages,Не определено,Не определено,11
2026-03-24,yandex.promopages,мужской,35‑44 года,11
2026-01-30,yandex.promopages,женский,35‑44 года,10
2026-02-25,yandex.promopages,женский,35‑44 года,10
2026-01-08,yandex.promopages,женский,35‑44 года,9
2026-01-08,yandex.promopages,женский,55 лет и старше,9
2026-01-25,yandex.promopages,женский,45-54 года,9
2026-02-12,yandex.promopages,женский,45-54 года,9
2026-02-27,yandex.promopages,женский,35‑44 года,9
2026-03-24,yandex.promopages,женский,45-54 года,9
2026-03-26,yandex.promopages,Не определено,Не определено,9
2026-01-06,yandex.promopages,мужской,35‑44 года,8
2026-01-07,yandex.promopages,мужской,45-54 года,8
2026-01-10,yandex.promopages,женский,45-54 года,8
2026-02-27,yandex.promopages,женский,25‑34 года,8
2026-03-11,yandex.promopages,женский,45-54 года,8
2026-01-06,yandex.promopages,женский,35‑44 года,7
2026-01-29,yandex.promopages,женский,25‑34 года,7
2026-01-31,yandex.promopages,женский,25‑34 года,7
2026-02-02,yandex.promopages,женский,35‑44 года,7
2026-02-09,yandex.promopages,женский,45-54 года,7
2026-02-13,yandex.promopages,женский,45-54 года,7
2026-02-25,yandex.promopages,мужской,55 лет и старше,7
2026-02-25,yandex.promopages,женский,25‑34 года,7
2026-02-25,yandex.promopages,женский,55 лет и старше,7
2026-03-09,yandex.promopages,Не определено,Не определено,7
2026-03-12,yandex.promopages,женский,35‑44 года,7
2026-03-25,yandex.promopages,женский,Не определено,7
2026-03-26,yandex.promopages,мужской,25‑34 года,7
2026-03-26,yandex.promopages,женский,45-54 года,7
2026-01-06,yandex.promopages,Не определено,Не определено,6
2026-01-09,yandex.promopages,Не определено,Не определено,6
2026-01-16,yandex.promopages,женский,45-54 года,6
2026-01-28,yandex.promopages,женский,25‑34 года,6
2026-01-30,yandex.promopages,женский,25‑34 года,6
2026-02-25,yandex.promopages,мужской,35‑44 года,6
2026-02-26,yandex.promopages,мужской,35‑44 года,6
2026-03-24,yandex.promopages,мужской,25‑34 года,6
2026-01-08,yandex.promopages,мужской,25‑34 года,5
2026-01-08,yandex.promopages,мужской,35‑44 года,5
2026-01-10,yandex.promopages,мужской,45-54 года,5
2026-01-15,yandex.promopages,женский,35‑44 года,5
2026-01-26,yandex.promopages,женский,35‑44 года,5
2026-01-29,yandex.promopages,Не определено,Не определено,5
2026-02-17,yandex.promopages,женский,45-54 года,5
2026-02-25,yandex.promopages,мужской,25‑34 года,5
2026-03-09,yandex.promopages,женский,35‑44 года,5
2026-03-25,yandex.promopages,женский,55 лет и старше,5
2026-01-07,yandex.promopages,мужской,25‑34 года,4
2026-01-07,yandex.promopages,женский,35‑44 года,4
2026-01-08,yandex.promopages,женский,Не определено,4
2026-01-12,yandex.promopages,женский,35‑44 года,4
2026-01-13,yandex.promopages,женский,35‑44 года,4
2026-01-13,yandex.promopages,женский,45-54 года,4
2026-01-15,yandex.promopages,женский,25‑34 года,4
2026-01-16,yandex.promopages,женский,35‑44 года,4
2026-01-24,yandex.promopages,женский,45-54 года,4
2026-01-26,yandex.promopages,Не определено,Не определено,4
2026-01-26,yandex.promopages,женский,25‑34 года,4
2026-01-29,yandex.promopages,женский,Не определено,4
2026-01-31,yandex.promopages,женский,Не определено,4
2026-02-01,yandex.promopages,женский,25‑34 года,4
2026-02-02,yandex.promopages,женский,25‑34 года,4
2026-02-04,yandex.promopages,женский,45-54 года,4
2026-02-17,yandex.promopages,мужской,25‑34 года,4
2026-03-09,yandex.promopages,мужской,35‑44 года,4
2026-03-09,yandex.promopages,женский,18‑24 года,4
2026-03-11,yandex.promopages,женский,35‑44 года,4
2026-01-06,yandex.promopages,женский,25‑34 года,3
2026-01-07,yandex.promopages,женский,55 лет и старше,3
2026-01-09,yandex.promopages,женский,25‑34 года,3
2026-01-11,yandex.promopages,Не определено,Не определено,3
2026-01-13,yandex.promopages,мужской,45-54 года,3
2026-01-14,yandex.promopages,мужской,45-54 года,3
2026-01-14,yandex.promopages,женский,25‑34 года,3
2026-01-15,yandex.promopages,Не определено,Не определено,3
2026-01-16,yandex.promopages,женский,25‑34 года,3
2026-01-27,yandex.promopages,Не определено,Не определено,3
2026-01-27,yandex.promopages,женский,25‑34 года,3
2026-01-28,yandex.promopages,мужской,45-54 года,3
2026-01-31,yandex.promopages,Не определено,Не определено,3
2026-02-01,yandex.promopages,Не определено,Не определено,3
2026-02-01,yandex.promopages,женский,Не определено,3
2026-02-02,yandex.promopages,Не определено,Не определено,3
2026-02-03,yandex.promopages,женский,25‑34 года,3
2026-02-05,yandex.promopages,женский,Не определено,3
2026-02-05,yandex.promopages,женский,45-54 года,3
2026-02-08,yandex.promopages,женский,45-54 года,3
2026-02-09,yandex.promopages,женский,18‑24 года,3
2026-02-10,yandex.promopages,женский,35‑44 года,3
2026-02-10,yandex.promopages,женский,45-54 года,3
2026-02-12,yandex.promopages,мужской,25‑34 года,3
2026-02-24,yandex.promopages,женский,45-54 года,3
2026-02-25,yandex.promopages,мужской,Не определено,3
2026-02-25,yandex.promopages,женский,18‑24 года,3
2026-02-26,yandex.promopages,женский,18‑24 года,3
2026-02-27,yandex.promopages,женский,Не определено,3
2026-03-09,yandex.promopages,мужской,25‑34 года,3
2026-03-09,yandex.promopages,женский,25‑34 года,3
2026-03-13,yandex.promopages,женский,45-54 года,3
2026-03-24,yandex.promopages,женский,35‑44 года,3
2026-03-25,yandex.promopages,мужской,Не определено,3
2026-03-26,yandex.promopages,женский,55 лет и старше,3
2026-03-27,yandex.promopages,женский,45-54 года,3
2026-01-01,yandex.promopages,женский,45-54 года,2
2026-01-04,yandex.promopages,мужской,45-54 года,2
2026-01-06,yandex.promopages,Не определено,45-54 года,2
2026-01-07,yandex.promopages,мужской,Не определено,2
2026-01-07,yandex.promopages,мужской,35‑44 года,2
2026-01-07,yandex.promopages,женский,Не определено,2
2026-01-08,yandex.promopages,мужской,55 лет и старше,2
2026-01-08,yandex.promopages,женский,25‑34 года,2
2026-01-09,yandex.promopages,мужской,25‑34 года,2
2026-01-09,yandex.promopages,мужской,45-54 года,2
2026-01-09,yandex.promopages,женский,35‑44 года,2
2026-01-11,yandex.promopages,женский,45-54 года,2
2026-01-12,yandex.promopages,Не определено,Не определено,2
2026-01-13,yandex.promopages,Не определено,Не определено,2
2026-01-13,yandex.promopages,женский,25‑34 года,2
2026-01-16,yandex.promopages,мужской,45-54 года,2
2026-01-17,yandex.promopages,мужской,45-54 года,2
2026-01-24,yandex.promopages,женский,25‑34 года,2
2026-01-27,yandex.promopages,женский,55 лет и старше,2
2026-01-28,yandex.promopages,Не определено,Не определено,2
2026-01-28,yandex.promopages,женский,Не определено,2
2026-01-28,yandex.promopages,женский,55 лет и старше,2
2026-01-29,yandex.promopages,женский,55 лет и старше,2
2026-01-30,yandex.promopages,женский,Не определено,2
2026-02-04,yandex.promopages,Не определено,Не определено,2
2026-02-04,yandex.promopages,женский,35‑44 года,2
2026-02-11,yandex.promopages,мужской,55 лет и старше,2
2026-02-11,yandex.promopages,женский,45-54 года,2
2026-02-12,yandex.promopages,Не определено,Не определено,2
2026-02-16,yandex.promopages,женский,45-54 года,2
2026-02-18,yandex.promopages,женский,45-54 года,2
2026-02-25,yandex.promopages,женский,младше 18 лет,2
2026-02-26,yandex.promopages,мужской,25‑34 года,2
2026-02-26,yandex.promopages,женский,Не определено,2
2026-02-26,yandex.promopages,женский,55 лет и старше,2
2026-02-28,yandex.promopages,женский,45-54 года,2
2026-03-12,yandex.promopages,Не определено,Не определено,2
2026-03-18,yandex.promopages,женский,35‑44 года,2
2026-03-18,yandex.promopages,женский,45-54 года,2
2026-03-24,yandex.promopages,женский,25‑34 года,2
2026-03-25,yandex.promopages,Не определено,35‑44 года,2
2026-03-25,yandex.promopages,мужской,25‑34 года,2
2026-03-26,yandex.promopages,Не определено,25‑34 года,2
2026-03-26,yandex.promopages,женский,35‑44 года,2
2026-01-01,yandex.promopages,мужской,45-54 года,1
2026-01-03,yandex.promopages,Не определено,45-54 года,1
2026-01-04,yandex.promopages,мужской,18‑24 года,1
2026-01-04,yandex.promopages,женский,45-54 года,1
2026-01-05,yandex.promopages,мужской,Не определено,1
2026-01-05,yandex.promopages,мужской,18‑24 года,1
2026-01-05,yandex.promopages,мужской,25‑34 года,1
2026-01-05,yandex.promopages,мужской,35‑44 года,1
2026-01-05,yandex.promopages,мужской,45-54 года,1
2026-01-06,yandex.promopages,Не определено,35‑44 года,1
2026-01-06,yandex.promopages,мужской,Не определено,1
2026-01-06,yandex.promopages,мужской,25‑34 года,1
2026-01-06,yandex.promopages,мужской,55 лет и старше,1
2026-01-06,yandex.promopages,женский,Не определено,1
2026-01-06,yandex.promopages,женский,55 лет и старше,1
2026-01-07,yandex.promopages,Не определено,55 лет и старше,1
2026-01-07,yandex.promopages,женский,25‑34 года,1
2026-01-08,yandex.promopages,мужской,Не определено,1
2026-01-09,yandex.promopages,мужской,35‑44 года,1
2026-01-09,yandex.promopages,мужской,55 лет и старше,1
2026-01-10,yandex.promopages,женский,25‑34 года,1
2026-01-11,yandex.promopages,мужской,45-54 года,1
2026-01-11,yandex.promopages,женский,35‑44 года,1
2026-01-12,yandex.promopages,женский,45-54 года,1
2026-01-13,yandex.promopages,женский,55 лет и старше,1
2026-01-14,yandex.promopages,Не определено,35‑44 года,1
2026-01-14,yandex.promopages,мужской,25‑34 года,1
2026-01-14,yandex.promopages,женский,Не определено,1
2026-01-15,yandex.promopages,мужской,Не определено,1
2026-01-15,yandex.promopages,мужской,35‑44 года,1
2026-01-15,yandex.promopages,женский,Не определено,1
2026-01-16,yandex.promopages,Не определено,Не определено,1
2026-01-17,yandex.promopages,мужской,18‑24 года,1
2026-01-17,yandex.promopages,мужской,25‑34 года,1
2026-01-18,yandex.promopages,мужской,45-54 года,1
2026-01-19,yandex.promopages,мужской,45-54 года,1
2026-01-19,yandex.promopages,женский,35‑44 года,1
2026-01-19,yandex.promopages,женский,45-54 года,1
2026-01-20,yandex.promopages,мужской,45-54 года,1
2026-01-20,yandex.promopages,женский,45-54 года,1
2026-01-21,yandex.promopages,мужской,35‑44 года,1
2026-01-21,yandex.promopages,женский,35‑44 года,1
2026-01-21,yandex.promopages,женский,45-54 года,1
2026-01-22,yandex.promopages,женский,45-54 года,1
2026-01-23,yandex.promopages,Не определено,Не определено,1
2026-01-23,yandex.promopages,мужской,45-54 года,1
2026-01-23,yandex.promopages,женский,45-54 года,1
2026-01-24,yandex.promopages,женский,Не определено,1
2026-01-24,yandex.promopages,женский,55 лет и старше,1
2026-01-25,yandex.promopages,женский,35‑44 года,1
2026-01-26,yandex.promopages,мужской,45-54 года,1
2026-01-26,yandex.promopages,женский,18‑24 года,1
2026-01-27,yandex.promopages,Не определено,35‑44 года,1
2026-01-27,yandex.promopages,мужской,25‑34 года,1
2026-01-27,yandex.promopages,женский,Не определено,1
2026-01-28,yandex.promopages,мужской,35‑44 года,1
2026-01-29,yandex.promopages,мужской,Не определено,1
2026-01-30,yandex.promopages,мужской,25‑34 года,1
2026-01-30,yandex.promopages,мужской,55 лет и старше,1
2026-01-30,yandex.promopages,женский,55 лет и старше,1
2026-01-31,yandex.promopages,мужской,45-54 года,1
2026-01-31,yandex.promopages,женский,55 лет и старше,1
2026-02-01,yandex.promopages,Не определено,45-54 года,1
2026-02-01,yandex.promopages,мужской,Не определено,1
2026-02-02,yandex.promopages,женский,Не определено,1
2026-02-02,yandex.promopages,женский,18‑24 года,1
2026-02-03,yandex.promopages,Не определено,Не определено,1
2026-02-05,yandex.promopages,Не определено,Не определено,1
2026-02-06,yandex.promopages,Не определено,Не определено,1
2026-02-06,yandex.promopages,женский,35‑44 года,1
2026-02-06,yandex.promopages,женский,45-54 года,1
2026-02-07,yandex.promopages,женский,45-54 года,1
2026-02-09,yandex.promopages,Не определено,Не определено,1
2026-02-09,yandex.promopages,Не определено,45-54 года,1
2026-02-09,yandex.promopages,женский,25‑34 года,1
2026-02-09,yandex.promopages,женский,35‑44 года,1
2026-02-09,yandex.promopages,женский,55 лет и старше,1
2026-02-10,yandex.promopages,мужской,18‑24 года,1
2026-02-10,yandex.promopages,мужской,35‑44 года,1
2026-02-10,yandex.promopages,мужской,45-54 года,1
2026-02-11,yandex.promopages,Не определено,Не определено,1
2026-02-11,yandex.promopages,мужской,45-54 года,1
2026-02-11,yandex.promopages,женский,35‑44 года,1
2026-02-12,yandex.promopages,Не определено,45-54 года,1
2026-02-12,yandex.promopages,женский,18‑24 года,1
2026-02-12,yandex.promopages,женский,35‑44 года,1
2026-02-13,yandex.promopages,женский,35‑44 года,1
2026-02-14,yandex.promopages,мужской,45-54 года,1
2026-02-14,yandex.promopages,женский,25‑34 года,1
2026-02-14,yandex.promopages,женский,45-54 года,1
2026-02-15,yandex.promopages,женский,45-54 года,1
2026-02-16,yandex.promopages,мужской,25‑34 года,1
2026-02-17,yandex.promopages,мужской,45-54 года,1
2026-02-17,yandex.promopages,женский,25‑34 года,1
2026-02-19,yandex.promopages,женский,45-54 года,1
2026-02-20,yandex.promopages,мужской,25‑34 года,1
2026-02-20,yandex.promopages,женский,45-54 года,1
2026-02-24,yandex.promopages,женский,Не определено,1
2026-02-25,yandex.promopages,Не определено,25‑34 года,1
2026-02-25,yandex.promopages,Не определено,55 лет и старше,1
2026-02-26,yandex.promopages,Не определено,45-54 года,1
2026-02-26,yandex.promopages,мужской,Не определено,1
2026-02-26,yandex.promopages,мужской,18‑24 года,1
2026-02-27,yandex.promopages,мужской,25‑34 года,1
2026-03-02,yandex.promopages,женский,35‑44 года,1
2026-03-02,yandex.promopages,женский,45-54 года,1
2026-03-03,yandex.promopages,женский,45-54 года,1
2026-03-09,yandex.promopages,мужской,Не определено,1
2026-03-09,yandex.promopages,мужской,18‑24 года,1
2026-03-09,yandex.promopages,женский,Не определено,1
2026-03-10,yandex.promopages,мужской,35‑44 года,1
2026-03-10,yandex.promopages,женский,45-54 года,1
2026-03-12,yandex.promopages,мужской,45-54 года,1
2026-03-12,yandex.promopages,женский,25‑34 года,1
2026-03-13,yandex.promopages,женский,25‑34 года,1
2026-03-14,yandex.promopages,женский,45-54 года,1
2026-03-16,yandex.promopages,женский,35‑44 года,1
2026-03-17,yandex.promopages,Не определено,Не определено,1
2026-03-17,yandex.promopages,женский,35‑44 года,1
2026-03-17,yandex.promopages,женский,45-54 года,1
2026-03-18,yandex.promopages,Не определено,Не определено,1
2026-03-23,yandex.promopages,женский,45-54 года,1
2026-03-24,yandex.promopages,мужской,Не определено,1
2026-03-24,yandex.promopages,мужской,45-54 года,1
2026-03-24,yandex.promopages,женский,Не определено,1
2026-03-25,yandex.promopages,мужской,55 лет и старше,1
2026-03-26,yandex.promopages,женский,Не определено,1
2026-03-26,yandex.promopages,женский,25‑34 года,1
2026-03-27,yandex.promopages,Не определено,Не определено,1
2026-03-27,yandex.promopages,мужской,35‑44 года,1
2026-03-27,yandex.promopages,женский,35‑44 года,1
2026-03-29,yandex.promopages,женский,35‑44 года,1
2026-04-27,yandex.promopages,женский,45-54 года,72
2026-04-21,yandex.promopages,Не определено,Не определено,59
2026-04-21,yandex.promopages,мужской,45-54 года,46
2026-04-28,yandex.promopages,женский,45-54 года,44
2026-04-27,yandex.promopages,женский,35‑44 года,43
2026-04-28,yandex.promopages,женский,35‑44 года,38
2026-04-26,yandex.promopages,мужской,45-54 года,36
2026-04-21,yandex.promopages,мужской,35‑44 года,35
2026-04-26,yandex.promopages,женский,45-54 года,31
2026-05-29,yandex.promopages,женский,45-54 года,30
2026-04-15,yandex.promopages,мужской,35‑44 года,27
2026-04-25,yandex.promopages,мужской,45-54 года,27
2026-04-25,yandex.promopages,женский,45-54 года,27
2026-04-15,yandex.promopages,Не определено,Не определено,22
2026-04-21,yandex.promopages,мужской,25‑34 года,22
2026-05-28,yandex.promopages,женский,45-54 года,22
2026-04-27,yandex.promopages,Не определено,Не определено,19
2026-04-25,yandex.promopages,женский,35‑44 года,17
2026-05-24,yandex.promopages,женский,45-54 года,17
2026-04-15,yandex.promopages,мужской,25‑34 года,16
2026-04-21,yandex.promopages,мужской,55 лет и старше,15
2026-04-27,yandex.promopages,женский,25‑34 года,14
2026-04-21,yandex.promopages,мужской,Не определено,13
2026-04-25,yandex.promopages,мужской,35‑44 года,13
2026-04-26,yandex.promopages,мужской,35‑44 года,13
2026-04-28,yandex.promopages,женский,25‑34 года,13
2026-05-23,yandex.promopages,женский,45-54 года,13
2026-05-28,yandex.promopages,женский,25‑34 года,13
2026-04-27,yandex.promopages,женский,Не определено,12
2026-05-20,yandex.promopages,женский,45-54 года,12
2026-05-29,yandex.promopages,женский,35‑44 года,12
2026-04-28,yandex.promopages,Не определено,Не определено,11
2026-05-28,yandex.promopages,женский,35‑44 года,11
2026-06-01,yandex.promopages,женский,35‑44 года,11
2026-06-01,yandex.promopages,женский,45-54 года,11
2026-06-25,yandex.promopages,женский,45-54 года,11
2026-04-25,yandex.promopages,Не определено,Не определено,10
2026-05-29,yandex.promopages,женский,25‑34 года,10
2026-04-15,yandex.promopages,женский,Не определено,9
2026-04-24,yandex.promopages,женский,45-54 года,9
2026-04-26,yandex.promopages,мужской,25‑34 года,9
2026-04-26,yandex.promopages,женский,35‑44 года,9
2026-04-27,yandex.promopages,мужской,45-54 года,9
2026-04-16,yandex.promopages,мужской,35‑44 года,8
2026-04-28,yandex.promopages,женский,Не определено,8
2026-04-29,yandex.promopages,женский,35‑44 года,8
2026-05-21,yandex.promopages,женский,45-54 года,8
2026-05-22,yandex.promopages,женский,45-54 года,8
2026-05-28,yandex.promopages,Не определено,Не определено,8
2026-06-16,yandex.promopages,женский,45-54 года,8
2026-04-17,yandex.promopages,Не определено,Не определено,7
2026-04-25,yandex.promopages,мужской,25‑34 года,7
2026-04-26,yandex.promopages,Не определено,Не определено,7
2026-06-29,yandex.promopages,женский,45-54 года,7
2026-04-16,yandex.promopages,Не определено,Не определено,6
2026-04-17,yandex.promopages,мужской,35‑44 года,6
2026-04-24,yandex.promopages,женский,35‑44 года,6
2026-04-27,yandex.promopages,женский,55 лет и старше,6
2026-05-21,yandex.promopages,женский,35‑44 года,6
2026-05-25,yandex.promopages,женский,45-54 года,6
2026-05-27,yandex.promopages,женский,45-54 года,6
2026-05-31,yandex.promopages,женский,45-54 года,6
2026-06-15,yandex.promopages,женский,45-54 года,6
2026-06-25,yandex.promopages,женский,35‑44 года,6
2026-06-29,yandex.promopages,женский,35‑44 года,6
2026-04-14,yandex.promopages,Не определено,Не определено,5
2026-04-15,yandex.promopages,мужской,55 лет и старше,5
2026-04-16,yandex.promopages,мужской,25‑34 года,5
2026-04-17,yandex.promopages,мужской,25‑34 года,5
2026-04-21,yandex.promopages,женский,25‑34 года,5
2026-04-21,yandex.promopages,женский,55 лет и старше,5
2026-04-25,yandex.promopages,женский,25‑34 года,5
2026-04-26,yandex.promopages,мужской,Не определено,5
2026-04-27,yandex.promopages,мужской,35‑44 года,5
2026-04-30,yandex.promopages,женский,35‑44 года,5
2026-05-20,yandex.promopages,женский,35‑44 года,5
2026-05-24,yandex.promopages,женский,35‑44 года,5
2026-06-17,yandex.promopages,женский,45-54 года,5
2026-06-28,yandex.promopages,женский,45-54 года,5
2026-06-30,yandex.promopages,женский,45-54 года,5
2026-04-14,yandex.promopages,женский,45-54 года,4
2026-04-15,yandex.promopages,мужской,Не определено,4
2026-04-24,yandex.promopages,женский,25‑34 года,4
2026-04-25,yandex.promopages,женский,Не определено,4
2026-05-25,yandex.promopages,Не определено,Не определено,4
2026-06-02,yandex.promopages,женский,45-54 года,4
2026-06-16,yandex.promopages,женский,35‑44 года,4
2026-06-25,yandex.promopages,женский,25‑34 года,4
2026-04-14,yandex.promopages,мужской,25‑34 года,3
2026-04-14,yandex.promopages,мужской,35‑44 года,3
2026-04-16,yandex.promopages,женский,55 лет и старше,3
2026-04-17,yandex.promopages,женский,Не определено,3
2026-04-21,yandex.promopages,женский,Не определено,3
2026-04-21,yandex.promopages,женский,45-54 года,3
2026-04-22,yandex.promopages,мужской,45-54 года,3
2026-04-26,yandex.promopages,женский,25‑34 года,3
2026-04-27,yandex.promopages,Не определено,35‑44 года,3
2026-04-27,yandex.promopages,мужской,Не определено,3
2026-05-17,yandex.promopages,женский,Не определено,3
2026-05-19,yandex.promopages,женский,25‑34 года,3
2026-05-20,yandex.promopages,женский,25‑34 года,3
2026-05-21,yandex.promopages,женский,25‑34 года,3
2026-05-26,yandex.promopages,женский,45-54 года,3
2026-05-27,yandex.promopages,Не определено,Не определено,3
2026-05-27,yandex.promopages,женский,35‑44 года,3
2026-05-28,yandex.promopages,женский,Не определено,3
2026-05-29,yandex.promopages,Не определено,Не определено,3
2026-05-31,yandex.promopages,женский,35‑44 года,3
2026-06-01,yandex.promopages,Не определено,Не определено,3
2026-06-05,yandex.promopages,женский,35‑44 года,3
2026-06-08,yandex.promopages,женский,45-54 года,3
2026-06-12,yandex.promopages,женский,35‑44 года,3
2026-06-13,yandex.promopages,женский,35‑44 года,3
2026-06-27,yandex.promopages,женский,45-54 года,3
2026-04-15,yandex.promopages,женский,55 лет и старше,2
2026-04-19,yandex.promopages,женский,35‑44 года,2
2026-04-21,yandex.promopages,Не определено,25‑34 года,2
2026-04-22,yandex.promopages,Не определено,Не определено,2
2026-04-25,yandex.promopages,мужской,Не определено,2
2026-04-25,yandex.promopages,мужской,55 лет и старше,2
2026-04-26,yandex.promopages,мужской,55 лет и старше,2
2026-04-28,yandex.promopages,Не определено,35‑44 года,2
2026-04-28,yandex.promopages,мужской,Не определено,2
2026-04-28,yandex.promopages,женский,55 лет и старше,2
2026-04-30,yandex.promopages,Не определено,Не определено,2
2026-05-04,yandex.promopages,Не определено,Не определено,2
2026-05-04,yandex.promopages,женский,25‑34 года,2
2026-05-08,yandex.promopages,женский,35‑44 года,2
2026-05-10,yandex.promopages,женский,45-54 года,2
2026-05-11,yandex.promopages,женский,45-54 года,2
2026-05-14,yandex.promopages,женский,45-54 года,2
2026-05-15,yandex.promopages,Не определено,Не определено,2
2026-05-15,yandex.promopages,женский,35‑44 года,2
2026-05-16,yandex.promopages,женский,45-54 года,2
2026-05-18,yandex.promopages,Не определено,Не определено,2
2026-05-18,yandex.promopages,женский,35‑44 года,2
2026-05-22,yandex.promopages,женский,35‑44 года,2
2026-05-23,yandex.promopages,Не определено,Не определено,2
2026-05-24,yandex.promopages,женский,Не определено,2
2026-05-24,yandex.promopages,женский,25‑34 года,2
2026-05-25,yandex.promopages,женский,25‑34 года,2
2026-05-25,yandex.promopages,женский,35‑44 года,2
2026-05-29,yandex.promopages,женский,Не определено,2
2026-05-30,yandex.promopages,Не определено,Не определено,2
2026-05-30,yandex.promopages,женский,25‑34 года,2
2026-05-30,yandex.promopages,женский,35‑44 года,2
2026-05-31,yandex.promopages,Не определено,Не определено,2
2026-05-31,yandex.promopages,женский,55 лет и старше,2
2026-06-01,yandex.promopages,женский,25‑34 года,2
2026-06-03,yandex.promopages,женский,25‑34 года,2
2026-06-09,yandex.promopages,женский,35‑44 года,2
2026-06-10,yandex.promopages,женский,45-54 года,2
2026-06-11,yandex.promopages,женский,35‑44 года,2
2026-06-11,yandex.promopages,женский,45-54 года,2
2026-06-15,yandex.promopages,Не определено,Не определено,2
2026-06-15,yandex.promopages,женский,35‑44 года,2
2026-06-16,yandex.promopages,Не определено,Не определено,2
2026-06-17,yandex.promopages,Не определено,Не определено,2
2026-06-17,yandex.promopages,женский,25‑34 года,2
2026-06-24,yandex.promopages,женский,45-54 года,2
2026-06-25,yandex.promopages,Не определено,Не определено,2
2026-06-26,yandex.promopages,женский,45-54 года,2
2026-06-29,yandex.promopages,женский,25‑34 года,2
2026-06-30,yandex.promopages,мужской,55 лет и старше,2
2026-06-30,yandex.promopages,женский,25‑34 года,2
2026-06-30,yandex.promopages,женский,35‑44 года,2
2026-04-06,yandex.promopages,женский,45-54 года,1
2026-04-07,yandex.promopages,женский,45-54 года,1
2026-04-09,yandex.promopages,женский,45-54 года,1
2026-04-14,yandex.promopages,мужской,45-54 года,1
2026-04-14,yandex.promopages,женский,35‑44 года,1
2026-04-14,yandex.promopages,женский,55 лет и старше,1
2026-04-15,yandex.promopages,мужской,45-54 года,1
2026-04-15,yandex.promopages,женский,35‑44 года,1
2026-04-15,yandex.promopages,женский,45-54 года,1
2026-04-16,yandex.promopages,Не определено,25‑34 года,1
2026-04-16,yandex.promopages,Не определено,55 лет и старше,1
2026-04-16,yandex.promopages,мужской,Не определено,1
2026-04-16,yandex.promopages,женский,35‑44 года,1
2026-04-16,yandex.promopages,женский,45-54 года,1
2026-04-17,yandex.promopages,женский,35‑44 года,1
2026-04-17,yandex.promopages,женский,55 лет и старше,1
2026-04-18,yandex.promopages,женский,Не определено,1
2026-04-19,yandex.promopages,Не определено,Не определено,1
2026-04-19,yandex.promopages,женский,45-54 года,1
2026-04-21,yandex.promopages,Не определено,18‑24 года,1
2026-04-21,yandex.promopages,Не определено,45-54 года,1
2026-04-21,yandex.promopages,Не определено,55 лет и старше,1
2026-04-21,yandex.promopages,женский,35‑44 года,1
2026-04-22,yandex.promopages,мужской,55 лет и старше,1
2026-04-22,yandex.promopages,женский,35‑44 года,1
2026-04-23,yandex.promopages,мужской,25‑34 года,1
2026-04-23,yandex.promopages,женский,45-54 года,1
2026-04-24,yandex.promopages,мужской,25‑34 года,1
