Дата визита,Источник трафика (детально),UTM Source,UTM Campaign,UTM Content,Визиты
2026-03-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,Как франшиза меняет жизнь: история успеха_699eb80cb8de026b403a2e45,10
2026-02-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",9
2026-02-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",8
2026-01-08,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предпринимателю_6953d568464f9a5900fb5aba,7
2026-01-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",7
2026-03-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,"Как я преобразила свою жизнь, открыв зоомагазин_699eb80cb8de026b403a2e45",7
2026-01-07,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",6
2026-01-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",6
2026-01-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",6
2026-01-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",6
2026-01-31,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,6
2026-02-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,6
2026-02-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",6
2026-03-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,Как франшиза меняет жизнь: история успеха_699eb80cb8de026b403a2e45,6
2026-03-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,"Как я преобразила свою жизнь, открыв зоомагазин_699eb80cb8de026b403a2e45",6
2026-01-08,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,"Как ""Мокрый нос"" помог мне достичь успеха в бизнесе_6953d568464f9a5900fb5aba",5
2026-01-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,"Как я преобразила свою жизнь, открыв зоомагазин_6953d568464f9a5900fb5aba",5
2026-01-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",5
2026-02-05,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",5
2026-02-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",5
2026-02-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",5
2026-03-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,5
2026-01-05,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,4
2026-01-07,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предпринимателю_6953d568464f9a5900fb5aba,4
2026-01-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,"Как ""Мокрый нос"" помог мне достичь успеха в бизнесе_6953d568464f9a5900fb5aba",4
2026-01-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,4
2026-02-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",4
2026-02-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",4
2026-02-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",4
2026-02-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",4
2026-03-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,4
2026-03-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,4
2026-03-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,4
2026-01-08,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",3
2026-01-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,3
2026-01-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предпринимателю_6953d568464f9a5900fb5aba,3
2026-01-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",3
2026-01-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",3
2026-01-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",3
2026-02-02,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,3
2026-02-08,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,"Как я преобразила свою жизнь, открыв зоомагазин_6971f7f0c57fdb2965e9f7a5",3
2026-02-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",3
2026-02-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",3
2026-02-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",3
2026-02-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",3
2026-02-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1 (копия),Этот бизнес вырос на 39% за 2025г. Пока другие выживали_69970bd31dce5f2f22da16f1,3
2026-02-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1 (копия),Этот бизнес вырос на 39% за 2025г. Пока другие выживали_69970bd31dce5f2f22da16f1,3
2026-02-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1 (копия),"Почему зоомагазины процветают, пока другие закрываются_69970bd31dce5f2f22da16f1",3
2026-03-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,3
2026-01-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-01-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-01-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-01-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-01-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,"Как я преобразила свою жизнь, открыв зоомагазин_6953d568464f9a5900fb5aba",2
2026-01-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2026-01-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-01-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-01-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-01-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,2
2026-01-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,2
2026-01-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2026-01-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-02-03,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen,История успеха: мой путь от работницы к предпринимателю_6971f7f0c57fdb2965e9f7a5,2
2026-02-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2026-02-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2026-02-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-02-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",2
2026-02-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-02-24,Яндекс: Директ,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",2
2026-02-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1 (копия),Рынок зоотоваров вырос на 39%: в чём секрет успеха_69970bd31dce5f2f22da16f1,2
2026-03-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1 (копия),"Почему зоомагазины процветают, пока другие закрываются_69970bd31dce5f2f22da16f1",2
2026-03-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,2
2026-03-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,2
2026-01-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,1
2026-01-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",1
2026-01-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",1
2026-01-03,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",1
2026-01-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,История успеха: мой путь от работницы к предприн_6953d568464f9a5900fb5aba,1
2026-01-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,Этот бизнес вырос на 39% за 2025г. Пока другие выживали_6943ddc5d441fa401a721f35,1
2026-01-05,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",1
2026-01-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / М/Ж 25-54 / интерес_франшиза / рся / #promo,"Как я преобразила свою жизнь, открыв зоомагазин_6953d568464f9a5900fb5aba",1
2026-01-07,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",1
